TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.0,0.0,0.001,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0
0.0,0.0,0.0,0.0,0.999,0.999,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.999,0.0,1.0,1.0,0.0,1.0,0.001,0.999,0.0,1.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.998,0.0,1.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.999,0.0,1.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0
0.0,0.0,0.0,0.001,1.0,1.0,0.0,1.0,0.0,1.0,0.999,0.0,1.0,0.0,0.999,0.0,1.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0
0.0,0.0,0.0,0.001,1.0,1.0,0.0,0.999,0.0,1.0,1.0,0.0,1.0,0.0,0.999,0.0,1.0,0.001,0.003,0.0,0.001,0.0,0.0,0.0
0.001,0.0,0.0,0.0,1.0,1.0,0.0,0.998,0.002,1.0,1.0,0.0,1.0,0.0,0.999,0.0,1.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0
0.003,0.0,0.0,0.0,1.0,0.999,0.0,0.995,0.007,0.999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004,0.0,0.001,0.0,0.001,0.0
0.003,0.0,0.0,0.0,1.0,0.998,0.0,0.998,0.007,0.999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006,0.0,0.001,0.0,0.0,0.0
0.002,0.001,0.0,0.0,1.0,0.997,0.0,1.0,0.006,0.997,1.0,0.0,1.0,0.001,1.0,0.0,1.0,0.0,0.009,0.0,0.003,0.0,0.0,0.0
0.004,0.0,0.0,0.0,1.0,0.997,0.0,0.999,0.008,0.999,0.999,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.008,0.0,0.006,0.0,0.0,0.0
0.007,0.002,0.0,0.0,1.0,1.0,0.0,0.999,0.013,0.999,0.999,0.0,1.0,0.0,1.0,0.0,1.0,0.001,0.007,0.0,0.005,0.0,0.0,0.0
0.005,0.001,0.0,0.0,1.0,1.0,0.0,1.0,0.013,1.0,0.999,0.0,1.0,0.0,1.0,0.0,1.0,0.001,0.007,0.0,0.004,0.0,0.0,0.0
0.005,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.012,1.0,0.999,0.0,1.0,0.0,1.0,0.0,1.0,0.002,0.007,0.0,0.008,0.0,0.0,0.0
0.007,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.014,1.0,0.999,0.0,1.0,0.0,1.0,0.0,1.0,0.002,0.005,0.0,0.007,0.0,0.0,0.0
