state,length,a2_projection_2d
,0,"(0.0, 0.0)"
x,1,"(0.4167, 0.7217)"
y,1,"(0.8333, 0.0)"
xx,2,"(1.25, 0.7217)"
xy,2,"(0.8333, 1.4434)"
yx,2,"(1.25, 0.7217)"
yy,2,"(1.6667, 0.0)"
xxx,3,"(1.6667, 1.4434)"
xxy,3,"(2.0833, 0.7217)"
xyx,3,"(1.6667, 1.4434)"
xyy,3,"(1.25, 2.1651)"
yxx,3,"(2.0833, 0.7217)"
yxy,3,"(1.6667, 1.4434)"
yyx,3,"(2.0833, 0.7217)"
yyy,3,"(2.5, 0.0)"
xxxx,4,"(2.5, 1.4434)"
xxxy,4,"(2.0833, 2.1651)"
xxyx,4,"(2.5, 1.4434)"
xxyy,4,"(2.9167, 0.7217)"
xyxx,4,"(2.0833, 2.1651)"
xyxy,4,"(2.5, 1.4434)"
xyyx,4,"(2.0833, 2.1651)"
yxxx,4,"(2.5, 1.4434)"
yxxy,4,"(2.9167, 0.7217)"
yxyx,4,"(2.5, 1.4434)"
yxyy,4,"(2.0833, 2.1651)"
yyxx,4,"(2.9167, 0.7217)"
yyxy,4,"(2.5, 1.4434)"
yyyx,4,"(2.9167, 0.7217)"
