step,total_queue,mean_nrci,min_nrci,horizon_radius,leaked_offbits
0,1324.4362640352826,0.9664944462859997,2.0602519042071138e-09,0.0,2
1,2647.299781467558,0.9664944462813091,2.0593506186483234e-09,0.0,4
2,3969.411136272341,0.966494446276624,2.058449727354466e-09,0.0,3
3,5291.289830698171,0.9664944462719356,2.0575492301530858e-09,0.0,5
4,6612.403989334543,0.9664944462672613,2.0566491268717998e-09,0.0,4
5,7921.7943728952505,0.9664944462625756,2.0557494173383027e-09,0.0,16
6,9237.020509055727,0.9664944462579299,2.0548501013803624e-09,0.0,10
7,10550.302698427698,0.9664944462532588,2.0539511788258244e-09,0.0,12
8,11860.640567740164,0.9664944462486187,2.0530526495026077e-09,0.0,15
9,13176.0342433384,0.9664944462439682,2.0521545132387072e-09,0.0,10
10,14490.48382905604,0.966494446239309,2.051256769862193e-09,0.0,11
11,15799.989442221824,0.9664944462346401,2.050359419201211e-09,0.0,16
12,17102.55058161417,0.9664944462300129,2.0494624610839808e-09,0.0,23
13,18415.166746914776,0.9664944462254274,2.0485658953387984e-09,0.0,13
14,19717.838876085065,0.9664944462207636,2.047669721794035e-09,0.0,23
15,21028.448141122546,0.9664944462161807,2.0467739402781355e-09,0.0,16
16,22330.636835391513,0.9664944462115553,2.0458785506196215e-09,0.0,24
17,23626.474475532203,0.9664944462069711,2.044983552647088e-09,0.0,30
18,24932.36744177978,0.9664944462023607,2.0440889461892064e-09,0.0,20
19,26228.31609346951,0.9664944461977203,2.0431947310747223e-09,0.0,30
20,27532.320227242275,0.9664944461930967,2.042300907132456e-09,0.0,22
21,28830.379670653747,0.9664944461884876,2.041407474191303e-09,0.0,28
22,30131.69040959911,0.9664944461838679,2.0405144320802336e-09,0.0,25
23,31433.86053871583,0.9664944461792637,2.039621780628293e-09,0.0,24
24,32733.085906031258,0.9664944461746605,2.038729519664601e-09,0.0,27
25,34030.36597429197,0.9664944461701022,2.0378376490183522e-09,0.0,29
26,35310.70077287663,0.9664944461655411,2.0369461685188163e-09,0.0,46
27,36597.09031584679,0.9664944461609792,2.036055077995336e-09,0.0,40
28,37881.5346147044,0.9664944461564164,2.035164377277331e-09,0.0,42
29,39168.03341318998,0.9664944461518746,2.0342740661942946e-09,0.0,40
30,40452.58608250031,0.9664944461473853,2.0333841445757937e-09,0.0,42
31,41732.19287686284,0.9664944461428749,2.032494612251471e-09,0.0,47
32,43025.85391829889,0.9664944461383543,2.0316054690510436e-09,0.0,33
33,44308.56940278628,0.9664944461338175,2.0307167148043024e-09,0.0,44
34,45589.33928806421,0.966494446129284,2.0298283493411135e-09,0.0,46
35,46864.16359509382,0.966494446124749,2.0289403724914167e-09,0.0,52
36,48136.0416410137,0.9664944461202707,2.0280527840852265e-09,0.0,55
37,49416.97260443944,0.9664944461158609,2.027165583952632e-09,0.0,46
38,50697.95778431372,0.9664944461113428,2.026278771923796e-09,0.0,46
39,51978.99727013463,0.9664944461068172,2.0253923478289562e-09,0.0,46
40,53260.09091471566,0.9664944461023041,2.0245063114984244e-09,0.0,46
41,54539.23907370876,0.9664944460977614,2.0236206627625865e-09,0.0,48
42,55811.44139983777,0.9664944460932473,2.0227354014519023e-09,0.0,55
43,57076.697759828756,0.9664944460887447,2.023873389186626e-09,0.0,62
44,58347.0070961817,0.9664944460843299,2.0229880173213043e-09,0.0,57
