M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2
10000000000.0,5.027652086475616e-21,1.4852320538237332e-17,1.4852320538237332e-20,3.025638910845516e+33,12269006705940.17,2.6528868296963435e+36,84114778997021.06,2665436.5033152415,3561622144778.495,2.7720336055560398e-33
15922827933.410938,8.005443908200573e-21,2.3649094434221837e-17,2.3649094434221836e-20,1.9001894157863783e+33,7705293781512.303,6.726035074533056e+36,339572814514009.94,10760413.16557691,1404777164486.2651,7.028115579618745e-33
25353644939.701164,1.274693058808505e-20,3.7656046145710057e-17,3.765604614571006e-20,1.193374332582721e+33,4839149059285.036,1.7052950513168753e+37,1370861312743268.2,43439973.65906369,554073060432.6365,1.781883470008357e-32
40370172585.9655,2.0296718243321016e-20,5.99590743430721e-17,5.99590743430721e-20,7.494738607823948e+32,3039126642278.818,4.323544524851718e+37,5534190778686855.0,175367923.37461832,218537832232.95847,4.5177240822514165e-32
64280731172.84319,3.231811522013233e-20,9.547180238113314e-17,9.547180238113314e-20,4.7069142737501464e+32,1908660104215.4111,1.0961761276407944e+38,2.23416236859248e+16,707963333.2675742,86195824210.9603,1.145407723169397e-31
102353102189.90268,5.1459578778231615e-20,1.5201810818073958e-16,1.520181081807396e-19,2.9560793430880504e+32,1198694171787.4507,2.7792060331581244e+38,9.019352040514821e+16,2858060194.8547482,33997409215.1092,2.904026072442842e-31
162975083462.06467,8.193820184115871e-20,2.420558179324566e-16,2.420558179324566e-19,1.8565039799778885e+32,752814874845.3317,7.046300297896643e+38,3.6411279848916486e+17,11538038332.736485,13409278743.141502,7.3627645936350706e-31
259502421139.9732,1.3046878890898603e-19,3.854213139219537e-16,3.854213139219537e-19,1.1659386057186397e+32,472789681577.66754,1.786493958913806e+39,1.469929651576635e+18,46579259879.605385,5288895847.138758,1.8667291928162523e-30
413201240011.53345,2.077432076478298e-19,6.136997263448431e-16,6.136997263448432e-19,7.322434247198927e+31,296925699099.9764,4.5294133521221736e+39,5.934131372337711e+18,188041276026.62152,2086049504.8019304,4.732838915323823e-30
657933224657.5682,3.307859349711253e-19,9.771835145370317e-16,9.771835145370317e-19,4.598702113607741e+31,186477992691.82324,1.1483713791484724e+40,2.3956190764906664e+19,759125876647.9917,822780909.7126681,1.1999471741592059e-29
1047615752789.6661,5.267047525337688e-19,1.555952496133892e-15,1.555952496133892e-18,2.888118952763576e+31,117113614159.28868,2.9115400205845306e+40,9.671155556815987e+19,3064604265475.1904,324521744.96783257,3.0423034600030256e-29
1668100537200.0557,8.386629146304956e-19,2.477516386850111e-15,2.477516386850111e-18,1.8138228742040449e+31,73550762872.68617,7.381815190962982e+40,3.904262189343775e+20,12371860310491.848,127998063.29214145,7.713348172374044e-29
2656087782946.684,1.335388528379429e-18,3.944906713002029e-15,3.944906713002029e-18,1.1391336273866857e+31,46192022660.9711,1.8715592136216786e+41,1.576157384046684e+21,49945413594401.47,50485073.683314785,1.9556149085866442e-28
4229242874389.499,2.1263161761636498e-18,6.281407080448904e-15,6.281407080448904e-18,7.154091171182203e+30,29009936459.871033,4.745084778579036e+41,6.362974561660878e+21,201630496668342.28,19912353.353288632,4.958196603109194e-28
6734150657750.828,3.3856966605082093e-18,1.0001776412169706e-14,1.0001776412169706e-17,4.4929777556477534e+30,18219085567.708336,1.2030519468487339e+42,2.568743812143588e+22,813985794909495.0,7853842.475370459,1.257083562164629e-27
