M_kg,a_dimensionless,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Omega_H
1000000000000000.0,0.0,1.4852320538237332e-12,0.0,4.0742978890820484e+40,1.652133304604299e+20,2.652886829696343e+46,0.0
1000000000000000.0,0.11,1.4807255532078676e-12,4.506500615865498e-15,4.0618980045074954e+40,1.6471051346381888e+20,2.644837423476575e+46,37143952760.757805
1000000000000000.0,0.22,1.4670378660060024e-12,1.8194187817730797e-14,4.0237684905320594e+40,1.6316435651501054e+20,2.6203887960628673e+46,74981023018.49512
1000000000000000.0,0.33,1.443631396122296e-12,4.160065770143704e-14,3.9568901683074364e+40,1.604524315033553e+20,2.5785807058561514e+46,114295103613.84671
1000000000000000.0,0.44,1.4094835651434271e-12,7.574848868030615e-14,3.8553369056668765e+40,1.5633443296796846e+20,2.517586647161207e+46,156085537597.32068
1000000000000000.0,0.55,1.3628226843978132e-12,1.2240936942591997e-13,3.7083425515567833e+40,1.5037379202747997e+20,2.434242071023502e+46,201787072631.17914
1000000000000000.0,0.66,1.300517901077782e-12,1.8471415274595115e-13,3.49562036223469e+40,1.417478784793041e+20,2.3229547212310834e+46,253745065505.45605
1000000000000000.0,0.77,1.2164376422597457e-12,2.687944115639874e-13,3.174006361110442e+40,1.287063872346831e+20,2.1727725253367976e+46,316497933494.392
1000000000000000.0,0.88,1.095339096626605e-12,3.898929571971282e-13,2.624025496387805e+40,1.0640458878400427e+20,1.9564691295284088e+46,401702086007.0638
1000000000000000.0,0.99,8.47374909171008e-13,6.378571446527252e-13,1.0073909157130321e+40,4.084983788409994e+19,1.5135612853004669e+46,584157017918.151
1.2915496650148826e+16,0.0,1.9182509615854086e-11,0.0,2.4424774156124007e+38,9.904278955376648e+17,4.425281945747421e+48,0.0
1.2915496650148826e+16,0.11,1.9124305922245984e-11,5.82036936081036e-14,2.4350438801041834e+38,9.87413586835055e+17,4.411854726908086e+48,2875921365.387817
1.2915496650148826e+16,0.22,1.8947522644042005e-11,2.349869718120793e-13,2.4121858370035932e+38,9.781446194417371e+17,4.3710719583854755e+48,5805508301.349844
1.2915496650148826e+16,0.33,1.864521646066719e-11,5.372931551868977e-13,2.3720933361421766e+38,9.61887056116404e+17,4.3013318606523455e+48,8849454783.647802
1.2915496650148826e+16,0.44,1.8204180264049753e-11,9.783293518043309e-13,2.311213754620658e+38,9.37200303468395e+17,4.199587638577294e+48,12085136315.33652
1.2915496650148826e+16,0.55,1.7601531815086787e-11,1.5809778007672988e-12,2.2230929544458514e+38,9.014671998121036e+17,4.06056050634928e+48,15623640197.286097
1.2915496650148826e+16,0.66,1.6796834594828678e-11,2.3856750210254096e-12,2.0955693522538925e+38,8.497562066446616e+17,3.874922018376976e+48,19646558888.04184
1.2915496650148826e+16,0.77,1.5710896293720685e-11,3.4716133221334026e-12,1.902766823897847e+38,7.715745206264347e+17,3.624403016727834e+48,24505285554.833454
1.2915496650148826e+16,0.88,1.4146848433257959e-11,5.035661182596127e-12,1.573061957519834e+38,6.378787513767415e+17,3.263587205981665e+48,31102333645.25203
1.2915496650148826e+16,0.99,1.0944267800818329e-11,8.238241815035757e-12,6.039149878843436e+37,2.4488834439600128e+17,2.5247723930949176e+48,45229156395.73327
1.6681005372000557e+17,0.0,2.477516386850111e-10,0.0,1.4642267424193476e+36,5937459244513646.0,7.381815190962981e+50,0.0
