M_kg,Q_C,r_plus_m,r_minus_m,kappa_ms2,T_H_K,S_BH_kB,Phi_H,q_frac
1000000000000000.0,0.0,1.4852320538237332e-12,0.0,4.0742978890820484e+40,1.652133304604299e+20,2.652886829696343e+46,0.0,0.0
1000000000000000.0,9479.268920560653,1.4807255532078676e-12,4.506500615865498e-15,4.07426015076697e+40,1.6521180016664927e+20,2.636812440816743e+46,0.055167389245992036,0.11
1000000000000000.0,18958.537841121306,1.4670378660060024e-12,1.8194187817730797e-14,4.0736712240253115e+40,1.6518791910762132e+20,2.588288865423542e+46,0.11136421881556409,0.22
1000000000000000.0,28437.80676168196,1.443631396122296e-12,4.160065770143704e-14,4.070914588873582e+40,1.6507613717937747e+20,2.5063558619176684e+46,0.16975475148238994,0.33
1000000000000000.0,37917.07568224261,1.4094835651434271e-12,7.574848868030615e-14,4.0625304843503975e+40,1.6473616060699292e+20,2.3891869246039043e+46,0.23182324357785014,0.44
1000000000000000.0,47396.34460280327,1.3628226843978132e-12,1.2240936942591997e-13,4.0414276099053326e+40,1.6388043619403327e+20,2.2336175045277167e+46,0.29970062831908495,0.55
1000000000000000.0,56875.61352336392,1.300517901077782e-12,1.8471415274595115e-13,3.9921076101199906e+40,1.6188050353209432e+20,2.0340553454771517e+46,0.3768703047883062,0.66
1000000000000000.0,66354.88244392458,1.2164376422597457e-12,2.687944115639874e-13,3.8753618128787284e+40,1.571464456638238e+20,1.779548375005057e+46,0.4700728757948432,0.77
1000000000000000.0,75834.15136448522,1.095339096626605e-12,3.898929571971282e-13,3.5580641550079392e+40,1.4427998272192584e+20,1.4428702392991967e+46,0.5966208142255492,0.88
1000000000000000.0,85313.42028504588,8.47374909171008e-13,6.378571446527252e-13,1.7656992938480896e+40,7.1599345180427354e+19,8.635376898541206e+45,0.8676087274781226,0.99
1.2915496650148826e+16,0.0,1.9182509615854086e-11,0.0,2.4424774156124007e+38,9.904278955376648e+17,4.425281945747421e+48,0.0,0.0
1.2915496650148826e+16,122429.46598936098,1.9124305922245984e-11,5.82036936081036e-14,2.4424547920868772e+38,9.904187216674661e+17,4.3984682490222e+48,0.05516738924599202,0.11
1.2915496650148826e+16,244858.93197872196,1.8947522644042005e-11,2.349869718120793e-13,2.4421017397806615e+38,9.902755584797843e+17,4.317526046841932e+48,0.11136421881556409,0.22
1.2915496650148826e+16,367288.397968083,1.864521646066719e-11,5.372931551868977e-13,2.4404491804233235e+38,9.896054434252593e+17,4.180853559679372e+48,0.16975475148238992,0.33
1.2915496650148826e+16,489717.8639574439,1.8204180264049753e-11,9.783293518043309e-13,2.435423041808647e+38,9.875673374190401e+17,3.985403992403119e+48,0.23182324357785017,0.44
