M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2,R_g,kappa_UBP_ms2,T_UBP_K,N_OffBits,delta_T,abs_residual_K
10000000000.0,5.0276520864756155e-21,1.4852320538237332e-17,1.4852320538237332e-20,3.025638910845516e+33,12269006705940.17,2.6528868296963435e+36,84114778997021.06,2665436.503315241,3561622144778.495,2.77203360555604e-33,1e-10,3.025638910845516e+33,12269006705940.17,5.027652086475616e-21,0.0,0.0
15922827933.410938,8.005443908200573e-21,2.364909443422184e-17,2.364909443422184e-20,1.9001894157863783e+33,7705293781512.303,6.726035074533056e+36,339572814514009.94,10760413.16557691,1404777164486.2651,7.028115579618745e-33,6.280291441834247e-11,1.9001894157863783e+33,7705293781512.304,8.005443908200573e-21,1.267391650066757e-16,0.0009765625
25353644939.701164,1.274693058808505e-20,3.7656046145710057e-17,3.765604614571006e-20,1.193374332582721e+33,4839149059285.036,1.7052950513168753e+37,1370861312743268.2,43439973.65906369,554073060432.6365,1.781883470008357e-32,3.9442060594376486e-11,1.193374332582721e+33,4839149059285.037,1.274693058808505e-20,2.0180459168254738e-16,0.0009765625
40370172585.9655,2.0296718243321016e-20,5.99590743430721e-17,5.99590743430721e-20,7.494738607823948e+32,3039126642278.818,4.323544524851718e+37,5534190778686855.0,175367923.37461832,218537832232.95847,4.5177240822514165e-32,2.4770763559917138e-11,7.494738607823948e+32,3039126642278.8184,2.0296718243321016e-20,1.6066498947667206e-16,0.00048828125
64280731172.84319,3.231811522013233e-20,9.547180238113313e-17,9.547180238113314e-20,4.706914273750146e+32,1908660104215.4111,1.0961761276407944e+38,2.23416236859248e+16,707963333.2675742,86195824210.9603,1.145407723169397e-31,1.555676143930472e-11,4.706914273750146e+32,1908660104215.411,3.231811522013233e-20,1.2791204911801642e-16,0.000244140625
102353102189.90268,5.1459578778231615e-20,1.5201810818073958e-16,1.5201810818073961e-19,2.9560793430880504e+32,1198694171787.4507,2.7792060331581244e+38,9.01935204051482e+16,2858060194.854748,33997409215.1092,2.904026072442842e-31,9.770099572992248e-12,2.95607934308805e+32,1198694171787.451,5.1459578778231615e-20,2.036721548716184e-16,0.000244140625
162975083462.06467,8.193820184115871e-20,2.420558179324566e-16,2.4205581793245663e-19,1.8565039799778885e+32,752814874845.3317,7.046300297896643e+38,3.6411279848916486e+17,11538038332.736485,13409278743.141502,7.36276459363507e-31,6.135907273413164e-12,1.8565039799778885e+32,752814874845.3319,8.193820184115871e-20,3.243036676847804e-16,0.000244140625
259502421139.9732,1.3046878890898603e-19,3.854213139219537e-16,3.8542131392195373e-19,1.1659386057186395e+32,472789681577.66754,1.786493958913806e+39,1.469929651576635e+18,46579259879.605385,5288895847.138758,1.8667291928162523e-30,3.853528593710535e-12,1.1659386057186395e+32,472789681577.66754,1.3046878890898603e-19,0.0,0.0
413201240011.5335,2.0774320764782981e-19,6.136997263448431e-16,6.1369972634484325e-19,7.322434247198927e+31,296925699099.9764,4.529413352122173e+39,5.934131372337711e+18,188041276026.62152,2086049504.8019304,4.7328389153238236e-30,2.4201282647943837e-12,7.322434247198927e+31,296925699099.97644,2.0774320764782984e-19,2.0555700107806821e-16,6.103515625e-05
657933224657.5682,3.307859349711253e-19,9.771835145370317e-16,9.771835145370317e-19,4.598702113607741e+31,186477992691.82324,1.1483713791484724e+40,2.3956190764906664e+19,759125876647.9917,822780909.7126681,1.199947174159206e-29,1.519911082952933e-12,4.598702113607741e+31,186477992691.82324,3.307859349711253e-19,0.0,0.0
1047615752789.666,5.267047525337688e-19,1.555952496133892e-15,1.555952496133892e-18,2.888118952763576e+31,117113614159.28868,2.9115400205845306e+40,9.671155556815988e+19,3064604265475.1904,324521744.96783257,3.0423034600030256e-29,9.545484566618329e-13,2.888118952763576e+31,117113614159.2887,5.267047525337688e-19,1.3029048050507776e-16,1.52587890625e-05
1668100537200.0557,8.386629146304957e-19,2.477516386850111e-15,2.477516386850111e-18,1.8138228742040449e+31,73550762872.68617,7.381815190962982e+40,3.904262189343775e+20,12371860310491.848,127998063.29214144,7.713348172374043e-29,5.994842503189423e-13,1.813822874204045e+31,73550762872.68619,8.386629146304956e-19,2.074592902443777e-16,1.52587890625e-05
2656087782946.684,1.335388528379429e-18,3.9449067130020286e-15,3.944906713002029e-18,1.1391336273866857e+31,46192022660.9711,1.8715592136216786e+41,1.576157384046684e+21,49945413594401.47,50485073.68331479,1.9556149085866438e-28,3.764935806792472e-13,1.1391336273866857e+31,46192022660.9711,1.335388528379429e-18,0.0,0.0
4229242874389.499,2.1263161761636498e-18,6.281407080448904e-15,6.281407080448904e-18,7.154091171182203e+30,29009936459.871037,4.745084778579036e+41,6.362974561660878e+21,201630496668342.28,19912353.353288632,4.958196603109194e-28,2.3644894126454073e-13,7.154091171182203e+30,29009936459.871037,2.1263161761636498e-18,0.0,0.0
6734150657750.828,3.3856966605082093e-18,1.0001776412169706e-14,1.0001776412169706e-17,4.4929777556477534e+30,18219085567.708336,1.203051946848734e+42,2.568743812143588e+22,813985794909495.0,7853842.475370459,1.2570835621646289e-27,1.4849682622544635e-13,4.4929777556477534e+30,18219085567.708336,3.3856966605082093e-18,0.0,0.0
10722672220103.254,5.3909865359996255e-18,1.5925656483942646e-14,1.5925656483942646e-17,2.8217209747146226e+30,11442116716.892448,3.050175190441905e+42,1.0370063102536804e+23,3286074702302077.0,3097717.308122494,3.1871650294656777e-27,9.326033468832181e-14,2.8217209747146226e+30,11442116716.89245,5.3909865359996255e-18,1.6669543581884687e-16,1.9073486328125e-06
17073526474706.889,8.583975100405675e-18,2.5358148792042783e-14,2.535814879204279e-17,1.7721230088744508e+30,7185982769.356851,7.733305878234876e+42,4.1864123717676e+23,1.3265940286230892e+16,1221803.537712172,8.080625052130428e-27,5.857020818056675e-14,1.7721230088744508e+30,7185982769.356853,8.583975100405677e-18,2.6542627418284343e-16,1.9073486328125e-06
27185882427329.4,1.3668115850844345e-17,4.037734399255298e-14,4.037734399255298e-17,1.1129448966511766e+30,4513006608.75602,1.9606749144687104e+43,1.6900618996427992e+24,5.355482988702561e+16,481904.4916886704,2.048732984625692e-26,3.678379771828634e-14,1.1129448966511765e+30,4513006608.756019,1.3668115850844344e-17,2.1131684464098847e-16,9.5367431640625e-07
43287612810830.62,2.176350568669212e-17,6.42921500801565e-14,6.42921500801565e-17,6.989618309671485e+29,2834299678.191182,4.971025562361864e+43,6.822809056954478e+24,2.1620177253512557e+17,190073.06161886736,5.194284866845404e-26,2.3101297000831583e-14,6.989618309671485e+29,2834299678.191182,2.1763505686692117e-17,0.0,0.0
68926121043496.81,3.4653655627700765e-17,1.02371284319536e-13,1.0237128431953599e-16,4.389684005191796e+29,1780022801.2537713,1.2603361709429995e+44,2.754379791503385e+25,8.728102870634602e+17,74968.7321373008,1.3169405422966023e-25,1.4508287784959435e-14,4.3896840051917966e+29,1780022801.2537718,3.4653655627700765e-17,2.678826124402797e-16,4.76837158203125e-07
109749876549305.9,5.517841958235592e-17,1.6300403455422677e-13,1.6300403455422676e-16,2.75684948901626e+29,1117906196.4983835,3.1954115782751587e+44,1.1119478755028912e+26,3.523550192355855e+18,29569.21275642974,3.338924291608584e-25,9.11162756115487e-15,2.75684948901626e+29,1117906196.4983838,5.5178419582355915e-17,2.1327243721195998e-16,2.384185791015625e-07
174752840000768.28,8.785964806474021e-17,2.595485194658713e-13,2.595485194658713e-16,1.7313818252294007e+29,702077671.8642302,8.101533059179783e+44,4.488952764064901e+26,1.4224632938071658e+19,11662.706812671217,8.465390096998656e-25,5.722367659350221e-15,1.7313818252294007e+29,702077671.8642302,8.785964806474021e-17,0.0,0.0
278255940220712.6,1.3989740584249e-16,4.132746415826629e-13,4.1327464158266285e-16,1.087358245953556e+29,440925239.41118366,2.0540339264969523e+45,1.8121979781554772e+27,5.742508866819649e+19,4600.011887998254,2.146284947953664e-24,3.593813663804626e-15,1.087358245953556e+29,440925239.4111837,1.3989740584249e-16,1.3518084121241803e-16,5.960464477539063e-08
443062145758388.7,2.2275623215605263e-16,6.580501007162817e-13,6.580501007162819e-16,6.828926686270016e+28,276913900.7562773,5.207724686650395e+45,7.315874513807464e+27,2.318260740299473e+20,1814.3394762127928,5.4416146509842175e-24,2.257019719633917e-15,6.828926686270016e+28,276913900.7562773,2.2275623215605263e-16,0.0,0.0
705480231071863.1,3.5469091557157527e-16,1.047801852526905e-12,1.047801852526905e-15,4.288764982469525e+28,173910000.10445935,1.320348026490496e+46,2.953431167396713e+28,9.358858618515708e+20,715.6128755955483,1.3796476575972861e-23,1.4174741629268075e-15,4.288764982469525e+28,173910000.10445932,3.5469091557157527e-16,1.7136635253748776e-16,2.9802322387695312e-08
1123324032978026.4,5.647682418190179e-16,1.6683968606095129e-12,1.668396860609513e-15,2.6934694015441766e+28,109220548.5305429,3.3475635060475176e+46,1.1923052594857534e+29,3.778187376371313e+21,282.25246401355616,3.4979096852612e-23,8.902150854450394e-16,2.6934694015441766e+28,109220548.53054291,5.647682418190178e-16,1.3643184725153282e-16,1.4901161193847656e-08
1788649529057435.0,8.992707536739242e-16,2.6565596136128272e-12,2.656559613612827e-15,1.6915772831360302e+28,68593687.62088107,8.487293654542994e+46,4.813356910059443e+29,1.5252607644622668e+22,111.3261878853475,8.868476019125432e-23,5.590810182512223e-16,1.6915772831360302e+28,68593687.62088107,8.992707536739242e-16,0.0,0.0
2848035868435793.0,1.4318933476298608e-15,4.229994162240552e-12,4.229994162240552e-15,1.062359833448048e+28,43078834.93292727,2.1518382981626003e+47,1.9431604917694772e+30,6.157504029994288e+22,43.90934248314853,2.248481921451588e-22,3.5111917342151425e-16,1.062359833448048e+28,43078834.93292728,1.4318933476298608e-15,1.7295223068414467e-16,7.450580596923828e-09
4534878508128591.0,2.279979139330614e-15,6.735346920468933e-12,6.735346920468933e-15,6.671929370152205e+27,27054763.835345224,5.455694417926582e+47,7.844572441496467e+30,2.485795003896515e+23,17.318749468795595,5.700721228982106e-22,2.2051307399030416e-16,6.671929370152205e+27,27054763.83534523,2.279979139330614e-15,2.7538886098832427e-16,7.450580596923828e-09
7220809018385456.0,3.630371552732758e-15,1.0724577008645564e-11,1.0724577008645564e-14,4.190166092388962e+27,16991180.1775966,1.3832173917161909e+48,3.1668674332631856e+31,1.0035197332063228e+24,6.8308716596706684,1.4453406193982805e-21,1.3848863713938748e-16,4.190166092388962e+27,16991180.177596603,3.630371552732758e-15,2.1924847241475465e-16,3.725290298461914e-09
1.1497569953977404e+16,5.780578156851385e-15,1.7076559436727903e-11,1.7076559436727902e-14,2.631546424989433e+27,10670956.345602317,3.506960262399214e+48,1.278469848377105e+32,4.051226482296198e+24,2.694236539131373,3.6644652881152056e-21,8.697490026177799e-17,2.631546424989433e+27,10670956.345602319,5.780578156851385e-15,1.7455278504616738e-16,1.862645149230957e-09
1.8307382802953696e+16,9.204315134717796e-15,2.719071176056821e-11,2.7190711760568207e-14,1.6526878491650713e+27,6701671.581347336,8.891422531051014e+48,5.161204842493642e+32,1.6354871227513e+25,1.0626624083200369,9.290755180873187e-21,5.462277217684338e-17,1.6526878491650713e+27,6701671.581347336,9.204315134717796e-15,0.0,0.0
2.9150530628251696e+16,1.4655872613500098e-14,4.3295302475049894e-11,4.32953024750499e-14,1.037936135513489e+27,4208845.067831962,2.2542996986112468e+49,2.0835873024298755e+33,6.602489740759358e+25,0.4191359510032527,2.3555450807754603e-20,3.430469286314927e-17,1.0379361355134888e+27,4208845.067831962,1.4655872613500098e-14,0.0,0.0
4.641588833612791e+16,2.3336293783875276e-14,6.893836516352031e-11,6.89383651635203e-14,6.518541429035848e+26,2643277.3659511246,5.715471414626537e+49,8.411477899702173e+33,2.6654365033152624e+26,0.1653158557675177,5.972165361744121e-20,2.154434690031878e-17,6.518541429035848e+26,2643277.3659511246,2.3336293783875273e-14,0.0,0.0
7.390722033525776e+16,3.7157979052417176e-14,1.0976937265093806e-10,1.0976937265093808e-13,4.093833995001597e+26,1660055.2219777082,1.4490803290945163e+50,3.395728145140087e+34,1.0760413165576872e+27,0.0652039800039368,1.5141616010284127e-19,1.3530477745798074e-17,4.093833995001597e+26,1660055.2219777082,3.7157979052417176e-14,0.0,0.0
