timestep,escaped_this_step,total_escaped
0,244,244
1,243,487
2,240,727
3,244,971
4,247,1218
5,245,1463
6,241,1704
7,245,1949
8,244,2193
9,241,2434
10,243,2677
11,243,2920
12,242,3162
13,252,3414
14,241,3655
15,240,3895
16,241,4136
17,245,4381
18,238,4619
19,242,4861
20,251,5112
21,248,5360
22,237,5597
23,244,5841
24,240,6081
25,243,6324
26,239,6563
27,242,6805
28,248,7053
29,246,7299
30,249,7548
31,234,7782
32,240,8022
33,248,8270
34,237,8507
35,244,8751
36,241,8992
37,255,9247
38,244,9491
39,243,9734
40,245,9979
41,241,10220
42,243,10463
43,248,10711
44,247,10958
45,243,11201
46,243,11444
47,241,11685
48,244,11929
49,243,12172
50,242,12414
51,245,12659
52,244,12903
53,241,13144
54,249,13393
55,243,13636
56,245,13881
57,249,14130
58,243,14373
59,241,14614
60,245,14859
61,243,15102
62,238,15340
63,241,15581
64,244,15825
65,238,16063
66,248,16311
67,245,16556
68,242,16798
69,241,17039
70,245,17284
71,246,17530
72,244,17774
73,243,18017
74,239,18256
75,242,18498
76,240,18738
77,238,18976
78,249,19225
79,249,19474
80,243,19717
81,249,19966
82,239,20205
83,243,20448
84,244,20692
85,246,20938
86,244,21182
87,243,21425
88,241,21666
89,243,21909
90,234,22143
91,247,22390
92,242,22632
93,239,22871
94,244,23115
95,244,23359
96,236,23595
97,247,23842
98,243,24085
99,240,24325
