material_name,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,simulated_piezo_response_pc_n
Alumina 99.5%,Traditional Ceramic,0.950774,0.966650,0.663401,1312101373.772934,0.169730,3181.091652,306.466573,12.825523,0.000000
Zirconia (Y-TZP),Traditional Ceramic,0.975281,0.980110,0.734111,1348895804.972924,0.190436,3639.009295,376.313922,14.390186,0.000000
Silicon Carbide (Sintered),Traditional Ceramic,0.959411,0.970895,0.608875,1323650727.905304,0.156464,3281.460283,298.243706,11.823072,0.000000
Silicon Nitride (Sintered),Traditional Ceramic,0.964535,0.973649,0.633254,1331170028.122681,0.163190,3379.174244,315.362767,12.331337,0.000000
Barium Titanate,Functional Ceramic,0.966765,0.974909,0.601878,1334618767.181919,0.155305,3403.364133,306.942043,11.735534,305.908381
Lead Zirconate Titanate (PZT-5H),Functional Ceramic,0.937861,0.961078,0.671247,1297017520.951806,0.170747,3024.955052,293.797796,12.902405,282.707773
Zinc Oxide,Functional Ceramic,0.956340,0.969332,0.638580,1319391947.244116,0.163833,3248.727835,304.919067,12.379915,0.000000
Yttria-Stabilized Zirconia (8YSZ),Functional Ceramic,0.955876,0.969101,0.718189,1318764001.168416,0.184213,3281.567800,334.125565,13.919951,0.000000
SiC-Fiber/SiC-Matrix,Ceramic Composite,0.864040,0.939803,0.819787,1240230299.820844,0.203916,2559.835942,286.647098,18.490512,0.000000
C-Fiber/SiC-Matrix,Ceramic Composite,0.904377,0.949724,0.861278,1266555161.984256,0.216498,2818.646677,327.323314,19.631447,0.000000
Alumina-Zirconia (ZTA),Ceramic Composite,0.856853,0.938323,0.787114,1236329005.242916,0.195481,2509.896937,272.854382,14.771348,0.000000
Alumina-Graphene,Ceramic Composite,0.868615,0.940783,0.822394,1242819058.104579,0.204778,2583.671428,289.989740,15.473887,0.000000
Fly Ash Geopolymer,Geopolymer,0.933299,0.959296,0.633853,1292212378.213116,0.160936,2956.809097,276.122436,12.161044,0.000000
Metakaolin Geopolymer,Geopolymer,0.924273,0.956013,0.672202,1283384967.044607,0.170090,2887.039108,280.678637,12.852690,0.000000
Slag Geopolymer,Geopolymer,0.942137,0.962832,0.612809,1301756679.910708,0.156167,3045.229031,277.971196,11.800637,0.000000
Mullite,Novel Additive,0.889932,0.945807,0.653170,1256127163.233902,0.163509,2617.891348,249.529480,12.355444,0.000000
Cordierite,Novel Additive,0.882509,0.943965,0.615950,1251240012.532432,0.153892,2555.053655,234.030158,11.628704,0.000000
Spinel,Novel Additive,0.889504,0.945697,0.637059,1255837070.960996,0.159458,2607.191449,244.309241,12.049301,0.000000
Hydroxyapatite,Bioceramic,0.885294,0.944643,0.724445,1253039308.733652,0.181129,2625.504454,268.968590,13.686850,0.000000
Portland Cement (Control),Control,0.932000,0.958804,0.640928,1290888381.036448,0.162649,2946.850269,277.277365,12.290485,0.000000
Low-Coherence Mix (Failure),Failure Case,0.608946,0.908723,0.357124,1159557468.861141,0.085894,1714.510096,112.664578,6.490538,0.000000
Cracked Ceramic (Failure),Failure Case,0.580428,0.906497,0.391668,1153882091.696821,0.093972,1694.560333,117.207345,7.100918,0.000000
Amorphous Silica (Failure),Failure Case,0.744029,0.921438,0.238931,1192232768.219425,0.058271,1884.366883,101.554411,4.403205,0.000000
Over-reinforced Composite (Failure),Failure Case,0.602865,0.908240,0.435984,1158323939.976337,0.104806,1745.787909,128.487238,7.919565,0.000000
