material_name,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,simulated_piezo_response_pc_n,dosage_percent,additive
OPC + 0.0000% Nano-Silica,Concrete,0.938767,0.961442,0.666567,1298002048.515028,0.169621,3032.837725,293.144155,12.817318,0,0.000000,Nano-Silica
OPC + 0.2632% Nano-Silica,Concrete,0.942084,0.962809,0.724672,1301695567.181858,0.184670,3100.517919,317.701472,13.954422,0,0.263158,Nano-Silica
OPC + 0.5263% Nano-Silica,Concrete,0.946375,0.964657,0.662296,1306695426.059164,0.169098,3122.322680,300.459920,12.777767,0,0.526316,Nano-Silica
OPC + 0.7895% Nano-Silica,Concrete,0.951604,0.967038,0.607992,1313155880.316781,0.155616,3164.855862,287.366476,11.759036,0,0.789474,Nano-Silica
OPC + 1.0526% Nano-Silica,Concrete,0.957576,0.969954,0.718001,1321085274.461973,0.184327,3307.284969,336.681843,13.928547,0,1.052632,Nano-Silica
OPC + 1.3158% Nano-Silica,Concrete,0.963921,0.973309,0.698244,1330240762.448987,0.179875,3400.994763,339.502342,13.592145,0,1.315789,Nano-Silica
OPC + 1.5789% Nano-Silica,Concrete,0.970113,0.976877,0.735389,1340011526.219500,0.190139,3533.307460,365.834755,14.367688,0,1.578947,Nano-Silica
OPC + 1.8421% Nano-Silica,Concrete,0.975533,0.980274,0.674128,1349347136.972916,0.174905,3614.495245,352.098006,13.216594,0,1.842105,Nano-Silica
OPC + 2.1053% Nano-Silica,Concrete,0.979568,0.982991,0.662128,1356838259.141526,0.172268,3700.486951,356.034078,13.017311,0,2.105263,Nano-Silica
OPC + 2.3684% Nano-Silica,Concrete,0.981724,0.984515,0.709662,1361049656.774499,0.184922,3776.870433,381.336315,13.973466,0,2.368421,Nano-Silica
OPC + 2.6316% Nano-Silica,Concrete,0.981724,0.984515,0.716293,1361049656.774499,0.186650,3780.186013,384.177779,14.104036,0,2.631579,Nano-Silica
OPC + 2.8947% Nano-Silica,Concrete,0.979568,0.982991,0.742808,1356838259.141526,0.193259,3740.827073,390.096397,14.603470,0,2.894737,Nano-Silica
OPC + 3.1579% Nano-Silica,Concrete,0.975533,0.980274,0.659218,1349347136.972916,0.171037,3607.040132,345.993604,12.924272,0,3.157895,Nano-Silica
OPC + 3.4211% Nano-Silica,Concrete,0.970113,0.976877,0.642229,1340011526.219500,0.166052,3486.727356,328.529477,12.547567,0,3.421053,Nano-Silica
OPC + 3.6842% Nano-Silica,Concrete,0.963921,0.973309,0.694456,1330240762.448987,0.178899,3399.100434,338.025438,13.518394,0,3.684211,Nano-Silica
OPC + 3.9474% Nano-Silica,Concrete,0.957576,0.969954,0.631644,1321085274.461973,0.162157,3264.106386,304.098362,12.253298,0,3.947368,Nano-Silica
OPC + 4.2105% Nano-Silica,Concrete,0.951604,0.967038,0.717941,1313155880.316781,0.183758,3219.829962,327.759532,13.885519,0,4.210526,Nano-Silica
OPC + 4.4737% Nano-Silica,Concrete,0.946375,0.964657,0.692095,1306695426.059164,0.176706,3137.222029,311.242192,13.352677,0,4.473684,Nano-Silica
OPC + 4.7368% Nano-Silica,Concrete,0.942084,0.962809,0.629551,1301695567.181858,0.160430,3052.957112,283.787827,12.122743,0,4.736842,Nano-Silica
OPC + 5.0000% Nano-Silica,Concrete,0.938767,0.961442,0.746891,1298002048.515028,0.190061,3072.999506,321.709488,14.361847,0,5.000000,Nano-Silica
OPC + 0.0000% Graphene Oxide,Concrete,0.938767,0.961442,0.888164,1298002048.515028,0.226011,3143.636281,373.515652,17.078374,0,0.000000,Graphene Oxide
OPC + 0.0263% Graphene Oxide,Concrete,0.942084,0.962809,0.911715,1301695567.181858,0.232334,3194.039321,387.026558,17.556153,0,0.026316,Graphene Oxide
OPC + 0.0526% Graphene Oxide,Concrete,0.946375,0.964657,0.907668,1306695426.059164,0.231747,3245.008623,391.889331,17.511758,0,0.052632,Graphene Oxide
OPC + 0.0789% Graphene Oxide,Concrete,0.951604,0.967038,0.866510,1313155880.316781,0.221784,3294.114912,384.261931,16.758974,0,0.078947,Graphene Oxide
OPC + 0.1053% Graphene Oxide,Concrete,0.957576,0.969954,0.931519,1321085274.461973,0.239142,3414.043917,420.445859,18.070596,0,0.105263,Graphene Oxide
OPC + 0.1316% Graphene Oxide,Concrete,0.963921,0.973309,0.801425,1330240762.448987,0.206456,3452.585228,380.276425,15.600683,0,0.131579,Graphene Oxide
OPC + 0.1579% Graphene Oxide,Concrete,0.970113,0.976877,0.879953,1340011526.219500,0.227516,3605.589334,425.442490,17.192107,0,0.157895,Graphene Oxide
OPC + 0.1842% Graphene Oxide,Concrete,0.975533,0.980274,0.804312,1349347136.972916,0.208682,3679.587399,406.341267,15.768919,0,0.184211,Graphene Oxide
OPC + 0.2105% Graphene Oxide,Concrete,0.979568,0.982991,0.870212,1356838259.141526,0.226406,3804.529079,445.210519,17.108210,0,0.210526,Graphene Oxide
OPC + 0.2368% Graphene Oxide,Concrete,0.981724,0.984515,0.948819,1361049656.774499,0.247240,3896.448812,486.595898,18.682536,0,0.236842,Graphene Oxide
OPC + 0.2632% Graphene Oxide,Concrete,0.981724,0.984515,0.909860,1361049656.774499,0.237089,3876.969517,469.059160,17.915430,0,0.263158,Graphene Oxide
OPC + 0.2895% Graphene Oxide,Concrete,0.979568,0.982991,0.871108,1356838259.141526,0.226639,3804.976962,445.603768,17.125820,0,0.289474,Graphene Oxide
OPC + 0.3158% Graphene Oxide,Concrete,0.975533,0.980274,0.938970,1349347136.972916,0.243620,3746.916249,464.231585,18.408947,0,0.315789,Graphene Oxide
OPC + 0.3421% Graphene Oxide,Concrete,0.970113,0.976877,0.931848,1340011526.219500,0.240934,3631.537107,447.350266,18.206018,0,0.342105,Graphene Oxide
OPC + 0.3684% Graphene Oxide,Concrete,0.963921,0.973309,0.850648,1330240762.448987,0.219136,3477.196609,400.102907,16.558862,0,0.368421,Graphene Oxide
OPC + 0.3947% Graphene Oxide,Concrete,0.957576,0.969954,0.946518,1321085274.461973,0.242993,3421.543640,426.501590,18.361571,0,0.394737,Graphene Oxide
OPC + 0.4211% Graphene Oxide,Concrete,0.951604,0.967038,0.934508,1313155880.316781,0.239189,3328.113902,410.858451,18.074107,0,0.421053,Graphene Oxide
OPC + 0.4474% Graphene Oxide,Concrete,0.946375,0.964657,0.893332,1306695426.059164,0.228086,3237.840497,386.381809,17.235167,0,0.447368,Graphene Oxide
OPC + 0.4737% Graphene Oxide,Concrete,0.942084,0.962809,0.911786,1301695567.181858,0.232352,3194.074703,387.053448,17.557516,0,0.473684,Graphene Oxide
OPC + 0.5000% Graphene Oxide,Concrete,0.938767,0.961442,0.935484,1298002048.515028,0.238053,3167.296177,391.314416,17.988279,0,0.500000,Graphene Oxide
OPC + 0.0000% CNTs,Concrete,0.938767,0.961442,0.613557,1298002048.515028,0.156132,3006.332832,274.645773,11.798001,0,0.000000,CNTs
OPC + 0.0263% CNTs,Concrete,0.942084,0.962809,0.676221,1301695567.181858,0.172323,3076.292533,300.314289,13.021445,0,0.026316,CNTs
