material_name,composition,category,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,specific_heat_j_kgk,electrical_resistivity_ohm_m,dielectric_constant,confidence_score,uncertainty_mechanical,uncertainty_thermal,uncertainty_electrical
Alumina 99.5%,Al2O3,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9538760167872964,1111.1072161384136,2960.6959856045937,269.72887558512264,17.58784098226485,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,680.4581639759864,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Alumina 96%,Al2O3,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9310736962202015,1084.546297862962,3206.076390468084,328.868998051947,16.966750325986112,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,664.3597290305594,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Alumina 99.9%,Al2O3,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9379376275082453,1092.5416384009393,3131.5917961001605,290.7909764983369,17.784780325109097,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,735.8832672727107,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Alumina (Porous),Al2O3,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9299062938446739,1083.186467884267,3230.790957728361,343.7472776147319,18.17780000434693,574.3253,30.979,29.985000000000003,5.0099999999999995e-06,694.1014659486692,1.0009999999999999e-07,1.0,0.999,0.0805,0.0965,0.1205
Zirconia (Y-TZP 3mol%),ZrO2,Traditional Ceramic,0.98,0.99,0.8300000000000001,0.9242803654901413,1066.9337970998895,3058.4911640432097,298.03207804899665,16.24318962651638,570.953,30.79,9.95,5.0999999999999995e-06,674.5401887125738,10100000000.0,9.1048925,0.99,0.085,0.101,0.125
Zirconia (Y-TZP 5mol%),ZrO2,Traditional Ceramic,0.98,0.99,0.8300000000000001,0.9504037116337423,1097.089020487294,3082.888799578157,292.21881738951305,16.317539432805255,570.953,30.79,9.95,5.0999999999999995e-06,722.9061156699306,10100000000.0,9.1048925,0.99,0.085,0.101,0.125
Zirconia (Mg-PSZ),ZrO2,Traditional Ceramic,0.98,0.99,0.8300000000000001,0.9380565296105274,1082.8361743906162,2983.8233760794706,307.37547455670284,16.911193269358407,570.953,30.79,9.95,5.0999999999999995e-06,744.5691513075747,10100000000.0,9.1048925,0.99,0.085,0.101,0.125
Zirconia (Ceria-Stabilized),ZrO2,Traditional Ceramic,0.98,0.99,0.8300000000000001,0.9598969244759157,1108.0474157995284,3019.069922954838,296.57447897533257,15.987820815966167,570.953,30.79,9.95,5.0999999999999995e-06,706.1990421500543,10100000000.0,9.1048925,0.99,0.085,0.101,0.125
Silicon Carbide (Sintered),SiC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9553516013283126,1112.8260271816637,3792.4182864984573,402.1680821343118,17.04077443223924,574.3253,39.97,19.990000000000002,5.0099999999999995e-06,671.5600129979117,100.1,1.0,0.999,0.0805,0.0965,0.1205
Silicon Carbide (Reaction Bonded),SiC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9294638412222513,1082.67108402628,3544.7959348210593,389.0246528087207,18.06989435276786,574.3253,39.97,19.990000000000002,5.0099999999999995e-06,656.8615491889622,100.1,1.0,0.999,0.0805,0.0965,0.1205
Silicon Carbide (Hot Pressed),SiC,Traditional Ceramic,0.999,0.999,0.8300000000000001,0.9584984030732099,1116.4915288453794,3588.690174340965,366.5849782675208,16.948652989618008,574.3253,39.97,19.990000000000002,5.0099999999999995e-06,675.7341491784455,100.1,1.0,0.999,0.0805,0.0965,0.1205
