material_name,composition,category,compressive_strength_mpa,tensile_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_conductivity_anisotropy,thermal_expansion_coeff,thermal_expansion_anisotropy,specific_heat_j_kgk,electrical_resistivity_ohm_m,dielectric_constant,band_gap_ev,carrier_mobility_cm2_vs,base_nrci,final_nrci,structural_optimization,resonance_strength,ubp_energy_cu,grain_size_um,porosity_fraction,uncertainty_mechanical,uncertainty_thermal,uncertainty_electrical,confidence_score
Alumina 99.5%,Al2O3,Traditional Ceramic,3044.729909779122,304.4729909779122,17.121238650145436,563.486405708362,30.80926231889224,29.526130632710295,1.0,1.0016917290129798e-05,1.0,714.0680905439971,1.0016917290129796e-07,1.0,,,0.999,0.9983082709870204,0.83371625,0.9489306646909141,1105.28543567812,2.0,0.01,0.08084586450648983,0.09684586450648983,0.12084586450648982,0.9974638374540572
Alumina 96%,Al2O3,Traditional Ceramic,3043.7756727431843,304.37756727431844,17.109078048356228,563.4055174016692,30.80967430116698,29.526421963033144,1.0,1.0016720119765354e-05,1.0,714.8229201660863,1.0016720119765354e-07,1.0,,,0.999,0.9983279880234646,0.83271625,0.9486444666164251,1104.7844925433592,2.0,0.01,0.08083600598826772,0.09683600598826772,0.12083600598826771,0.9974933798472216
Alumina 99.9%,Al2O3,Traditional Ceramic,3045.710064108268,304.5710064108268,17.13392156835823,563.5688585648415,30.80893936884919,29.52590226089414,1.0,1.0017071850608704e-05,1.0,716.4846349067959,1.0017071850608703e-07,1.0,,,0.999,0.9982928149391296,0.83471625,0.9492198454573906,1105.7946669580087,2.0,0.01,0.08085359253043521,0.09685359253043521,0.1208535925304352,0.9974406796491104
Alumina (Porous),Al2O3,Traditional Ceramic,3041.0455397839155,304.10455397839155,17.075252685778782,563.1708608256808,30.811366692409926,29.527618725412086,1.0,1.0015910159195176e-05,1.0,725.623758628436,1.0015910159195175e-07,1.0,,,0.999,0.9984089840804824,0.82971625,0.9478011638563376,1103.324165698442,2.0,0.01,0.0807955079597588,0.0967955079597588,0.1207955079597588,0.9976147417865516
Zirconia (Y-TZP 3mol%),ZrO2,Traditional Ceramic,3040.1713446267104,304.01713446267104,17.064690494259494,563.0948091095411,30.81205459191182,9.842701722877093,1.0,1.0015580937760653e-05,1.0,749.348016597504,10215892556.515865,9.1074,,,0.999,0.9984419062239347,0.82871625,0.9475242093567543,1102.8489277029219,2.0,0.01,0.08077904688803265,0.09677904688803265,0.12077904688803265,0.9976640731640095
Zirconia (Y-TZP 5mol%),ZrO2,Traditional Ceramic,3041.0455397839155,304.10455397839155,17.075252685778782,563.1708608256808,30.811366692409926,9.842539575137362,1.0,1.0015910159195176e-05,1.0,737.0357560626574,10216228362.379078,9.1074,,,0.999,0.9984089840804824,0.82971625,0.9478011638563376,1103.324165698442,2.0,0.01,0.0807955079597588,0.0967955079597588,0.1207955079597588,0.9976147417865516
Zirconia (Mg-PSZ),ZrO2,Traditional Ceramic,3044.729909779122,304.4729909779122,17.121238650145436,563.486405708362,30.80926231889224,9.842043544236764,1.0,1.0016917290129798e-05,1.0,738.1563972830147,10217255635.932394,9.1074,,,0.999,0.9983082709870204,0.83371625,0.9489306646909141,1105.28543567812,2.0,0.01,0.08084586450648983,0.09684586450648983,0.12084586450648982,0.9974638374540572
Zirconia (Ceria-Stabilized),ZrO2,Traditional Ceramic,3041.9359233764453,304.19359233764453,17.086135552789155,563.2478915519928,30.810734764532885,9.842390620709203,1.0,1.0016212593201339e-05,1.0,749.7987552668137,10216536845.065367,9.1074,,,0.999,0.998378740679866,0.83071625,0.9480799934759061,1103.8046252738427,2.0,0.01,0.08081062966006701,0.09681062966006701,0.120810629660067,0.9975694252606906
Silicon Carbide (Sintered),SiC,Traditional Ceramic,3442.342573376171,344.2342573376171,14.331687081652092,555.6206061703497,39.05494583104717,24.31881151143657,1.0,1.0249434188965827e-05,1.0,687.5838614562944,102.49434188965827,13.19672131147541,1.12,1400.0,0.999,0.9750565811034172,0.84171625,0.935054481772392,1065.2147902090653,2.0,0.01,0.0924717094482914,0.1084717094482914,0.1324717094482914,0.9628959587282511
Silicon Carbide (Reaction Bonded),SiC,Traditional Ceramic,3466.0851936858517,346.6085193685852,14.876258113445688,556.5602003561255,39.22217826381868,24.387794889954822,1.0,1.0193409216008105e-05,1.0,790.8117587440073,101.93409216008105,13.19672131147541,1.12,1400.0,0.999,0.9806590783991894,0.82871625,0.9350762298794326,1068.9760613640958,2.0,0.01,0.08967046080040529,0.10567046080040529,0.12967046080040528,0.9711756532229685
Silicon Carbide (Hot Pressed),SiC,Traditional Ceramic,3439.0811174726473,343.90811174726474,14.294571400497066,555.4046313115944,39.051397357019454,24.317347765900138,1.0,1.0250622972493936e-05,1.0,613.9364721654345,102.50622972493935,13.19672131147541,1.12,1400.0,0.999,0.9749377027506065,0.83971625,0.9343712669254245,1063.9423143163622,2.0,0.01,0.09253114862469673,0.10853114862469673,0.13253114862469673,0.9627206134976183
Silicon Carbide (CVD),SiC,Traditional Ceramic,3464.9508724361217,346.4950872436122,14.86586311769976,556.4783489748291,39.22256265922961,24.387953453061826,1.0,1.0193280438700108e-05,1.0,705.9252690993274,101.93280438700107,13.19672131147541,1.12,1400.0,0.999,0.9806719561299893,0.82771625,0.9347852442909925,1068.4740971799906,2.0,0.01,0.08966402193500538,0.10566402193500538,0.12966402193500537,0.9711947208349044
Silicon Nitride (Sintered),Si3N4,Traditional Ceramic,3445.819994338475,344.58199943384756,14.463910339328466,555.6421633547932,30.358864609518907,24.339695924711194,1.0,1.0232472875761385e-05,1.0,800.0,102.32472875761385,13.19672131147541,1.12,1400.0,0.999,0.9767527124238616,0.83471625,0.934141773696703,1064.7487914771261,2.0,0.01,0.09162364378806918,0.10762364378806918,0.13162364378806918,0.9653992868256163
Silicon Nitride (Hot Pressed),Si3N4,Traditional Ceramic,3447.210805037538,344.72108050375385,14.478389194984505,555.7375391631077,30.359383354926457,24.340001613969218,1.0,1.023222460968944e-05,1.0,710.3622476027743,102.3222460968944,13.19672131147541,1.12,1400.0,0.999,0.9767775390310559,0.83571625,0.9344591523217392,1065.3201685739336,2.0,0.01,0.09161123048447205,0.10761123048447205,0.13161123048447204,0.9654359498933109
Silicon Nitride (RBSN),Si3N4,Traditional Ceramic,3464.9508724361217,346.4950872436122,14.86586311769976,556.4783489748291,30.440756172780585,24.387953453061826,1.0,1.0193280438700108e-05,1.0,760.9566685531063,101.93280438700107,13.19672131147541,1.12,1400.0,0.999,0.9806719561299893,0.82771625,0.9347852442909925,1068.4740971799906,2.0,0.01,0.08966402193500538,0.10566402193500538,0.12966402193500537,0.9711947208349044
Boron Carbide (B4C),B4C,Traditional Ceramic,3435.5873921687175,343.5587392168718,14.19112578515054,555.3134299161719,39.0161475917275,24.30280723771721,1.0,1.0262432088193075e-05,1.0,683.4981828958605,10467680729.956934,6.1051,,,0.9974324999999999,0.9737567911806926,0.8437162500000001,0.9347446288264847,1063.80638714022,2.0,0.01,0.09312160440965371,0.10912160440965371,0.1331216044096537,0.9609795397756058
Boron Nitride (h-BN),BN,Traditional Ceramic,3303.7785279660243,330.37785279660244,11.929683218768151,548.1782142251253,38.49329768914398,9.634852661160602,1.0,1.0437593396126754e-05,1.0,758.5045647305024,10646345264.04929,6.2409,,,0.9774324999999999,0.9562406603873247,0.83571625,0.9200833372711272,1026.8772557890784,2.0,0.01,0.10187966980633766,0.11787966980633766,0.14187966980633765,0.9353184304826557
Boron Nitride (c-BN),BN,Traditional Ceramic,3292.6043320152385,329.2604332015239,11.612247497569848,547.783537541743,38.39987478720565,9.619437882340778,1.0,1.0468891245879847e-05,1.0,735.1082308390978,10678269070.797441,6.2409,,,0.9774324999999999,0.9531108754120154,0.8447162500000001,0.9205924877884109,1025.662032284637,2.0,0.01,0.10344456229399228,0.11944456229399228,0.14344456229399227,0.9307656081203369
Aluminum Nitride (AlN),AlN,Traditional Ceramic,3046.718208103437,304.6718208103437,17.147170301446288,563.6530004836175,30.808712455048752,29.525741800420967,1.0,1.0017180449156442e-05,1.0,752.7932202437536,1.0017180449156441e-07,1.0,,,0.999,0.9982819550843558,0.83571625,0.9495122435590491,1106.312839613557,2.0,0.01,0.0808590224578221,0.0968590224578221,0.1208590224578221,0.9974244084656998
Titanium Carbide (TiC),TiC,Traditional Ceramic,3421.6341260709924,342.16341260709925,13.932352453874087,554.6062243520598,38.95196389794693,24.276331464032726,1.3,1.028393443465057e-05,1.3,790.511927776924,10489613123.343582,7.9939,,,0.999,0.971606556534943,0.8447162500000001,0.9335394645744601,1060.2701783496802,2.0,0.01,0.09419672173252851,0.11019672173252851,0.1341967217325285,0.9578129286183161
Titanium Diboride (TiB2),TiB2,Traditional Ceramic,3426.960946429922,342.6960946429922,14.027186285160687,554.8851003262405,38.97453043117249,9.714256063595306,1.0,1.0276374361566909e-05,1.0,660.3771427946049,10481901848.798248,7.3163,,,0.9974324999999999,0.9723625638433091,0.8447162500000001,0.9340686696903162,1061.6966887776857,2.0,0.01,0.09381871807834545,0.10981871807834545,0.13381871807834544,0.9589257597036213
Tungsten Carbide (WC),WC,Traditional Ceramic,3297.4847758916435,329.7484775891644,11.916849504173154,547.6641418866268,38.50640656121693,28.911046875157915,1.0,1.0433201758743852e-05,1.0,700.8394068350751,1.043320175874385e-07,1.0,,,0.9744324999999999,0.9566798241256149,0.82771625,0.9179907518879304,1023.6071589611017,2.0,0.01,0.10166008793719254,0.11766008793719254,0.14166008793719254,0.9359580550073162
Mullite,3Al2O3-2SiO2,Traditional Ceramic,3447.210805037538,344.72108050375385,14.478389194984505,555.7375391631077,30.359383354926457,29.20800193676306,1.0,1.023222460968944e-05,1.0,751.6746558930927,1.0232224609689439e-07,1.0,,,0.999,0.9767775390310559,0.83571625,0.9344591523217392,1065.3201685739336,2.0,0.01,0.09161123048447205,0.10761123048447205,0.13161123048447204,0.9654359498933109
Cordierite,2MgO-2Al2O3-5SiO2,Traditional Ceramic,3464.9508724361217,346.4950872436122,14.86586311769976,556.4783489748291,30.440756172780585,29.265544143674195,1.0,1.0193280438700108e-05,1.0,759.7945931864301,1.0193280438700108e-07,1.0,,,0.999,0.9806719561299893,0.82771625,0.9347852442909925,1068.4740971799906,2.0,0.01,0.08966402193500538,0.10566402193500538,0.12966402193500537,0.9711947208349044
Spinel,MgAl2O4,Traditional Ceramic,3042.8451325115593,304.28451325115594,17.097393400292294,563.3260601299415,30.810167793419982,29.52677093255491,1.0,1.0016483939586401e-05,1.0,730.5304634375684,1.00164839395864e-07,1.0,,,0.999,0.99835160604136,0.83171625,0.948360999228952,1104.291137636976,2.0,0.01,0.08082419697932001,0.09682419697932002,0.12082419697932001,0.9975287676633614
Forsterite,Mg2SiO4,Traditional Ceramic,3453.1197648848356,345.3119764884836,14.640720853731754,555.9084216475819,30.39851287941984,24.363060083759958,1.0,1.0213497632637555e-05,1.0,674.3306549971725,102.13497632637554,13.19672131147541,1.12,1400.0,0.999,0.9786502367362446,0.82971625,0.9339700407153712,1065.7071104888848,2.0,0.01,0.09067488163187769,0.10667488163187769,0.13067488163187768,0.9682032613000762
