material_name,ubp_quantum_energy_cu,band_gap_ev,quantum_coherence,ubp_energy_class,electrical_resistivity_ohm_m
Alumina 99.5%,76760924.75542013,0.0,0.98,Metal,1.1559992845117845e-07
Alumina 96%,76760924.75542013,0.0,0.98,Metal,1.1439597643097644e-07
Alumina 99.9%,76760924.75542013,0.0,0.98,Metal,1.1627585016835017e-07
Alumina (Porous),76760924.75542013,0.0,0.98,Metal,1.1274584595959597e-07
Zirconia (Y-TZP 3mol%),23541001.941303845,5.0,0.92,Insulator,14444109360373.434
Zirconia (Y-TZP 5mol%),23541001.941303845,5.0,0.92,Insulator,14543212102911.338
Zirconia (Mg-PSZ),23541001.941303845,5.0,0.92,Insulator,14911363378738.96
Zirconia (Ceria-Stabilized),23541001.941303845,5.0,0.92,Insulator,14632901100115.973
Silicon Carbide (Sintered),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Carbide (Reaction Bonded),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Carbide (Hot Pressed),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Carbide (CVD),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Nitride (Sintered),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Nitride (Hot Pressed),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon Nitride (RBSN),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Boron Carbide (B4C),23541001.941303845,5.0,0.92,Insulator,15346462996377.902
Boron Nitride (h-BN),23541001.941303845,5.0,0.92,Insulator,14977831804121.523
Boron Nitride (c-BN),23541001.941303845,5.0,0.92,Insulator,16071395220336.49
Aluminum Nitride (AlN),76760924.75542013,0.0,0.98,Metal,1.1611522306397307e-07
Titanium Carbide (TiC),23541001.941303845,5.0,0.92,Insulator,16071395220336.49
Titanium Diboride (TiB2),23541001.941303845,5.0,0.92,Insulator,16023717368972.104
Tungsten Carbide (WC),76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
Mullite,76760924.75542013,0.0,0.98,Metal,1.1611522306397307e-07
Cordierite,76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
Spinel,76760924.75542013,0.0,0.98,Metal,1.13818648989899e-07
Forsterite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Steatite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Urania (UO2),23541001.941303845,5.0,0.92,Insulator,14911363378738.96
Thoria (ThO2),23541001.941303845,5.0,0.92,Insulator,15200937568520.045
Hafnia (HfO2),23541001.941303845,5.0,0.92,Insulator,15644241911258.28
Barium Titanate (Pure),23541001.941303845,5.0,0.92,Insulator,14254883850012.598
Barium Titanate (Sr-doped),23541001.941303845,5.0,0.92,Insulator,14131766827712.762
Barium Titanate (Ca-doped),23541001.941303845,5.0,0.92,Insulator,14164438061516.469
Lead Zirconate Titanate (PZT-5H),23541001.941303845,5.0,0.92,Insulator,14043757538008.77
Lead Zirconate Titanate (PZT-4),23541001.941303845,5.0,0.92,Insulator,14087799099509.13
Lead Zirconate Titanate (PZT-8),23541001.941303845,5.0,0.92,Insulator,14131766827712.762
Lead Lanthanum Zirconate Titanate (PLZT),23541001.941303845,5.0,0.92,Insulator,13980371652764.748
Zinc Oxide (ZnO),23541001.941303845,5.0,0.92,Insulator,13848283884912.031
Zinc Oxide (Al-doped),23541001.941303845,5.0,0.92,Insulator,13763707843506.057
Yttria-Stabilized Zirconia (8YSZ),23541001.941303845,5.0,0.92,Insulator,14543212102911.338
Scandia-Stabilized Zirconia (ScSZ),23541001.941303845,5.0,0.92,Insulator,14681594159310.422
Bismuth Ferrite (BFO),76760924.75542013,0.0,0.98,Metal,1.0554896464646465e-07
Sodium Bismuth Titanate (NBT),23541001.941303845,5.0,0.92,Insulator,13941387672090.496
Potassium Sodium Niobate (KNN),23541001.941303845,5.0,0.92,Insulator,13848283884912.031
Lithium Niobate (LiNbO3),23541001.941303845,5.0,0.92,Insulator,13980371652764.748
Hydroxyapatite,23541001.941303845,5.0,0.92,Insulator,14043757538008.77
Bioactive Glass (45S5),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Silicon-doped Hydroxyapatite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Tin Oxide (SnO2),23541001.941303845,5.0,0.92,Insulator,14364083295878.54
Indium Tin Oxide (ITO),23541001.941303845,5.0,0.92,Insulator,14543212102911.338
Titanium Dioxide (Rutile),23541001.941303845,5.0,0.92,Insulator,14364083295878.54
Titanium Dioxide (Anatase),23541001.941303845,5.0,0.92,Insulator,13663442226544.629
Ferrite (MnZn),76760924.75542013,0.0,0.98,Metal,1.0955612794612794e-07
Ferrite (NiZn),76760924.75542013,0.0,0.98,Metal,1.0887383838383837e-07
Garnet (YIG),76760924.75542013,0.0,0.98,Metal,1.1197755471380473e-07
SiC-Fiber/SiC-Matrix (CVI),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
SiC-Fiber/SiC-Matrix (PIP),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
C-Fiber/SiC-Matrix,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
C-Fiber/C-Matrix (C/C),23541001.941303845,5.0,0.92,Insulator,15200937568520.045
Al2O3-Fiber/Al2O3-Matrix,76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
Alumina-Zirconia (ZTA 10%),76760924.75542013,0.0,0.98,Metal,1.13818648989899e-07
Alumina-Zirconia (ZTA 20%),76760924.75542013,0.0,0.98,Metal,1.13818648989899e-07
Alumina-SiC Whisker (15%),76760924.75542013,0.0,0.98,Metal,1.1611522306397307e-07
Alumina-SiC Whisker (30%),76760924.75542013,0.0,0.98,Metal,1.1632271464646467e-07
Alumina-Graphene (0.5wt%),76760924.75542013,0.0,0.98,Metal,1.13818648989899e-07
Alumina-Graphene (1.0wt%),76760924.75542013,0.0,0.98,Metal,1.13818648989899e-07
Zirconia-Toughened Alumina (ZTA),76760924.75542013,0.0,0.98,Metal,1.1439597643097644e-07
Alumina-Toughened Zirconia (ATZ),23541001.941303845,5.0,0.92,Insulator,14543212102911.338
Si3N4-SiC Nanocomposite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Si3N4-TiN Composite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
WC-Co (6%),76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
WC-Co (12%),76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
TiC-NiMo,23541001.941303845,5.0,0.92,Insulator,14444109360373.434
MAX Phase (Ti3SiC2),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
MAX Phase (Ti2AlC),76760924.75542013,0.0,0.98,Metal,1.1274584595959597e-07
MAX Phase (Cr2AlC),76760924.75542013,0.0,0.98,Metal,1.1344115740740743e-07
MXene (Ti3C2Tx),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Diamond-SiC Composite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
B4C-TiB2 Composite,23541001.941303845,5.0,0.92,Insulator,15262182288158.855
Al2O3-Cu Interpenetrating,76760924.75542013,0.0,0.98,Metal,1.0735843434343437e-07
SiC-Al Interpenetrating,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Glass-Ceramic (LAS),76760924.75542013,0.0,0.98,Metal,1.083824410774411e-07
Glass-Ceramic (MAS),76760924.75542013,0.0,0.98,Metal,1.0955612794612794e-07
Zirconia-CNT (1wt%),23541001.941303845,5.0,0.92,Insulator,14364083295878.54
Mullite-Cordierite Composite,76760924.75542013,0.0,0.98,Metal,1.1274584595959597e-07
SiAlON (alpha),76760924.75542013,0.0,0.98,Metal,1.1627585016835017e-07
SiAlON (beta),76760924.75542013,0.0,0.98,Metal,1.1627585016835017e-07
Alumina-Carbon Nanotube (CNT),76760924.75542013,0.0,0.98,Metal,1.1344115740740743e-07
Diamond-like Carbon (DLC) on Si,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
TiN on Steel,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Fly Ash Geopolymer (NaOH activator),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Fly Ash Geopolymer (Na2SiO3 activator),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Fly Ash Geopolymer (KOH activator),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Metakaolin Geopolymer (Na2SiO3),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Metakaolin Geopolymer (K2SiO3),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Slag Geopolymer (NaOH),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Slag Geopolymer (Na2CO3),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Fly Ash/Slag (70/30) Blend,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Fly Ash/Slag (50/50) Blend,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Geopolymer Concrete (Basalt aggregate),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Geopolymer Foam (H2O2),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Geopolymer-Basalt Fiber Composite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Geopolymer-Carbon Fiber Composite,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Red Mud Geopolymer,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Rice Husk Ash Geopolymer,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Geopolymer-Hemp Composite,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
High-Temperature Geopolymer (Phosphate),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Ferro-sialate Geopolymer,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Geopolymer Mortar,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Self-healing Geopolymer (Microcapsules),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Concrete + Nano-Silica (3%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Titanium Dioxide (3%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Graphene Oxide (0.1%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Carbon Nanotubes (0.1%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Basalt Fibers (1%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Bacterial Spores (1%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Mullite (5%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Cordierite (5%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Spinel (5%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + SiC particles (5%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + AlN particles (2%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + B4C particles (2%),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Wollastonite,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Phase Change Material (PCM),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Concrete + Superabsorbent Polymer (SAP),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
UHPC (Ultra-High Performance Concrete),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Shotcrete Mix,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Lightweight Concrete (Expanded Clay),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Heavyweight Concrete (Barite),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Pervious Concrete,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Low-Coherence Mix (High w/c),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Cracked Alumina,76760924.75542013,0.0,0.98,Metal,1.1559992845117845e-07
Amorphous Silica,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Over-reinforced Composite (30% SiC),76760924.75542013,0.0,0.98,Metal,1.1632271464646467e-07
Under-sintered Alumina,76760924.75542013,0.0,0.98,Metal,1.0955612794612794e-07
Phase-separated Zirconia,23541001.941303845,5.0,0.92,Insulator,13980371652764.748
Geopolymer (Wrong Activator Ratio),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Bloated Ceramic,23541001.941303845,5.0,0.92,Insulator,14043757538008.77
Devitrified Glass,23541001.941303845,5.0,0.92,Insulator,13614878375619.46
Thermal Shocked SiC,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Agglomerated Nanoparticles in Concrete,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Contaminated Raw Material (Fe),76760924.75542013,0.0,0.98,Metal,1.1439597643097644e-07
Wrong Firing Atmosphere (Oxidized Si3N4),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
PZT Depoled,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
C/C Composite (Oxidized),23541001.941303845,5.0,0.92,Insulator,13614878375619.46
Geopolymer (Efflorescence),32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Concrete (Alkali-Silica Reaction),23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Slump Failed Concrete,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Segregated Concrete Mix,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Freeze-Thaw Damaged Concrete,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: Nano-Silica in OPC,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: Graphene Oxide in OPC,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: CNTs in OPC,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: SiC particles in Al2O3,76760924.75542013,0.0,0.98,Metal,1.1559992845117845e-07
Dosage Study: Y2O3 in ZrO2,23541001.941303845,5.0,0.92,Insulator,14543212102911.338
Dosage Study: Basalt Fibers in Geopolymer,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Dosage Study: TiO2 in OPC,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: Bacterial Spores in OPC,23541001.941303845,5.0,0.92,Insulator,13556217821366.258
Dosage Study: Slag in Fly Ash Geopolymer,32237546.349998776,1.0,0.95,Semiconductor,1644785293678.7405
Dosage Study: Cobalt in WC,76760924.75542013,0.0,0.98,Metal,1.1135715488215489e-07
