material_name,quantum_coherence,base_nrci,final_nrci,nrci_change,predicted_nrci,prediction_error,coherence_transfer
Alumina 99.5%,0.98,0.95,0.8666673681257014,-0.08333263187429851,0.49625151562995296,0.3704158524957485,0.894035811329671
Alumina 96%,0.98,0.95,0.8784708193041526,-0.07152918069584735,0.49625151562995296,0.38221930367419965,0.9062120030716522
Alumina 99.9%,0.98,0.95,0.860040684624018,-0.08995931537598201,0.49625151562995296,0.363789168994065,0.8871998641384606
Alumina (Porous),0.98,0.95,0.894648569023569,-0.055351430976430915,0.49625151562995296,0.3983970533936161,0.9229006290979975
Zirconia (Y-TZP 3mol%),0.92,0.95,0.9021808361391692,-0.04781916386083074,0.5163788957705495,0.3858019403686197,0.8736909149979324
Zirconia (Y-TZP 5mol%),0.92,0.95,0.894648569023569,-0.055351430976430915,0.5163788957705495,0.3782696732530195,0.8663965089491407
Zirconia (Mg-PSZ),0.92,0.95,0.8666673681257014,-0.08333263187429851,0.5163788957705495,0.3502884723551519,0.839298924921732
Zirconia (Ceria-Stabilized),0.92,0.95,0.8878317901234567,-0.06216820987654326,0.5163788957705495,0.3714528943529072,0.8597949967511371
Silicon Carbide (Sintered),0.95,0.95,0.8400035072951739,-0.10999649270482603,0.5062151811882539,0.33378832610692,0.8400035072951739
Silicon Carbide (Reaction Bonded),0.95,0.95,0.9021808361391692,-0.04781916386083074,0.5062151811882539,0.3959656549509153,0.9021808361391692
Silicon Carbide (Hot Pressed),0.95,0.95,0.8446583894500561,-0.10534161054994384,0.5062151811882539,0.3384432082618022,0.8446583894500561
Silicon Carbide (CVD),0.95,0.95,0.908263187429854,-0.04173681257014594,0.5062151811882539,0.4020480062416001,0.908263187429854
Silicon Nitride (Sintered),0.95,0.95,0.860040684624018,-0.08995931537598201,0.5062151811882539,0.353825503435764,0.860040684624018
Silicon Nitride (Hot Pressed),0.95,0.95,0.8616154601571269,-0.08838453984287309,0.5062151811882539,0.35540027896887294,0.8616154601571269
Silicon Nitride (RBSN),0.95,0.95,0.908263187429854,-0.04173681257014594,0.5062151811882539,0.4020480062416001,0.908263187429854
Boron Carbide (B4C),0.92,0.95,0.8335977833894501,-0.11640221661054984,0.5163788957705495,0.3172188876189006,0.8072736428613623
Boron Nitride (h-BN),0.92,0.95,0.8616154601571269,-0.08838453984287309,0.5163788957705495,0.34523656438657735,0.8344065508890072
Boron Nitride (c-BN),0.92,0.95,0.7784995791245792,-0.17150042087542072,0.5163788957705495,0.2621206833540297,0.7539153818890663
Aluminum Nitride (AlN),0.98,0.95,0.8616154601571269,-0.08838453984287309,0.49625151562995296,0.3653639445271739,0.8888243694252468
Titanium Carbide (TiC),0.92,0.95,0.7784995791245792,-0.17150042087542072,0.5163788957705495,0.2621206833540297,0.7539153818890663
Titanium Diboride (TiB2),0.92,0.95,0.7821233164983165,-0.1678766835016835,0.5163788957705495,0.26574442072776694,0.7574246854510013
Tungsten Carbide (WC),0.98,0.95,0.908263187429854,-0.04173681257014594,0.49625151562995296,0.41201167179990106,0.9369451828223757
Mullite,0.98,0.95,0.8616154601571269,-0.08838453984287309,0.49625151562995296,0.3653639445271739,0.8888243694252468
Cordierite,0.98,0.95,0.908263187429854,-0.04173681257014594,0.49625151562995296,0.41201167179990106,0.9369451828223757
Spinel,0.98,0.95,0.8841308922558923,-0.0658691077441077,0.49625151562995296,0.3878793766259393,0.9120508151692363
Forsterite,0.95,0.95,0.894648569023569,-0.055351430976430915,0.5062151811882539,0.3884333878353151,0.894648569023569
Steatite,0.95,0.95,0.9259203142536476,-0.02407968574635233,0.5062151811882539,0.4197051330653937,0.9259203142536476
Urania (UO2),0.92,0.95,0.8666673681257014,-0.08333263187429851,0.5163788957705495,0.3502884723551519,0.839298924921732
Thoria (ThO2),0.92,0.95,0.8446583894500561,-0.10534161054994384,0.5163788957705495,0.3282794936795066,0.8179849666253176
Hafnia (HfO2),0.92,0.95,0.8109652076318744,-0.13903479236812555,0.5163788957705495,0.2945863118613249,0.7853557800224469
Barium Titanate (Pure),0.92,0.95,0.9165628507295172,-0.0334371492704828,0.5163788957705495,0.40018395495896764,0.8876187607064798
Barium Titanate (Sr-doped),0.92,0.95,0.9259203142536476,-0.02407968574635233,0.5163788957705495,0.4095414184830981,0.8966807253824799
Barium Titanate (Ca-doped),0.92,0.95,0.9234371492704824,-0.026562850729517584,0.5163788957705495,0.40705825349993285,0.8942759761356252
Lead Zirconate Titanate (PZT-5H),0.92,0.95,0.9326094276094276,-0.0173905723905724,0.5163788957705495,0.41623053183887804,0.9031586035796563
Lead Zirconate Titanate (PZT-4),0.92,0.95,0.9292620650953984,-0.020737934904601518,0.5163788957705495,0.4128831693248489,0.8999169472502807
Lead Zirconate Titanate (PZT-8),0.92,0.95,0.9259203142536476,-0.02407968574635233,0.5163788957705495,0.4095414184830981,0.8966807253824799
Lead Lanthanum Zirconate Titanate (PLZT),0.92,0.95,0.9374270482603816,-0.012572951739618365,0.5163788957705495,0.4210481524898321,0.9078240888416328
Zinc Oxide (ZnO),0.92,0.95,0.9474663299663298,-0.00253367003367011,0.5163788957705495,0.43108743419578033,0.9175463405989721
Zinc Oxide (Al-doped),0.92,0.95,0.9538945005611672,0.0038945005611672467,0.5163788957705495,0.4375156047906177,0.92377151633292
Yttria-Stabilized Zirconia (8YSZ),0.92,0.95,0.894648569023569,-0.055351430976430915,0.5163788957705495,0.3782696732530195,0.8663965089491407
Scandia-Stabilized Zirconia (ScSZ),0.92,0.95,0.8841308922558923,-0.0658691077441077,0.5163788957705495,0.36775199648534274,0.8562109693425484
Bismuth Ferrite (BFO),0.98,0.95,0.9652062289562288,0.015206228956228807,0.49625151562995296,0.4689547133262758,0.9956864256601098
Sodium Bismuth Titanate (NBT),0.92,0.95,0.9403900112233444,-0.009609988776655531,0.5163788957705495,0.4240111154527949,0.9106934845531336
Potassium Sodium Niobate (KNN),0.92,0.95,0.9474663299663298,-0.00253367003367011,0.5163788957705495,0.43108743419578033,0.9175463405989721
Lithium Niobate (LiNbO3),0.92,0.95,0.9374270482603816,-0.012572951739618365,0.5163788957705495,0.4210481524898321,0.9078240888416328
Hydroxyapatite,0.92,0.95,0.9326094276094276,-0.0173905723905724,0.5163788957705495,0.41623053183887804,0.9031586035796563
Bioactive Glass (45S5),0.95,0.95,0.9538945005611672,0.0038945005611672467,0.5062151811882539,0.4476793193729133,0.9538945005611673
Silicon-doped Hydroxyapatite,0.95,0.95,0.9374270482603816,-0.012572951739618365,0.5062151811882539,0.43121186707212766,0.9374270482603816
Tin Oxide (SnO2),0.92,0.95,0.908263187429854,-0.04173681257014594,0.5163788957705495,0.3918842916593045,0.8795811920373323
Indium Tin Oxide (ITO),0.92,0.95,0.894648569023569,-0.055351430976430915,0.5163788957705495,0.3782696732530195,0.8663965089491407
Titanium Dioxide (Rutile),0.92,0.95,0.908263187429854,-0.04173681257014594,0.5163788957705495,0.3918842916593045,0.8795811920373323
Titanium Dioxide (Anatase),0.92,0.95,0.9615151515151512,0.011515151515151256,0.5163788957705495,0.4451362557446017,0.9311515151515148
