material_name,composition,category,base_nrci,final_nrci,compressive_strength_mpa,fracture_toughness_mpa_m_half,elastic_modulus_gpa,hardness_gpa,thermal_conductivity_w_mk,thermal_expansion_coeff,electrical_resistivity_ohm_m,band_gap_ev,quantum_coherence,ubp_quantum_energy_cu,grain_size_um,porosity_fraction,num_toggle_steps,hierarchical_grid_cells
Alumina 99.5%,Al2O3,Traditional Ceramic,0.95,0.8666673681257014,1840.4129791678722,0.05010416666666018,212.55017203282827,12.934847151529969,17.07399824001956,9.066661054994387e-06,1.1559992845117845e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina 96%,Al2O3,Traditional Ceramic,0.95,0.8784708193041526,1890.8848296489195,1.8029166666666585,215.44496843434342,13.111011436085873,17.30653509563335,8.972233445566778e-06,1.1439597643097643e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina 99.9%,Al2O3,Traditional Ceramic,0.95,0.860040684624018,1812.3763665557483,-0.9339583333333383,210.9249779040404,12.835945149022116,16.943447596709195,9.119674523007855e-06,1.1627585016835015e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Alumina (Porous),Al2O3,Traditional Ceramic,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,1.1274584595959595e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Zirconia (Y-TZP 3mol%),ZrO2,Traditional Ceramic,0.95,0.9021808361391693,1994.3326222523622,5.323854166666642,221.25985006313127,13.464878969352293,17.773640239545028,8.782553310886644e-06,14444109360373.434,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Zirconia (Y-TZP 5mol%),ZrO2,Traditional Ceramic,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,14543212102911.338,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Zirconia (Mg-PSZ),ZrO2,Traditional Ceramic,0.95,0.8666673681257014,1840.4129791678722,0.05010416666666018,212.55017203282827,12.934847151529969,17.07399824001956,9.066661054994387e-06,14911363378738.959,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Zirconia (Ceria-Stabilized),ZrO2,Traditional Ceramic,0.95,0.8878317901234567,1931.3980158287513,3.1930208333333168,217.74074652777776,13.25072216155081,17.49095325324707,8.897345679012346e-06,14632901100115.973,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Silicon Carbide (Sintered),SiC,Traditional Ceramic,0.95,0.8400035072951739,1728.9108375301405,-3.909479166666676,206.0108601641414,12.536894053262955,16.548700150307102,9.279971941638608e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Carbide (Reaction Bonded),SiC,Traditional Ceramic,0.95,0.9021808361391693,1994.3326222523622,5.323854166666642,221.25985006313127,13.464878969352293,17.773640239545028,8.782553310886644e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Carbide (Hot Pressed),SiC,Traditional Ceramic,0.95,0.8446583894500561,1748.1254593762053,-3.2182291666666707,207.15247001262625,12.606367292242748,16.640404825760427,9.242732884399551e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Carbide (CVD),SiC,Traditional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Nitride (Sintered),Si3N4,Traditional Ceramic,0.95,0.860040684624018,1812.3763665557483,-0.9339583333333383,210.9249779040404,12.835945149022116,16.943447596709195,9.119674523007855e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Nitride (Hot Pressed),Si3N4,Traditional Ceramic,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Silicon Nitride (RBSN),Si3N4,Traditional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Boron Carbide (B4C),B4C,Traditional Ceramic,0.95,0.8335977833894501,1702.6426192720394,-4.860729166666662,204.43985637626264,12.441289831086424,16.42250257703408,9.331217732884398e-06,15346462996377.902,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Boron Nitride (h-BN),BN,Traditional Ceramic,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,14977831804121.525,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Boron Nitride (c-BN),BN,Traditional Ceramic,0.95,0.7784995791245792,1485.0024224066844,-13.042812499999986,190.92702178030305,11.61895951532621,15.3370265602306,9.772003367003366e-06,16071395220336.49,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Aluminum Nitride (AlN),AlN,Traditional Ceramic,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,1.1611522306397306e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Titanium Carbide (TiC),TiC,Traditional Ceramic,0.95,0.7784995791245792,1485.0024224066844,-13.042812499999986,190.92702178030305,11.61895951532621,15.3370265602306,9.772003367003366e-06,16071395220336.49,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Titanium Diboride (TiB2),TiB2,Traditional Ceramic,0.95,0.7821233164983165,1498.8592906358506,-12.504687500000006,191.8157433712121,11.673043112759846,15.408416908842995,9.74301346801347e-06,16023717368972.104,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Tungsten Carbide (WC),WC,Traditional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Mullite,3Al2O3-2SiO2,Traditional Ceramic,0.95,0.8616154601571269,1819.0195381956503,-0.7001041666666632,211.31119160353538,12.85944837709771,16.97447185776898,9.107076318742985e-06,1.1611522306397306e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Cordierite,2MgO-2Al2O3-5SiO2,Traditional Ceramic,0.95,0.908263187429854,2021.3141787229936,6.227083333333318,222.7515467171717,13.5556569161868,17.893467129366577,8.733894500561167e-06,1.1135715488215488e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Spinel,MgAl2O4,Traditional Ceramic,0.95,0.8841308922558923,1915.3296367296007,2.6434374999999966,216.83310132575758,13.19548695828719,17.418042784939093,8.926952861952863e-06,1.13818648989899e-07,0.0,0.98,76760924.75542013,2.0,0.01,10,1000
Forsterite,Mg2SiO4,Traditional Ceramic,0.95,0.894648569023569,1961.1704510525171,4.205312499999999,219.41256155303032,13.35246130205799,17.625248918716544,8.842811447811447e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Steatite,Mg3Si4O10(OH)2,Traditional Ceramic,0.95,0.9259203142536475,2100.6689815586415,8.849166666666653,227.08195707070703,13.819186206662895,18.241325792795017,8.59263748597082e-06,1644785293678.7405,1.0,0.95,32237546.349998776,2.0,0.01,10,1000
Urania (UO2),UO2,Traditional Ceramic,0.95,0.8666673681257014,1840.4129791678722,0.05010416666666018,212.55017203282827,12.934847151529969,17.07399824001956,9.066661054994387e-06,14911363378738.959,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
Thoria (ThO2),ThO2,Traditional Ceramic,0.95,0.8446583894500561,1748.1254593762053,-3.2182291666666707,207.15247001262625,12.606367292242748,16.640404825760427,9.242732884399551e-06,15200937568520.045,5.0,0.92,23541001.941303845,2.0,0.01,10,1000
