material,abbrev,repeat_unit,molecular_weight,category,biodegradable,environmental_persistence,persistence_score,toxicity_score,substrate_identity,nrci,coherence_regime,symmetry_tax,stability_score,hex_id
Polyethylene (LDPE),PE-LD,C2H4,28.05,Commodity Plastic,False,High,5,1,011000000001000110110000,1.0,high,2.7277280128316885,0.0,1d29712675a2f122
Polypropylene (PP),PP,C3H6,42.08,Commodity Plastic,False,High,5,1,011000000001101000010101,1.0,high,3.1174034432362157,0.0,8341efeb558182bf
Polyvinyl Chloride (PVC),PVC,C2H3Cl,62.5,Commodity Plastic,False,Very High,5,4,011000000010011111001101,2.0,unknown,4.286429734449797,0.0,0b5bfe7a44019210
Polystyrene (PS),PS,C8H8,104.15,Commodity Plastic,False,High,5,3,101000000100001011101010,1.0,high,3.5070788736407428,0.0,77bc2df080a3efae
Polyethylene Terephthalate (PET),PET,C10H8O4,192.17,Commodity Plastic,False,High,4,2,010100000111101001010111,1.0,high,4.676105164854324,0.0,d112c2975896deae
Polylactic Acid (PLA),PLA,C3H4O2,72.06,Biodegradable Plastic,True,Low,2,1,010100000010110111010110,2.0,unknown,4.286429734449797,0.0,12ed36aba8c8cd23
Polyhydroxybutyrate (PHB),PHB,C4H6O2,86.09,Biodegradable Plastic,True,Very Low,1,1,011000000011011000011110,1.0,high,3.8967543040452695,0.0,8a0f87d95cdcf645
Polybutylene Succinate (PBS),PBS,C8H12O4,172.18,Biodegradable Plastic,True,Low,2,1,011000000110110100001010,1.0,high,3.5070788736407428,0.0,a6b4b436dc42746f
Nylon-6 (Polyamide),PA6,C6H11NO,113.16,Engineering Plastic,False,High,4,2,011000000100100001011011,1.0,high,3.5070788736407428,0.0,387cef250625adcf
Polycarbonate (PC),PC,C16H14O3,254.28,Engineering Plastic,False,High,4,3,010100001010001000111000,1.0,high,3.1174034432362157,0.0,9ba0bf92f09881e3
Polytetrafluoroethylene (PTFE/Teflon),PTFE,C2F4,100.02,Engineering Plastic,False,Very High,5,3,010000000011111111000100,1.0,high,3.8967543040452695,0.0,2c7c2a576cc32f4c
Cellulose Acetate,CA,C12H16O8,288.25,Semi-Biodegradable,True,Moderate,3,1,010100001011011100101100,1.0,high,4.286429734449797,0.0,743f0c0503ec2c25
Polyvinylidene Chloride (PVDC),PVDC,C2H2Cl2,96.94,Commodity Plastic,False,Very High,5,4,010100000011110110011010,1.0,high,4.286429734449797,0.0,b8bd26d42be187ce
Polyurethane (PU),PU,C17H16N2O4,312.32,Engineering Plastic,False,Moderate,3,2,010100001100011100000100,1.0,high,3.1174034432362157,0.0,b5e0043b112146c4
Polymethyl Methacrylate (PMMA/Acrylic),PMMA,C5H8O2,100.12,Engineering Plastic,False,High,4,1,011000000011111111111001,1.0,high,5.455456025663377,0.0,723d78050566f6af
