mapping,material,abbrev,nrci,symmetry_tax,stability_score
Composition Only,Polyethylene (LDPE),PE-LD,0.5,1.5587017216181078,0.0
Composition Only,Polyvinyl Chloride (PVC),PVC,0.5,1.5587017216181078,0.0
Composition Only,Polylactic Acid (PLA),PLA,0.5,2.7277280128316885,0.0
Composition Only,Nylon-6 (Polyamide),PA6,0.5,1.5587017216181078,0.0
Composition Only,Polymethyl Methacrylate (PMMA/Acrylic),PMMA,0.5,1.5587017216181078,0.0
Structure Hash Only,Polyethylene (LDPE),PE-LD,1.0,3.8967543040452695,0.0
Structure Hash Only,Polyvinyl Chloride (PVC),PVC,1.0,4.286429734449797,0.0
Structure Hash Only,Polylactic Acid (PLA),PLA,1.0,4.286429734449797,0.0
Structure Hash Only,Nylon-6 (Polyamide),PA6,2.0,5.455456025663377,0.0
Structure Hash Only,Polymethyl Methacrylate (PMMA/Acrylic),PMMA,3.0,5.845131456067904,0.0
Balanced (12+12),Polyethylene (LDPE),PE-LD,1.75,3.5070788736407428,0.0
Balanced (12+12),Polyvinyl Chloride (PVC),PVC,0.75,3.8967543040452695,0.0
Balanced (12+12),Polylactic Acid (PLA),PLA,1.0,3.5070788736407428,0.0
Balanced (12+12),Nylon-6 (Polyamide),PA6,0.75,2.338052582427162,0.0
Balanced (12+12),Polymethyl Methacrylate (PMMA/Acrylic),PMMA,0.75,1.5587017216181078,0.0
