name,formula,mw,carbon,hydrogen,oxygen,nitrogen,chlorine,fluorine,aromatic,ester,amide,ether,halogen,biodegradable,toxic,persistent,category,total_atoms,C_ratio,H_ratio,O_ratio,heteroatom_ratio
Polyethylene (PE),C2H4,28.05,2,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,plastic_commodity,6,0.3333333333333333,0.6666666666666666,0.0,0.0
Polypropylene (PP),C3H6,42.08,3,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.95,plastic_commodity,9,0.3333333333333333,0.6666666666666666,0.0,0.0
Polyvinyl chloride (PVC),C2H3Cl,62.5,2,3,0,0,1,0,0,0,0,0,1,0.0,0.7,1.0,plastic_commodity,6,0.3333333333333333,0.5,0.0,0.16666666666666666
Polystyrene (PS),C8H8,104.15,8,8,0,0,0,0,1,0,0,0,0,0.0,0.3,0.9,plastic_commodity,16,0.5,0.5,0.0,0.0
Polyethylene terephthalate (PET),C10H8O4,192.17,10,8,4,0,0,0,1,1,0,0,0,0.1,0.1,0.8,plastic_commodity,22,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.18181818181818182
Polyvinyl chloride (PVDC),C2H2Cl2,96.94,2,2,0,0,2,0,0,0,0,0,1,0.0,0.8,1.0,plastic_commodity,6,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
Nylon 6 (PA6),C6H11NO,113.16,6,11,1,1,0,0,0,0,1,0,0,0.3,0.1,0.6,plastic_engineering,19,0.3157894736842105,0.5789473684210527,0.05263157894736842,0.10526315789473684
Polycarbonate (PC),C16H14O3,254.28,16,14,3,0,0,0,1,1,0,0,0,0.05,0.4,0.85,plastic_engineering,33,0.48484848484848486,0.42424242424242425,0.09090909090909091,0.09090909090909091
Polytetrafluoroethylene (PTFE),C2F4,100.02,2,0,0,0,0,4,0,0,0,0,1,0.0,0.2,1.0,plastic_engineering,6,0.3333333333333333,0.0,0.0,0.6666666666666666
Polyurethane (PU),C3H6N2O2,118.09,3,6,2,2,0,0,0,0,1,0,0,0.4,0.3,0.5,plastic_engineering,13,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.3076923076923077
Polymethyl methacrylate (PMMA),C5H8O2,100.12,5,8,2,0,0,0,0,1,0,0,0,0.15,0.2,0.75,plastic_engineering,15,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.13333333333333333
Polylactic acid (PLA),C3H4O2,72.06,3,4,2,0,0,0,0,1,0,0,0,0.8,0.0,0.2,plastic_biodegradable,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.2222222222222222
Polyhydroxybutyrate (PHB),C4H6O2,86.09,4,6,2,0,0,0,0,1,0,0,0,0.9,0.0,0.1,plastic_biodegradable,12,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666
Polybutylene succinate (PBS),C8H12O4,172.18,8,12,4,0,0,0,0,1,0,0,0,0.75,0.0,0.25,plastic_biodegradable,24,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666
Cellulose acetate,C76H114O49,1839.67,76,114,49,0,0,0,0,1,0,1,0,0.6,0.0,0.3,plastic_biodegradable,239,0.3179916317991632,0.4769874476987448,0.20502092050209206,0.20502092050209206
Ethylene,C2H4,28.05,2,4,0,0,0,0,0,0,0,0,0,0.5,0.2,0.3,monomer,6,0.3333333333333333,0.6666666666666666,0.0,0.0
Propylene,C3H6,42.08,3,6,0,0,0,0,0,0,0,0,0,0.5,0.2,0.3,monomer,9,0.3333333333333333,0.6666666666666666,0.0,0.0
Styrene,C8H8,104.15,8,8,0,0,0,0,1,0,0,0,0,0.4,0.6,0.5,monomer,16,0.5,0.5,0.0,0.0
Vinyl chloride,C2H3Cl,62.5,2,3,0,0,1,0,0,0,0,0,1,0.3,0.9,0.7,monomer,6,0.3333333333333333,0.5,0.0,0.16666666666666666
Methyl methacrylate,C5H8O2,100.12,5,8,2,0,0,0,0,1,0,0,0,0.4,0.3,0.4,monomer,15,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.13333333333333333
Diethylhexyl phthalate (DEHP),C24H38O4,390.56,24,38,4,0,0,0,1,1,0,0,0,0.3,0.9,0.8,plasticizer,66,0.36363636363636365,0.5757575757575758,0.06060606060606061,0.06060606060606061
