strategy,metric,property,correlation_spearman,p_value_spearman,correlation_pearson,p_value_pearson,significant
strategy_1_functional_groups,jaccard_offbits,persistent,0.45866173787948483,6.174816696330705e-06,0.5713633544971217,4.993257805209514e-09,True
strategy_1_functional_groups,jaccard_onbits,persistent,0.5551263944320233,1.645474213307189e-08,0.5589451820906174,1.2501842890837376e-08,True
strategy_1_functional_groups,hamming,persistent,0.5389525239590089,5.07462762253698e-08,0.624962910523181,5.911314040498854e-11,True
strategy_1_functional_groups,jaccard_offbits,biodegradable,-0.5107904315299896,3.1493301281095437e-07,-0.577488824902698,3.1305151538958455e-09,True
strategy_1_functional_groups,jaccard_onbits,biodegradable,-0.6891631866429596,8.246062278163525e-14,-0.6687323458259529,7.969822091885621e-13,True
strategy_1_functional_groups,hamming,biodegradable,-0.6099243958870053,2.2324404890083402e-10,-0.659591624594551,2.0777622911943364e-12,True
strategy_1_functional_groups,jaccard_offbits,toxic,0.48635102227967725,1.351139671832692e-06,0.6659913416501104,1.0660179620834166e-12,True
strategy_1_functional_groups,jaccard_onbits,toxic,0.6613258749979747,1.7367978635830611e-12,0.6406131102562758,1.3718547311009383e-11,True
strategy_1_functional_groups,hamming,toxic,0.5597970788547655,1.1753066576146512e-08,0.7210933392081057,1.5977129081552316e-15,True
strategy_2_lack_protection,jaccard_offbits,persistent,0.4139565610408493,5.5185154615671965e-05,0.5608597251739139,1.0878944252351293e-08,True
strategy_2_lack_protection,jaccard_onbits,persistent,0.21236356856374822,0.045720599210526965,0.25627377232875365,0.015344889234917905,True
strategy_2_lack_protection,hamming,persistent,0.34656768633655716,0.0008777428874613788,0.521456815798592,1.6082550366176449e-07,True
strategy_2_lack_protection,jaccard_offbits,biodegradable,-0.44651057004600064,1.1549090144089776e-05,-0.5362592488836289,6.086632457135219e-08,True
strategy_2_lack_protection,jaccard_onbits,biodegradable,-0.17772938979049607,0.09565619577188782,-0.21600343968085944,0.042049179184823184,False
strategy_2_lack_protection,hamming,biodegradable,-0.3640785091794599,0.0004526093149061503,-0.48622114696771396,1.3612319266528565e-06,True
strategy_2_lack_protection,jaccard_offbits,toxic,0.395991762188697,0.00012241593124893708,0.6585672726873576,2.30854086525589e-12,True
strategy_2_lack_protection,jaccard_onbits,toxic,0.16388553003631684,0.12487409119056313,0.24672537189482355,0.019760983512968046,False
strategy_2_lack_protection,hamming,toxic,0.3507881615271308,0.0007508135197283885,0.587157658993887,1.4686894310705584e-09,True
strategy_3_balanced,jaccard_offbits,persistent,0.3885709102645175,0.0001679222914400512,0.37449985633914257,0.00029966086133883076,True
strategy_3_balanced,jaccard_onbits,persistent,0.10802116112337132,0.31363907107471584,0.11421679170877344,0.28652354824106774,False
strategy_3_balanced,hamming,persistent,0.3705494969665193,0.0003509349167500871,0.40257377724004867,9.190606739855726e-05,True
strategy_3_balanced,jaccard_offbits,biodegradable,-0.4208232698428848,4.020519166938065e-05,-0.4119775000308731,6.038265778452951e-05,True
strategy_3_balanced,jaccard_onbits,biodegradable,-0.19458292594493085,0.0676623700894491,-0.1798513747647941,0.09169745137685258,False
strategy_3_balanced,hamming,biodegradable,-0.4933415465005029,9.010936290435039e-07,-0.49957175041016116,6.232401641969426e-07,True
strategy_3_balanced,jaccard_offbits,toxic,0.5287221827373232,1.0040507622992874e-07,0.5167396079002868,2.1710088667818317e-07,True
strategy_3_balanced,jaccard_onbits,toxic,0.20193373512572324,0.05773457303062623,0.11407671067135328,0.287118879608494,False
strategy_3_balanced,hamming,toxic,0.5707563182502425,5.227007190022861e-09,0.5779343633012796,3.024853255151633e-09,True
strategy_4_persistence,jaccard_offbits,persistent,0.5537326516665225,1.8174650440634027e-08,0.6814488807270497,1.984130745708855e-13,True
strategy_4_persistence,jaccard_onbits,persistent,-0.31986843234819257,0.002245497993811404,-0.28187451174961087,0.007448395674281536,True
strategy_4_persistence,hamming,persistent,0.38285221469854414,0.00021315646014284762,0.5389538805806454,5.074160798205838e-08,True
strategy_4_persistence,jaccard_offbits,biodegradable,-0.5988655137666178,5.678087552019571e-10,-0.6749744522024619,4.062197024107876e-13,True
strategy_4_persistence,jaccard_onbits,biodegradable,0.3194097574495909,0.0022803900856605396,0.2828928557854393,0.007227318324047367,True
strategy_4_persistence,hamming,biodegradable,-0.4176168308595032,4.6652857075298706e-05,-0.5318346929907115,8.177647494040978e-08,True
strategy_4_persistence,jaccard_offbits,toxic,0.4623899277583259,5.070930769665255e-06,0.6436433193146388,1.0239054065706165e-11,True
strategy_4_persistence,jaccard_onbits,toxic,-0.007941119550006408,0.9411230068278482,0.0871793493770968,0.4165793161458048,False
strategy_4_persistence,hamming,toxic,0.3605095887000788,0.0005196178783931574,0.5861567407281317,1.5902166090145637e-09,True
