id,name,category,persistence,biodegradability,toxicity,molecular_weight,has_aromatic,has_halogen,has_nitrogen,has_oxygen
DRUG_0001,Analgesic_1,Analgesic,0.37450712295168487,0.6792603548243222,0.2971532807151039,252,True,False,True,True
DRUG_0002,Analgesic_2,Analgesic,0.5284544784612037,0.7588869625603688,0.060622299960416154,458,True,True,True,True
DRUG_0003,Analgesic_3,Analgesic,0.21429297513687878,0.5613875743379342,0.0,198,True,False,False,True
DRUG_0004,Analgesic_4,Analgesic,0.4425554523595354,0.6623434047871335,0.17541993252578447,595,False,False,True,False
DRUG_0005,Analgesic_5,Analgesic,0.12735096338665458,0.7563547027518508,0.10990419651217927,489,False,False,True,True
DRUG_0006,Analgesic_6,Analgesic,0.2562459375310085,0.6420290574153167,0.026184463711237643,199,True,False,True,True
DRUG_0007,Analgesic_7,Analgesic,0.3327957474080794,0.8322641558422915,0.04863719857023388,487,True,False,True,True
DRUG_0008,Analgesic_8,Analgesic,0.06250586796946689,0.5570458316175246,0.04281940961272793,450,False,True,True,True
DRUG_0009,Analgesic_9,Analgesic,0.45464992837439266,0.8396920178674298,0.07411737151660425,284,True,False,False,True
DRUG_0010,Analgesic_10,Analgesic,0.2536181436223178,0.8818258513199688,0.3850245206814586,321,True,True,True,True
DRUG_0011,Analgesic_11,Analgesic,0.4459445300633681,0.8193393195843912,0.42431513793252107,508,False,True,False,True
DRUG_0012,Analgesic_12,Analgesic,0.3507271877989979,0.7225733617165891,0.1829868122980409,390,True,False,True,True
DRUG_0013,Analgesic_13,Analgesic,0.5216841067112274,0.6222594672589529,0.07872595956602188,215,True,False,False,True
DRUG_0014,Analgesic_14,Analgesic,0.22473644346231952,0.63778530483918,0.0,595,True,True,True,True
DRUG_0015,Analgesic_15,Analgesic,0.26150547259611684,0.6448261413800858,0.3910600430209334,382,True,False,True,True
DRUG_0016,Analgesic_16,Analgesic,0.256207099376157,0.5355601307077966,0.3372326482889018,301,True,False,True,True
DRUG_0017,Analgesic_17,Analgesic,0.3386325586084146,0.6888331126350749,0.0,262,True,False,True,True
DRUG_0018,Analgesic_18,Analgesic,0.29602291868261743,0.6879868996971266,0.16379298025336814,534,False,False,True,True
DRUG_0019,Analgesic_19,Analgesic,0.41509452580596057,0.5275311133758462,0.08369958410645839,404,True,False,True,True
DRUG_0020,Analgesic_20,Analgesic,0.41597112838338735,0.7768635598557404,0.2815233036863654,350,True,False,False,True
DRUG_0021,Analgesic_21,Analgesic,0.06740048534008009,0.710284446220904,0.04065444294108428,566,True,False,True,True
DRUG_0022,Analgesic_22,Analgesic,0.37103886459527724,0.5743627912355328,0.3015779098373149,564,True,False,True,True
DRUG_0023,Analgesic_23,Analgesic,0.5045829786625657,1.0,0.15132635632566602,289,True,True,False,True
DRUG_0024,Analgesic_24,Analgesic,0.26911999243567425,0.8224229084322056,0.27075609372904685,553,True,True,True,False
DRUG_0025,Analgesic_25,Analgesic,0.34396087099480216,0.5928472872960447,0.4798661766717135,357,True,False,False,True
DRUG_0026,Analgesic_26,Analgesic,0.3710749381367681,0.6306209709697371,0.0331253968505828,541,True,False,True,False
DRUG_0027,Analgesic_27,Analgesic,0.0945193414925555,0.5842328875760112,0.33180103222863433,432,True,False,True,True
DRUG_0028,Analgesic_28,Analgesic,0.26406082377092854,0.6440321215524455,0.2755395596217226,453,False,False,True,True
DRUG_0029,Analgesic_29,Analgesic,0.26648058220112236,0.8071000741138138,0.27098564368603173,248,True,False,True,True
DRUG_0030,Analgesic_30,Analgesic,0.2890756631014691,0.6833194000284596,0.0,167,True,True,True,True
DRUG_0031,Analgesic_31,Analgesic,0.3346430584417699,0.5786594662914458,0.35861352632935645,422,True,False,True,True
DRUG_0032,Analgesic_32,Analgesic,0.3077041289219453,0.5999584937565231,0.0,455,True,True,True,True
DRUG_0033,Analgesic_33,Analgesic,0.385633576603975,0.8703348460270898,0.34310026452398035,520,True,False,False,True
DRUG_0034,Analgesic_34,Analgesic,0.3977086876958697,0.6940545786940571,0.11980058872249043,212,True,True,True,True
DRUG_0035,Analgesic_35,Analgesic,0.0012693320202878944,0.7639038800251002,0.11880718375400491,257,True,False,False,True
DRUG_0036,Analgesic_36,Analgesic,0.41652345066384044,1.0,0.2950878533477017,457,False,True,True,False
DRUG_0037,Analgesic_37,Analgesic,0.10381285504959373,0.40141006756339537,0.07136766715083492,266,False,False,True,False
DRUG_0038,Analgesic_38,Analgesic,0.42600080649336436,0.68267898851144,0.3247562865463771,245,True,True,True,True
DRUG_0039,Analgesic_39,Analgesic,0.6183234295518949,0.854869789082672,0.0,293,False,False,True,False
DRUG_0040,Analgesic_40,Analgesic,0.2273648890700623,0.6579017686988768,0.1094036120753378,595,True,False,False,True
DRUG_0041,Analgesic_41,Analgesic,0.105758628828021,0.6842322242880379,0.0,159,True,True,True,False
DRUG_0042,Analgesic_42,Analgesic,0.10497107376098402,0.7002720416792014,0.31339029226874787,474,True,False,True,True
DRUG_0043,Analgesic_43,Analgesic,0.3516102197103033,0.8389348814327551,0.2911757810502207,312,True,False,True,True
DRUG_0044,Analgesic_44,Analgesic,0.4548769189241822,0.7658990710155151,0.18372531671547304,479,False,False,True,True
DRUG_0045,Analgesic_45,Analgesic,0.3165449367950132,0.6354961921225125,0.38453170304665674,242,True,False,True,True
DRUG_0046,Analgesic_46,Analgesic,0.10631634567037951,0.753552322894757,0.09606356071090189,224,True,True,True,True
DRUG_0047,Analgesic_47,Analgesic,0.38276055156976113,0.5934808063108774,0.0,245,True,True,True,True
DRUG_0048,Analgesic_48,Analgesic,0.11691448435772184,0.8238124523482044,0.3220264454000958,510,True,False,True,True
