strategy,property,offbits_rho,onbits_rho,winner,improvement
Strategy1_GoldenOctad,persistence_diff,0.5109470361232203,0.38695151038133146,OffBits,0.12399552574188888
Strategy1_GoldenOctad,biodegradability_diff,0.5106867800384901,0.3435555253246649,OffBits,0.16713125471382523
Strategy1_GoldenOctad,toxicity_diff,0.39209507963642043,0.2349053805854429,OffBits,0.15718969905097752
Strategy2_TensionBased,persistence_diff,0.22507573871990544,0.12419798309919294,OffBits,0.1008777556207125
Strategy2_TensionBased,biodegradability_diff,0.22886548982955815,0.10604494463780936,OffBits,0.12282054519174879
Strategy2_TensionBased,toxicity_diff,0.23453856573918275,0.0673898377370924,OffBits,0.16714872800209035
Strategy3_BasinAttraction,persistence_diff,0.27019921487869664,0.28429667914705553,OnBits,-0.014097464268358895
Strategy3_BasinAttraction,biodegradability_diff,0.22419834081333676,0.3465456662742497,OnBits,-0.12234732546091295
Strategy3_BasinAttraction,toxicity_diff,0.09247476792180002,0.10161380161472487,OnBits,-0.009139033692924847
Strategy4_MOGAligned,persistence_diff,0.4819982970053603,0.4422319480580948,OffBits,0.039766348947265495
Strategy4_MOGAligned,biodegradability_diff,0.5146827929271913,0.4229362519353654,OffBits,0.09174654099182594
Strategy4_MOGAligned,toxicity_diff,0.5012247044700036,0.35314760302412934,OffBits,0.14807710144587422
Strategy5_VitalPlasticity,persistence_diff,0.3556859609420322,0.19466721096739636,OffBits,0.16101874997463583
Strategy5_VitalPlasticity,biodegradability_diff,0.3471799584878854,0.1616167706818721,OffBits,0.1855631878060133
Strategy5_VitalPlasticity,toxicity_diff,0.15588602911616076,0.03342355774210524,OffBits,0.12246247137405553
Strategy6_LeechLattice,persistence_diff,0.22051476177426352,0.2887539155473085,OnBits,-0.06823915377304499
Strategy6_LeechLattice,biodegradability_diff,0.23654814729379517,0.2863634370390866,OnBits,-0.04981528974529145
Strategy6_LeechLattice,toxicity_diff,0.21804386555847255,0.25168885058528107,OnBits,-0.033644985026808516
