compound_id,name,category,regime,MW,LogP,TPSA,n_rings,n_heteroatoms,n_rotatable_bonds,persistence_score,biodegradability_score,toxicity_score,pmi_1,pmi_2,pmi_3,pmi_ratio,radius_gyration,spherocity,asphericity
CHEM_0000,PFOA (Perfluorooctanoic acid),PFAS,Locked,414.07,6.3,37.3,0,10,7,1.0,0.0,1.0,499.03092173578534,424.3537214668681,210.47503157350974,2.370974436416802,16.593430557053118,0.3581171037217744,0.6418828962782256
CHEM_0001,PFOS (Perfluorooctane sulfonate),PFAS,Locked,500.13,7.0,54.4,0,12,8,1.0,0.0,0.9930867849414408,604.2112359618544,496.67249375276276,240.70648571179927,2.510157678821858,18.913215378383047,0.35310341550340485,0.6468965844965952
CHEM_0002,PFHxS (Perfluorohexane sulfonate),PFAS,Locked,400.11,5.8,54.4,0,10,6,0.98,0.01,1.0,558.9891032368005,413.0673330489734,215.57078542315793,2.5930651945552787,17.07707135394374,0.3253675610486791,0.674632438951321
CHEM_0003,PFNA (Perfluorononanoic acid),PFAS,Locked,464.08,7.1,37.3,0,11,8,0.99,0.0,1.0,562.1850666830352,499.4203847880918,233.38205710706575,2.4088615519241356,18.2039061869524,0.3212600486222203,0.6787399513777796
CHEM_0004,PFBS (Perfluorobutane sulfonate),PFAS,Locked,300.1,3.9,54.4,0,8,4,0.95,0.02,0.9682923312638332,367.8814284198554,296.58652861227637,158.89767712343885,2.315209591257014,14.091714532106892,0.3738031692113516,0.6261968307886484
CHEM_0005,GenX (HFPO-DA),PFAS,Locked,330.05,4.1,46.5,0,9,4,0.97,0.01,0.978293152152541,401.120360358374,326.1861548679462,165.58211186973514,2.4224860608823056,14.188663184647513,0.38562032929374856,0.6143796707062514
CHEM_0006,PFDA (Perfluorodecanoic acid),PFAS,Locked,514.09,7.9,37.3,0,12,9,1.0,0.0,1.0,626.3837499746442,554.6828758162097,283.53024751756453,2.2092307725531444,17.35386275300965,0.355006181590856,0.6449938184091439
CHEM_0007,PFHxA (Perfluorohexanoic acid),PFAS,Locked,314.05,4.7,37.3,0,8,5,0.96,0.02,1.0,360.6160654670408,326.10064383452357,170.8066197892322,2.1112534385422044,14.76839851493764,0.4192873051748241,0.580712694825176
CHEM_0008,PFBA (Perfluorobutanoic acid),PFAS,Locked,214.04,2.8,37.3,0,6,3,0.9,0.05,0.9265262807032524,255.48686188737676,209.01568512172415,105.68779284148847,2.417373403314278,13.564475217227436,0.5192625021503856,0.4807374978496144
CHEM_0009,PFPeA (Perfluoropentanoic acid),PFAS,Locked,264.05,3.7,37.3,0,7,4,0.93,0.03,0.9971280021792982,294.46225912187856,271.21314897544374,138.43858273998745,2.1270244982781072,12.684763115380644,0.37409250551201545,0.6259074944879846
CHEM_0010,DDT (Dichlorodiphenyltrichloroethane),Persistent_Pollutant,Locked,354.49,6.91,0.0,2,5,4,0.95,0.02,0.9568291153593768,415.5313837244946,406.3393099816106,402.5218626202642,1.0323200334690479,16.456092148302936,0.7017045742595137,0.2982954257404863
CHEM_0011,Dieldrin,Persistent_Pollutant,Locked,380.91,5.4,12.5,4,7,0,0.97,0.01,0.9667135123214872,691.8596629592699,520.8559215697287,371.66600854982084,1.861509110820445,14.383328426917343,0.7785088318114696,0.22149116818853043
CHEM_0012,Aldrin,Persistent_Pollutant,Locked,364.91,6.5,0.0,4,6,0,0.94,0.03,0.9820981135783016,590.4176312999757,517.0546116762014,366.4038346101732,1.6113849635791935,13.986915675698523,0.7867350885401234,0.21326491145987658
CHEM_0013,Endrin,Persistent_Pollutant,Locked,380.91,5.2,12.5,4,7,0,0.96,0.02,0.8843359877671101,669.7595282383805,482.2588695405179,424.9938297315803,1.5759276483742433,13.764199557719852,0.8229492486310752,0.17705075136892479
CHEM_0014,Heptachlor,Persistent_Pollutant,Locked,373.32,6.1,0.0,3,7,0,0.93,0.04,0.8737541083743483,550.3071720601481,443.4594888598053,338.4656279150824,1.625887904258115,13.20935245384249,0.715408375015345,0.28459162498465496
CHEM_0015,Chlordane,Persistent_Pollutant,Locked,409.78,6.0,0.0,3,9,2,0.94,0.03,0.9418856235379514,523.2432613277474,517.7370780573962,480.3528897126612,1.0892892942758254,16.49779235577593,0.7511898993576818,0.24881010064231823
CHEM_0016,Mirex,Persistent_Pollutant,Locked,545.54,6.89,0.0,3,12,0,0.98,0.01,0.9393584439832788,718.5699605700217,673.2869071898293,501.54994918155984,1.4326986979261014,16.401920295424077,0.7798670865041128,0.22013291349588715
CHEM_0017,Toxaphene (avg),Persistent_Pollutant,Locked,413.81,5.5,0.0,3,8,1,0.92,0.04,0.9757123666297636,546.4055147655812,520.2641732764764,444.4500431039721,1.2293969187631764,14.63965991420098,0.7762334403688763,0.22376655963112368
CHEM_0018,Hexachlorobenzene,Persistent_Pollutant,Locked,284.78,5.73,0.0,1,6,0,0.96,0.02,0.9345987962239396,300.2855675502183,299.03570970751883,224.7551328674751,1.3360565446628643,12.306249395669282,0.6530935793733939,0.34690642062660615
CHEM_0019,Pentachlorophenol,Persistent_Pollutant,Locked,266.34,5.12,20.2,1,6,0,0.91,0.05,0.8793848149332354,272.2855867702497,267.1960170142943,220.71640817634787,1.2336445114631198,12.651890341322696,0.7614001541735477,0.23859984582645233
CHEM_0020,PCB-52,PCB,Locked,292.0,5.84,0.0,2,4,1,0.94,0.03,1.0,376.0781664315056,345.3278542566623,303.8914188664554,1.2375412461357829,15.094644313816072,0.6766576486491725,0.32334235135082745
CHEM_0021,PCB-101,PCB,Locked,326.4,6.38,0.0,2,5,1,0.96,0.02,0.9687111849756732,387.25839693127165,360.3701494980958,346.19886781136506,1.118600988677057,14.271254617321363,0.6819948001116475,0.3180051998883525
CHEM_0022,PCB-118,PCB,Locked,326.4,6.74,0.0,2,5,1,0.95,0.02,0.983376410234396,393.0024723606083,388.27690627409584,371.24013878887536,1.058620634568528,13.372233636839168,0.6773876215405001,0.32261237845949986
CHEM_0023,PCB-138,PCB,Locked,360.9,6.83,0.0,2,6,1,0.97,0.01,0.9187625906893272,402.22850277573383,382.49258754373074,369.59567610516353,1.0882933099384846,14.767680618057577,0.6807707919037256,0.3192292080962744
CHEM_0024,PCB-153,PCB,Locked,360.9,6.92,0.0,2,6,1,0.97,0.01,0.9627808637737408,421.2919364831317,401.2865947739074,363.17871027001985,1.160012752426739,14.747510814059448,0.6766752914964125,0.3233247085035875
