compound_id,name,category,regime,MW,LogP,TPSA,n_rings,n_heteroatoms,n_rotatable_bonds,persistence_score,biodegradability_score,toxicity_score
CHEM_0000,PFOA (Perfluorooctanoic acid),PFAS,Locked,414.07,6.3,37.3,0,10,7,1.0,0.0,1.0
CHEM_0001,PFOS (Perfluorooctane sulfonate),PFAS,Locked,500.13,7.0,54.4,0,12,8,1.0,0.0,0.9930867849414408
CHEM_0002,PFHxS (Perfluorohexane sulfonate),PFAS,Locked,400.11,5.8,54.4,0,10,6,0.98,0.01,1.0
CHEM_0003,PFNA (Perfluorononanoic acid),PFAS,Locked,464.08,7.1,37.3,0,11,8,0.99,0.0,1.0
CHEM_0004,PFBS (Perfluorobutane sulfonate),PFAS,Locked,300.1,3.9,54.4,0,8,4,0.95,0.02,0.9682923312638332
CHEM_0005,GenX (HFPO-DA),PFAS,Locked,330.05,4.1,46.5,0,9,4,0.97,0.01,0.978293152152541
CHEM_0006,PFDA (Perfluorodecanoic acid),PFAS,Locked,514.09,7.9,37.3,0,12,9,1.0,0.0,1.0
CHEM_0007,PFHxA (Perfluorohexanoic acid),PFAS,Locked,314.05,4.7,37.3,0,8,5,0.96,0.02,1.0
CHEM_0008,PFBA (Perfluorobutanoic acid),PFAS,Locked,214.04,2.8,37.3,0,6,3,0.9,0.05,0.9265262807032524
CHEM_0009,PFPeA (Perfluoropentanoic acid),PFAS,Locked,264.05,3.7,37.3,0,7,4,0.93,0.03,0.9971280021792982
CHEM_0010,DDT (Dichlorodiphenyltrichloroethane),Persistent_Pollutant,Locked,354.49,6.91,0.0,2,5,4,0.95,0.02,0.9568291153593769
CHEM_0011,Dieldrin,Persistent_Pollutant,Locked,380.91,5.4,12.5,4,7,0,0.97,0.01,0.9667135123214872
CHEM_0012,Aldrin,Persistent_Pollutant,Locked,364.91,6.5,0.0,4,6,0,0.94,0.03,0.9820981135783017
CHEM_0013,Endrin,Persistent_Pollutant,Locked,380.91,5.2,12.5,4,7,0,0.96,0.02,0.8843359877671101
CHEM_0014,Heptachlor,Persistent_Pollutant,Locked,373.32,6.1,0.0,3,7,0,0.93,0.04,0.8737541083743483
CHEM_0015,Chlordane,Persistent_Pollutant,Locked,409.78,6.0,0.0,3,9,2,0.94,0.03,0.9418856235379514
CHEM_0016,Mirex,Persistent_Pollutant,Locked,545.54,6.89,0.0,3,12,0,0.98,0.01,0.9393584439832788
CHEM_0017,Toxaphene (avg),Persistent_Pollutant,Locked,413.81,5.5,0.0,3,8,1,0.92,0.04,0.9757123666297637
CHEM_0018,Hexachlorobenzene,Persistent_Pollutant,Locked,284.78,5.73,0.0,1,6,0,0.96,0.02,0.9345987962239395
CHEM_0019,Pentachlorophenol,Persistent_Pollutant,Locked,266.34,5.12,20.2,1,6,0,0.91,0.05,0.8793848149332354
CHEM_0020,PCB-52,PCB,Locked,292.0,5.84,0.0,2,4,1,0.94,0.03,1.0
CHEM_0021,PCB-101,PCB,Locked,326.4,6.38,0.0,2,5,1,0.96,0.02,0.9687111849756732
CHEM_0022,PCB-118,PCB,Locked,326.4,6.74,0.0,2,5,1,0.95,0.02,0.9833764102343961
CHEM_0023,PCB-138,PCB,Locked,360.9,6.83,0.0,2,6,1,0.97,0.01,0.9187625906893272
CHEM_0024,PCB-153,PCB,Locked,360.9,6.92,0.0,2,6,1,0.97,0.01,0.9627808637737408
CHEM_0025,PCB-180,PCB,Locked,395.3,7.36,0.0,2,7,1,0.98,0.01,0.9955461294854933
CHEM_0026,PCB-28,PCB,Locked,257.5,5.67,0.0,2,3,1,0.92,0.04,0.9024503211288848
CHEM_0027,PCB-77,PCB,Locked,292.0,6.36,0.0,2,4,1,0.93,0.03,0.9887849009172835
CHEM_0028,"2,3,7,8-TCDD (Dioxin)",Dioxin_Furan,Locked,321.97,6.8,18.5,3,6,0,0.99,0.0,0.9699680655040598
CHEM_0029,"2,3,7,8-TCDF (Furan)",Dioxin_Furan,Locked,305.97,6.53,9.2,3,5,0,0.98,0.01,0.9754153125103362
CHEM_0030,"PeCDD (1,2,3,7,8-)",Dioxin_Furan,Locked,356.42,7.1,18.5,3,7,0,0.99,0.0,0.9699146693885301
CHEM_0031,"HxCDD (1,2,3,4,7,8-)",Dioxin_Furan,Locked,390.86,7.8,18.5,3,8,0,0.99,0.0,1.0
CHEM_0032,Benzene,Aromatic_Hydrocarbon,Resonant,78.11,2.13,0.0,1,0,0,0.4,0.6,0.3993251387631033
CHEM_0033,Toluene,Aromatic_Hydrocarbon,Resonant,92.14,2.73,0.0,1,0,0,0.35,0.65,0.29711445355220495
CHEM_0034,Naphthalene,Aromatic_Hydrocarbon,Resonant,128.17,3.3,0.0,2,0,0,0.6,0.4,0.6411272456051594
CHEM_0035,Anthracene,Aromatic_Hydrocarbon,Resonant,178.23,4.54,0.0,3,0,0,0.75,0.25,0.6889578175014489
CHEM_0036,Phenanthrene,Aromatic_Hydrocarbon,Resonant,178.23,4.57,0.0,3,0,0,0.75,0.25,0.7604431797502378
CHEM_0037,Pyrene,Aromatic_Hydrocarbon,Resonant,202.25,5.18,0.0,4,0,0,0.8,0.2,0.7020164938060113
CHEM_0038,Benz[a]anthracene,Aromatic_Hydrocarbon,Resonant,228.29,5.79,0.0,4,0,0,0.85,0.15,0.7835906975550785
CHEM_0039,Chrysene,Aromatic_Hydrocarbon,Resonant,228.29,5.81,0.0,4,0,0,0.85,0.15,0.8598430617934562
CHEM_0040,Benzo[a]pyrene,Aromatic_Hydrocarbon,Resonant,252.31,6.04,0.0,5,0,0,0.9,0.1,0.9369233289997705
CHEM_0041,Xylene (mixed),Aromatic_Hydrocarbon,Resonant,106.17,3.12,0.0,1,0,0,0.3,0.7,0.3085684140594986
CHEM_0042,Styrene,Aromatic_Hydrocarbon,Resonant,104.15,2.95,0.0,1,0,1,0.32,0.68,0.3142175858805879
