compound_id,name,category,regime,MW,LogP,TPSA,n_rings,n_heteroatoms,n_rotatable_bonds,persistence_score,biodegradability_score,toxicity_score,pmi_1,pmi_2,pmi_3,pmi_ratio,radius_gyration,spherocity,asphericity,d_H_to_PFAS,computed_regime
CHEM_0000,PFOA (Perfluorooctanoic acid),PFAS,Locked,414.07,6.3,37.3,0,10,7,1.0,0.0,1.0,499.0309217357853,424.3537214668681,210.4750315735097,2.370974436416802,16.593430557053118,0.3581171037217744,0.6418828962782256,515,Entropic
CHEM_0001,PFOS (Perfluorooctane sulfonate),PFAS,Locked,500.13,7.0,54.4,0,12,8,1.0,0.0,0.9930867849414408,604.2112359618544,496.6724937527628,240.70648571179927,2.510157678821858,18.913215378383047,0.3531034155034048,0.6468965844965952,771,Entropic
CHEM_0002,PFHxS (Perfluorohexane sulfonate),PFAS,Locked,400.11,5.8,54.4,0,10,6,0.98,0.01,1.0,558.9891032368005,413.0673330489734,215.57078542315796,2.5930651945552787,17.07707135394374,0.3253675610486791,0.674632438951321,515,Entropic
CHEM_0003,PFNA (Perfluorononanoic acid),PFAS,Locked,464.08,7.1,37.3,0,11,8,0.99,0.0,1.0,562.1850666830352,499.4203847880918,233.38205710706572,2.408861551924136,18.2039061869524,0.3212600486222203,0.6787399513777796,261,Entropic
CHEM_0004,PFBS (Perfluorobutane sulfonate),PFAS,Locked,300.1,3.9,54.4,0,8,4,0.95,0.02,0.9682923312638332,367.8814284198554,296.5865286122764,158.89767712343885,2.315209591257014,14.091714532106892,0.3738031692113516,0.6261968307886484,769,Entropic
CHEM_0005,GenX (HFPO-DA),PFAS,Locked,330.05,4.1,46.5,0,9,4,0.97,0.01,0.978293152152541,401.120360358374,326.1861548679462,165.58211186973514,2.4224860608823056,14.188663184647512,0.3856203292937485,0.6143796707062514,515,Entropic
CHEM_0006,PFDA (Perfluorodecanoic acid),PFAS,Locked,514.09,7.9,37.3,0,12,9,1.0,0.0,1.0,626.3837499746442,554.6828758162097,283.53024751756453,2.2092307725531444,17.35386275300965,0.355006181590856,0.6449938184091439,516,Entropic
CHEM_0007,PFHxA (Perfluorohexanoic acid),PFAS,Locked,314.05,4.7,37.3,0,8,5,0.96,0.02,1.0,360.6160654670408,326.1006438345236,170.8066197892322,2.1112534385422044,14.76839851493764,0.4192873051748241,0.580712694825176,513,Entropic
CHEM_0008,PFBA (Perfluorobutanoic acid),PFAS,Locked,214.04,2.8,37.3,0,6,3,0.9,0.05,0.9265262807032524,255.4868618873768,209.01568512172412,105.68779284148847,2.417373403314278,13.564475217227436,0.5192625021503856,0.4807374978496144,1278,Entropic
CHEM_0009,PFPeA (Perfluoropentanoic acid),PFAS,Locked,264.05,3.7,37.3,0,7,4,0.93,0.03,0.9971280021792982,294.46225912187856,271.21314897544374,138.43858273998745,2.1270244982781072,12.684763115380644,0.3740925055120154,0.6259074944879846,768,Entropic
CHEM_0010,DDT (Dichlorodiphenyltrichloroethane),Persistent_Pollutant,Locked,354.49,6.91,0.0,2,5,4,0.95,0.02,0.9568291153593768,415.5313837244946,406.3393099816106,402.5218626202642,1.032320033469048,16.456092148302936,0.7017045742595137,0.2982954257404863,1281,Entropic
