name,mw,logp,tpsa,rings,heteroatoms,rotbonds,persistence,biodeg,toxicity,category,pmi1,pmi2,pmi3,radius_of_gyration,spherocity
Polyethylene (LDPE),28000.0,8.5,0.0,0,0,1000,0.95,0.05,0.15,Commodity Plastic,11939.872682727648,9123.222270233788,7738.658394675373,40.66787583597747,0.3926959417236229
Polyethylene (HDPE),50000.0,9.2,0.0,0,0,1800,0.97,0.03,0.1,Commodity Plastic,19352.927241876343,13702.93066441318,9093.891311834184,63.367889929352515,0.540192889492368
Linear Low-Density PE (LLDPE),35000.0,8.8,0.0,0,0,1250,0.96,0.04,0.12,Commodity Plastic,14176.077258781399,8583.061198614829,5529.164756737017,48.36287081159669,0.5198961474966981
Ultra-High Molecular Weight PE,150000.0,10.5,0.0,0,0,5000,0.98,0.02,0.08,Commodity Plastic,50988.864229797524,56184.90702459961,15435.452835828266,126.8103128842156,0.635744905173524
Polypropylene (isotactic),30000.0,8.7,0.0,0,0,1000,0.94,0.06,0.12,Commodity Plastic,13503.264982522425,10887.391272681018,6449.034227159249,55.67839169735079,0.699305645254328
Polypropylene (atactic),25000.0,8.4,0.0,0,0,900,0.92,0.08,0.14,Commodity Plastic,11232.099150049246,6169.6141038969245,4511.373837157168,51.56223640832469,0.8869952858670285
Polypropylene (syndiotactic),28000.0,8.6,0.0,0,0,950,0.93,0.07,0.13,Commodity Plastic,9214.89688216958,6723.5397048208115,4898.035626483041,52.62513396270356,0.7370317116604395
Polystyrene (PS),35000.0,9.1,0.0,1,0,700,0.9,0.1,0.25,Commodity Plastic,16645.848677497615,12005.957437678231,4780.547248989487,61.192951510038796,0.6862491194657541
High Impact Polystyrene (HIPS),40000.0,9.3,0.0,1,0,800,0.91,0.09,0.24,Commodity Plastic,14153.517915786442,10519.616495350077,7440.442761530195,50.82596285415033,0.5010554605610056
Expanded Polystyrene (EPS),32000.0,9.0,0.0,1,0,650,0.89,0.11,0.26,Commodity Plastic,15886.438789994334,8360.952309516531,9500.428502933555,50.649198457947264,0.32070232589899555
Polyvinyl Chloride (PVC),45000.0,7.8,0.0,0,1,1200,0.88,0.12,0.45,Commodity Plastic,16946.12712633521,10370.612223608898,7179.787383050199,65.9365132157055,0.4728750773128151
Plasticized PVC,55000.0,8.2,52.0,1,4,1500,0.85,0.15,0.5,Commodity Plastic,18456.724646079496,13903.730716808132,12096.748547489102,71.42092647107934,0.7610687402757708
Chlorinated PVC (CPVC),48000.0,8.1,0.0,0,1,1250,0.9,0.1,0.48,Commodity Plastic,17776.513068918262,13704.072552889436,12254.2740606304,68.71893678632765,0.42316316448228103
Polyethylene Terephthalate (PET),38000.0,7.5,52.0,1,4,600,0.82,0.18,0.2,Commodity Plastic,14745.370498098668,13169.571363270357,9493.599456141641,50.06640437002364,0.7273129162044687
Glycol-Modified PET (PETG),40000.0,7.3,65.0,1,5,650,0.78,0.22,0.18,Commodity Plastic,12554.462184306358,10690.464755309999,6630.194299940726,48.46127376575915,0.6478679055416495
PET Copolymer,42000.0,7.6,58.0,1,4,680,0.8,0.2,0.19,Commodity Plastic,17457.034402275633,11160.27645163068,9331.224701541543,69.02424171104063,0.40311412185027895
Polyvinylidene Chloride (PVDC),40000.0,8.5,0.0,0,2,1100,0.93,0.07,0.52,Commodity Plastic,16781.059518951202,10279.306020419488,10970.117482161257,59.124637323101155,0.456974883775098
Polyvinyl Acetate (PVAc),32000.0,6.8,26.0,0,2,800,0.65,0.35,0.22,Commodity Plastic,14329.154914236622,9461.015472070676,3298.863537491699,44.489236993317306,0.597782162091886
Polyacrylonitrile (PAN),30000.0,5.2,24.0,0,1,600,0.78,0.22,0.35,Commodity Plastic,9175.01935374446,7083.820187647892,5614.406141059846,55.868731637747224,0.5510248230647086
Polybutadiene,28000.0,8.9,0.0,0,0,1000,0.87,0.13,0.2,Commodity Plastic,11430.934000829448,8319.532110579903,4055.9311421546695,56.32179720058805,0.7671383085280559
Polyethylene (LDPE) - Variant 1,26594.84933109046,8.166435964585924,3.1890218468938336,0,0,1000,0.9173194794319391,0.08268052056806086,0.13674250836504598,Commodity Plastic,8259.867842592746,9064.45843014501,4726.608374779788,40.85455693504359,0.7406427855259483
Polyethylene (HDPE) - Variant 2,57323.5229154987,9.673763844652218,7.674347291529088,0,0,1800,0.9234966959466927,0.0765033040533073,0.1093981970432399,Commodity Plastic,25235.468226715195,11806.243911215395,10501.550256625487,77.89081264976431,0.6447447020838103
Linear Low-Density PE (LLDPE) - Variant 3,39654.19697120591,8.625736559792946,5.251698071781478,0,0,1250,0.9296068329459296,0.0703931670540704,0.1153018138310289,Commodity Plastic,12338.22879572085,8008.398088821385,9887.147199186522,67.44648714476074,0.7933648268837552
Ultra-High Molecular Weight PE - Variant 4,151485.3858979343,9.98252465024609,5.622875292409727,0,0,5000,0.9909615836827932,0.00903841631720681,0.07423190177043268,Commodity Plastic,73068.30475736539,32573.081786493196,17991.067098891523,132.05655908246874,0.6376017244105852
Polypropylene (isotactic) - Variant 5,27505.735782422616,8.488996859487777,21.396206560762394,0,0,1000,0.9668065403709433,0.03319345962905673,0.11279217077180063,Commodity Plastic,12113.980251160789,8447.891981902452,5570.373059419409,55.8076669538868,0.8786335539943562
Polypropylene (atactic) - Variant 6,25142.34438413612,8.236685182642445,1.1092258970986608,0,0,900,0.9298941263749323,0.0701058736250677,0.13077467546324417,Commodity Plastic,10094.096957392225,9325.069669271841,5351.270389441618,46.62324131404079,0.43033445949064886
Polypropylene (syndiotactic) - Variant 7,23128.577841435133,8.419923844968226,9.474398210466388,0,0,950,0.8925835066025938,0.10741649339740622,0.1347900586893161,Commodity Plastic,8980.844923812072,4648.3097187996755,4598.690304080503,41.37691150600511,0.7284791961612918
Polystyrene (PS) - Variant 8,34162.13491235442,9.09595083257862,10.577109289559004,1,0,700,0.8580949669003697,0.14190503309963032,0.2704660201039391,Commodity Plastic,11141.451679612346,13232.096953351638,8416.684053209912,42.83988253372556,0.5219664792326808
High Impact Polystyrene (HIPS) - Variant 9,36140.47970560027,8.920464265823208,10.919922643576712,1,0,800,0.9118261899271808,0.08817381007281921,0.2422420934084774,Commodity Plastic,12945.515418260837,7996.287219231326,6388.127989617679,45.24033586940273,0.4673797166521163
Expanded Polystyrene (EPS) - Variant 10,27966.13703072675,9.221539973998624,1.713682811899705,1,0,650,0.8533758326826208,0.14662416731737915,0.24419110884579556,Commodity Plastic,13250.126990240438,10302.632750803574,8082.0293813290455,46.90124156387751,0.40823248558062775
Polyvinyl Chloride (PVC) - Variant 11,36814.09120038969,7.497274397140467,15.832942135368874,0,1,1200,0.8598787147961028,0.14012128520389722,0.4795863758236737,Commodity Plastic,17703.54901837901,10917.990111002924,7228.840294897029,53.15764064884561,0.6315020857569263
Plasticized PVC - Variant 12,51848.57318725897,8.303085486870538,69.63040155362734,1,4,1500,0.8194785591228547,0.18052144087714528,0.5302196980754039,Commodity Plastic,15562.32547861213,17207.062587629196,11108.182558374529,57.44236957686545,0.4292816596495268
Chlorinated PVC (CPVC) - Variant 13,39831.3723586516,8.274636838413912,8.877484595933572,0,1,1250,0.9206106451236888,0.07938935487631116,0.5060419532818508,Commodity Plastic,16682.46527574907,12034.515293878962,10559.542359518882,55.204509773665556,0.42021051086904354
Polyethylene Terephthalate (PET) - Variant 14,31525.478706358175,7.248234743033208,55.092123758512145,1,4,600,0.8497744809217985,0.15022551907820147,0.20493192507310232,Commodity Plastic,13992.90281856579,9312.930474231178,4887.937869986326,44.585084651056185,0.8943191430502908
Glycol-Modified PET (PETG) - Variant 15,37294.368397642385,7.246680363618803,69.103833086863,1,5,650,0.7663642991180863,0.23363570088191365,0.18826582242017031,Commodity Plastic,15803.466101033424,13686.283050809008,4290.359272750249,63.52601659720698,0.7810484501074566
PET Copolymer - Variant 16,44310.96551876758,7.5783969635259,68.03532897892023,1,4,680,0.7695675396750641,0.23043246032493592,0.1981033019144738,Commodity Plastic,14017.151504545085,15561.004163980631,10703.614843867977,55.86140147909849,0.7489660921526253
Polyvinylidene Chloride (PVDC) - Variant 17,44172.56077787036,8.948630275865042,3.381812519933197,0,2,1100,0.9294229904618883,0.07057700953811175,0.5223642142557274,Commodity Plastic,15175.261498371145,13105.135090168247,8684.430186915575,63.0636542959182,0.7764363755296531
Polyvinyl Acetate (PVAc) - Variant 18,31072.525034989438,6.826114120471451,28.990073504658675,0,2,800,0.6379331387699612,0.36206686123003884,0.22037711041124694,Commodity Plastic,10877.498355591646,6908.267049190576,8678.582659878508,50.94379101240433,0.8813537242312457
Polyacrylonitrile (PAN) - Variant 19,34890.79768711312,5.039675063897949,38.950538708143355,0,1,600,0.7999329888063578,0.20006701119364223,0.3310158715844136,Commodity Plastic,16271.14647458486,7783.459798609257,10346.377922938693,44.256515353703904,0.6439660132519222
Polybutadiene - Variant 20,23262.174990082483,8.657451919132043,5.017570435845365,0,0,1000,0.9073836957538038,0.09261630424619616,0.2123248151825767,Commodity Plastic,9133.65776556988,8381.545237357192,4183.0478096577535,51.816932047638005,0.43214632644171636
Polyethylene (LDPE) - Variant 1 - Variant 21,28013.990452928934,8.243571025602808,6.334150805525551,0,0,1000,0.8885679403898346,0.11143205961016545,0.14747840879200397,Commodity Plastic,11131.797312186334,8568.86685304577,5129.019972347359,48.84284284439287,0.8173257844519435
Polyethylene (HDPE) - Variant 2 - Variant 22,58225.617277898265,9.463147916489012,10.95096875750677,0,0,1800,0.8983715980991135,0.10162840190088651,0.10780334174268344,Commodity Plastic,28354.63012825971,17253.28844830059,10573.336595735043,64.78286393678873,0.7456384376724541
Linear Low-Density PE (LLDPE) - Variant 3 - Variant 23,44698.4450382629,7.829183745523905,8.706877510669141,0,0,1250,0.9037737851250581,0.09622621487494187,0.10653577130174526,Commodity Plastic,19104.883229003946,15023.744918337801,7371.25731097632,52.68566759408356,0.5485849874005039
Ultra-High Molecular Weight PE - Variant 4 - Variant 24,141645.81452837776,9.934138936746287,9.663383860555111,0,0,5000,0.9928236621109121,0.0071763378890878915,0.07724599845328116,Commodity Plastic,67952.24807386776,52659.42603238647,36309.12258672678,101.62804285719126,0.5841416991447879
Polypropylene (isotactic) - Variant 5 - Variant 25,26005.348532222997,8.483431618134285,38.131252780664624,0,0,1000,0.9475553251310569,0.05244467486894311,0.10793850923153006,Commodity Plastic,10175.938937907446,8471.882767049201,6548.124720832644,37.62374796034946,0.5467514390873215
