Z,symbol,A,nrci_score,symmetry_tax,stability_pressure,log10_half_life,decay_mode,phase_lock
43,Tc,94,0.665553,5.025105164854323,0.080322026320303,13.775974331129367,beta-,PHASE_LOCK
61,Pm,136,0.64599,5.480105164854323,0.0623769577207797,8.742725131304699,EC,PHASE_LOCK
84,Po,192,0.657847,5.201105164854323,0.0411784037934093,9.4983105537896,alpha,PHASE_LOCK
85,At,195,0.665553,5.025105164854323,0.0387193357646588,4.451786435524291,alpha,PHASE_LOCK
86,Rn,197,0.641968,5.577105164854324,0.0440990493323632,5.518513939877887,alpha,PHASE_LOCK
87,Fr,200,0.661721,5.112105164854324,0.0386273457004864,3.12057393120585,alpha/beta,PHASE_LOCK
88,Ra,202,0.653932,5.292105164854323,0.0400630958877542,10.703291378118662,alpha,PHASE_LOCK
89,Ac,205,0.64599,5.480105164854323,0.0413817865854928,8.83695673705955,alpha/beta,PHASE_LOCK
90,Th,207,0.637914,5.676105164854324,0.0429851012798699,17.64443858946784,alpha,PHASE_LOCK
91,Pa,210,0.637914,5.676105164854324,0.0423710284044432,12.012837224705171,alpha,PHASE_LOCK
92,U,212,0.600344,6.657105164854324,0.0523057438016537,17.14921911265538,alpha,PHASE_LOCK
93,Np,215,0.64599,5.480105164854323,0.0394570523257025,13.830588668685143,alpha,PHASE_LOCK
94,Pu,217,0.629719,5.880105164854323,0.043030715008144,15.401400540781545,alpha,PHASE_LOCK
95,Am,220,0.64599,5.480105164854323,0.038560301136482,11.3654879848909,alpha,PHASE_LOCK
96,Cm,222,0.64599,5.480105164854323,0.0382129110361533,14.693726948923649,alpha,PHASE_LOCK
97,Bk,225,0.64599,5.480105164854323,0.0377034055556713,10.633468455579589,alpha,PHASE_LOCK
98,Cf,227,0.653932,5.292105164854323,0.0356508606578253,10.453318340047035,alpha,PHASE_LOCK
