Z,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor
1,2,1,-4.6611925386995505,-2.3305962693497753,0.0,inf,stable,True,100.0,0.0,0.0,False,False,0
2,4,2,22.841006757267255,5.710251689316814,1.112,inf,stable,True,100.0,0.0,0.8958038664752549,True,True,2
3,6,3,28.813808808325586,4.802301468054265,4.802301468054265,inf,stable,True,100.0,0.0,2.3476702739640793,False,False,0
4,8,4,54.486726906832814,6.810840863354102,7.074,inf,stable,True,100.0,0.0,4.266,False,False,0
5,10,5,64.74395301622693,6.4743953016226925,6.4743953016226925,inf,stable,True,100.0,0.0,6.600339321397371,False,False,0
6,12,6,89.61225871452066,7.467688226210055,7.68,inf,stable,True,100.0,0.0,9.316735656412627,False,False,0
7,14,7,101.72549328829379,7.266106663449556,7.266106663449556,inf,stable,True,100.0,0.0,12.390139969691381,False,False,0
8,16,8,125.97105502857275,7.873190939285797,7.976,inf,stable,True,100.0,0.0,15.800990071291455,True,True,2
9,18,9,139.07596378915224,7.72644243273068,7.72644243273068,inf,stable,True,100.0,0.0,19.533403834930056,False,False,0
10,20,10,162.77428508744717,8.138714254372358,8.138714254372358,inf,stable,True,100.0,0.0,23.574117559799834,False,False,0
11,22,11,176.4492477040692,8.020420350184963,8.020420350184963,inf,stable,True,100.0,0.0,27.9118137794686,False,False,0
12,24,12,199.64346858221953,8.31847785759248,8.31847785759248,inf,stable,True,100.0,0.0,32.53667116017789,False,False,0
13,26,13,213.6477553168626,8.217221358340868,8.217221358340868,inf,stable,True,100.0,0.0,37.44004968743406,False,False,0
14,28,14,236.36702675934464,8.441679527119451,8.441679527119451,inf,stable,True,100.0,0.0,42.61426264749622,False,False,0
15,30,15,250.5493034707398,8.35164344902466,8.35164344902466,inf,stable,True,100.0,0.0,48.0524066718222,False,False,0
16,32,16,272.8153739598712,8.525480436245974,8.525480436245974,inf,stable,True,100.0,0.0,53.748231988515286,False,False,0
17,34,17,287.07409819363846,8.44335582922466,8.44335582922466,inf,stable,True,100.0,0.0,59.69604133548943,False,False,0
18,36,18,308.90424420217465,8.580673450060408,8.580673450060408,inf,stable,True,100.0,0.0,65.89060981668622,False,False,0
19,38,19,323.1680044011045,8.504421168450119,8.504421168450119,inf,stable,True,100.0,0.0,72.32712039125883,False,False,0
20,40,20,344.57653900024286,8.61441347500607,8.61441347500607,inf,stable,True,100.0,0.0,79.00111125103521,True,True,2
21,44,23,382.72565539540653,8.698310349895603,8.698310349895603,inf,stable,True,100.0,0.045454545454545456,84.58655397029524,False,False,0
22,47,25,412.8693223266293,8.784453666524028,8.784453666524028,inf,stable,True,100.0,0.06382978723404255,91.02184275596228,False,False,0
23,49,26,430.73034198760035,8.79041514260409,8.79041514260409,inf,stable,True,100.0,0.061224489795918366,98.31537141447019,False,False,0
24,51,27,448.4416190897694,8.792972923328811,8.792972923328811,inf,stable,True,100.0,0.058823529411764705,105.8323938753358,False,False,0
25,53,28,466.00348576813377,8.79251859939875,8.79251859939875,inf,stable,True,100.0,0.05660377358490566,113.56963445089724,False,True,1
26,55,29,483.4162527705518,8.789386414010034,8.79,inf,stable,True,100.0,0.05454545454545454,121.5240013564284,False,False,0
27,58,31,509.8415682273981,8.790371865989624,8.790371865989624,inf,stable,True,100.0,0.06896551724137931,128.9428846068962,False,False,0
28,60,32,530.015980240764,8.8335996706794,8.732,inf,stable,True,100.0,0.06666666666666667,137.30119362081768,True,False,1
29,62,33,544.2601101564225,8.778388873490686,8.778388873490686,inf,stable,True,100.0,0.06451612903225806,145.86857269863913,False,False,0
30,64,34,564.0300000000001,8.812968750000001,8.812968750000001,inf,stable,True,100.0,0.0625,154.6425,False,False,0
31,67,36,589.9723829684121,8.80555795475242,8.80555795475242,inf,stable,True,100.0,0.07462686567164178,162.80245454373477,False,False,0
32,69,37,606.7547976670529,8.79354779227613,8.79354779227613,inf,stable,True,100.0,0.07246376811594203,171.96163906383552,False,False,0
33,71,38,623.3788079482778,8.779983210539124,8.779983210539124,inf,stable,True,100.0,0.07042253521126761,181.32070654513802,False,False,0
34,73,39,639.8456230587468,8.765008535051326,8.765008535051326,inf,stable,True,100.0,0.0684931506849315,190.87754367741712,False,False,0
35,76,41,665.3737855522565,8.754918230950745,8.754918230950745,inf,stable,True,100.0,0.07894736842105263,199.74627912857994,False,False,0
36,78,42,684.2047992180994,8.771856400232044,8.771856400232044,inf,stable,True,100.0,0.07692307692307693,209.672727624476,False,False,0
37,80,43,697.8126136448154,8.722657670560192,8.722657670560192,inf,stable,True,100.0,0.075,219.7912994025325,False,False,0
38,82,44,716.2631149733082,8.734916036259856,8.734916036259856,inf,stable,True,100.0,0.07317073170731707,230.100186472113,False,False,0
39,85,46,741.3256659538932,8.72147842298698,8.72147842298698,inf,stable,True,100.0,0.08235294117647059,239.6504023506536,False,False,0
40,87,47,757.0977439261023,8.70227291869083,8.70227291869083,inf,stable,True,100.0,0.08045977011494253,250.31552235406963,False,False,0
41,89,48,772.7113116718377,8.68214956934649,8.68214956934649,inf,stable,True,100.0,0.07865168539325842,261.16608564129876,False,False,0
42,92,50,799.7142175582668,8.69254584302464,8.69254584302464,inf,stable,True,100.0,0.08695652173913043,271.21069111166776,False,True,1
43,94,51,812.8098426178045,8.646913219338346,8.646913219338346,59700000000000.0,beta-,False,13.775974331129369,0.0851063829787234,282.4086938429381,False,False,0
44,96,52,830.3597484042884,8.64958071254467,8.64958071254467,inf,stable,True,100.0,0.08333333333333333,293.7877310322115,False,False,0
45,99,54,854.6158023457898,8.632482851977676,8.632482851977676,inf,stable,True,100.0,0.09090909090909091,304.3147896118096,False,False,0
46,101,55,869.6680586115215,8.610574837737836,8.610574837737836,inf,stable,True,100.0,0.0891089108910891,316.0332822026084,False,False,0
47,103,56,884.5620283117704,8.587980857395829,8.587980857395829,inf,stable,True,100.0,0.08737864077669903,327.92879167960183,False,False,0
48,106,58,910.6204525517792,8.590758986337539,8.590758986337539,inf,stable,True,100.0,0.09433962264150944,338.9274475341166,False,False,0
49,108,59,923.1459395093483,8.547647588049522,8.547647588049522,inf,stable,True,100.0,0.09259259259259259,351.1551156582999,False,False,0
50,110,60,939.8172636528385,8.543793305934896,8.543793305934896,inf,stable,True,100.0,0.09090909090909091,363.5561173860148,True,False,1
51,113,62,963.3119757597664,8.524884741236871,8.524884741236871,inf,stable,True,100.0,0.09734513274336283,375.01643414724197,False,False,0
52,115,63,977.632174510198,8.501149343566938,8.501149343566938,inf,stable,True,100.0,0.09565217391304348,387.7428876765033,False,False,0
53,117,64,991.7956400802174,8.47688581265143,8.47688581265143,inf,stable,True,100.0,0.09401709401709402,400.63928000398136,False,False,0
54,120,66,1016.9756955754453,8.474797463128711,8.474797463128711,inf,stable,True,100.0,0.1,412.5521120385464,False,False,0
55,122,67,1028.8950675167946,8.433566127186841,8.433566127186841,inf,stable,True,100.0,0.09836065573770492,425.76776045957655,False,False,0
56,124,68,1044.7077180647275,8.42506224245748,8.42506224245748,inf,stable,True,100.0,0.0967741935483871,439.1502040103646,False,False,0
57,127,70,1067.471014567223,8.405283579269472,8.405283579269472,inf,stable,True,100.0,0.10236220472440945,451.5070920886762,False,False,0
58,129,71,1081.054711021654,8.38026907768724,8.38026907768724,inf,stable,True,100.0,0.10077519379844961,465.2030426212455,False,False,0
59,131,72,1094.4838815366866,8.354838790356386,8.354838790356386,inf,stable,True,100.0,0.09923664122137404,479.0628649531735,False,False,0
60,134,74,1118.832629187148,8.34949723273991,8.34949723273991,inf,stable,True,100.0,0.1044776119402985,491.8559506044529,False,False,0
61,136,75,1130.123498525072,8.309731606802,8.309731606802,553000000.0,EC,False,8.742725131304699,0.10294117647058823,506.02392391683446,False,False,0
62,139,77,1154.1490721831933,8.303230735130887,8.303230735130887,inf,stable,True,100.0,0.1079136690647482,519.1021868843616,False,False,0
63,141,78,1167.1497073331254,8.277657498816492,8.277657498816492,inf,stable,True,100.0,0.10638297872340426,533.5749947720537,False,False,0
64,143,79,1179.9972301274265,8.251728882009976,8.251728882009976,inf,stable,True,100.0,0.1048951048951049,548.2072545340997,False,False,0
65,146,81,1201.7693121392056,8.23129665848771,8.23129665848771,inf,stable,True,100.0,0.1095890410958904,561.7097721494891,False,False,0
66,148,82,1216.245859937447,8.217877432009777,8.217877432009777,inf,stable,True,100.0,0.10810810810810811,576.6420662058547,False,True,1
67,151,84,1237.7240247657498,8.196847846130794,8.196847846130794,inf,stable,True,100.0,0.11258278145695365,590.4222152101609,False,False,0
68,153,85,1250.1404964501091,8.17085291797457,8.17085291797457,inf,stable,True,100.0,0.1111111111111111,605.6515586187935,False,False,0
69,155,86,1262.405529595448,8.1445518038416,8.1445518038416,inf,stable,True,100.0,0.10967741935483871,621.0363749114753,False,False,0
70,158,88,1285.334171797477,8.1350264037815,8.1350264037815,inf,stable,True,100.0,0.11392405063291139,635.2300519333968,False,False,0
71,160,89,1295.609978697563,8.09756236685977,8.09756236685977,inf,stable,True,100.0,0.1125,650.9075792900287,False,False,0
72,163,91,1318.245618120139,8.087396430184901,8.087396430184901,inf,stable,True,100.0,0.1165644171779141,665.3720868504398,False,False,0
73,165,92,1330.0784230196302,8.061081351634122,8.061081351634122,inf,stable,True,100.0,0.11515151515151516,681.3396177742242,False,False,0
74,168,94,1352.411196560123,8.050066646191208,8.050066646191208,inf,stable,True,100.0,0.11904761904761904,696.0724098329524,False,False,0
75,170,95,1362.3074106646463,8.013573003909684,8.013573003909684,inf,stable,True,100.0,0.11764705882352941,712.327334486493,False,False,0
76,172,96,1375.4844199737688,7.997002441707958,7.997002441707958,inf,stable,True,100.0,0.11627906976744186,728.7327832717524,False,False,0
77,175,98,1395.758337728675,7.975761929878144,7.975761929878144,inf,stable,True,100.0,0.12,743.8657599061632,False,False,0
78,177,99,1407.0091331869073,7.949204142298911,7.949204142298911,inf,stable,True,100.0,0.11864406779661017,760.5547910354356,False,False,0
79,180,101,1427.030250148769,7.927945834159828,7.927945834159828,inf,stable,True,100.0,0.12222222222222222,775.9500992414352,False,False,0
80,182,102,1439.7266841834544,7.910586176832167,7.910586176832167,inf,stable,True,100.0,0.12087912087912088,792.9203238664414,False,False,0
81,185,104,1459.4849599755607,7.889107891759788,7.889107891759788,inf,stable,True,100.0,0.12432432432432433,808.5757218271037,False,False,0
82,187,105,1470.302935140478,7.862582540858171,7.867,inf,stable,True,100.0,0.12299465240641712,825.8248297191711,True,False,1
83,190,107,1489.8155913558671,7.841134691346669,7.841134691346669,inf,stable,True,100.0,0.12631578947368421,841.738151431331,False,False,0
84,192,108,1502.0350676476762,7.82309931066498,7.82309931066498,3150000000.0,alpha,False,9.4983105537896,0.125,859.2639065483341,False,False,0
85,195,110,1521.292575521419,7.801500387289328,7.801500387289328,28300.0,alpha,False,4.451786435524291,0.1282051282051282,875.4330573710047,False,False,0
86,197,111,1531.677749389756,7.7750139562931775,7.7750139562931775,330000.0,alpha,False,5.518513939877887,0.12690355329949238,893.2332937747955,False,False,0
