ubp_id,Z,symbol,fingerprint,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,bp_K,mp_K,en,phase_STP,crystal,vector
ELEM_H_001,1,H,451abc64108603144c7b294a3862eab6fc35e945dab4b7785784ab44bc8c427f,0.604591,6.540105164854324,8,86.6654,2,0,0,0.24149432057282788,1.008,1.0,1312.0,20.28,14.01,2.2,1.0,1.0,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0]"
ELEM_He_002,2,He,5ee61366514882174405737bf4a4e8fff377b6dc0aa1ec635fd656237b44be28,0.600344,6.657105164854324,8,39.1069,2,0,0,0.19275824583266318,4.0026,2.0,2372.3,4.22,0.95,0.0,1.0,2.0,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
ELEM_Li_003,3,Li,654b50b06a4d885385afd116fe24a60d4c4f5b2bb2af43480f459ca552b30d47,0.604591,6.540105164854324,8,37.3489,0,0,0,0.24149432057282788,6.941,1.0,520.2,1615.0,453.65,0.98,3.0,3.0,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
ELEM_Be_004,4,Be,4c87c6e86943e2d6a4f46aeeaa0928b8865ff4705ec9b7140d48c99663972a03,0.613042,6.312105164854323,12,43.4556,2,0,0,0.24149432057282788,9.0122,2.0,899.5,2742.0,1560.0,1.57,3.0,1.0,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0]"
ELEM_B_005,5,B,ffdf093b5650c1bb79fd7b2ab866070356ce6551358969c84bab0c5e141e576d,0.629719,5.880105164854323,8,23.1164,0,0,0,0.24149432057282788,10.81,3.0,800.6,4200.0,2349.0,2.04,3.0,7.0,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
ELEM_C_006,6,C,ade2f6267c209ca17bbaba3c4679279d4adac8b34c27d6639acf61b01e2f3846,0.608824,6.425105164854323,8,72.5198,2,0,0,0.24149432057282788,12.011,4.0,1086.5,4098.0,3823.0,2.55,3.0,1.0,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]"
ELEM_N_007,7,N,d452c99f6a1c98d513b883407b5669f85e6c66fa9ea2890d1993581a2346ee6d,0.574676,7.401105164854323,12,45.5026,0,0,0,0.24149432057282788,14.007,5.0,1402.3,77.36,63.15,3.04,1.0,1.0,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
ELEM_O_008,8,O,78e01f82778f34ce59319741785b9ca75159bc0cc4cc7c1558ad4c1f9d09a350,0.583257,7.145105164854323,8,54.4316,2,0,0,0.19275824583266318,15.999,6.0,1313.9,90.2,54.36,3.44,1.0,6.0,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
ELEM_F_009,9,F,3777dffdc362de59a9aa19ddef42b0c6677808cd512468d5a30f35ba4de30ae1,0.596086,6.776105164854323,12,34.5376,2,0,0,0.3232142749901492,18.998,7.0,1681.0,85.03,53.53,3.98,1.0,6.0,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
ELEM_Ne_010,10,Ne,ddfc6d3459ce02ed44a205ca826e6d09b134eb627ec61c15e5b47ecbadc09246,0.591817,6.897105164854323,8,14.8,2,0,0,0.24149432057282788,20.18,8.0,2080.7,27.07,24.56,0.0,1.0,2.0,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
