Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
1,H,ELEM_H_001,0.604591,6.540105164854324,8,86.6654,2,0,0,0.24149432057282788,0,0.604591,0.18488724103367438,5.408702052176036,PHASE_LOCK
2,He,ELEM_He_002,0.600344,6.657105164854324,8,39.1069,2,0,0,0.19275824583266318,0,0.6758562129083147,0.3607237591315037,2.7722044214876487,PHASE_LOCK
3,Li,ELEM_Li_003,0.604591,6.540105164854324,8,37.3489,0,0,0,0.24149432057282788,0,0.604591,0.554661723101023,1.8029006840586788,PHASE_LOCK
4,Be,ELEM_Be_004,0.613042,6.312105164854323,12,43.4556,2,0,0,0.24149432057282788,0,0.613042,0.776973113076006,1.2870458232988773,PHASE_LOCK
5,B,ELEM_B_005,0.629719,5.880105164854323,8,23.1164,0,0,0,0.24149432057282788,0,0.629719,1.0709315264697328,0.9337665156767261,PHASE_LOCK
6,C,ELEM_C_006,0.608824,6.425105164854323,8,72.5198,2,0,0,0.24149432057282788,0,0.608824,1.1370845787806878,0.8794420561681651,PHASE_LOCK
7,N,ELEM_N_007,0.574676,7.401105164854323,12,45.5026,0,0,0,0.24149432057282788,0,0.574676,1.0870625157720426,0.9199102953980435,UNSTABLE
8,O,ELEM_O_008,0.583257,7.145105164854323,8,54.4316,2,0,0,0.19275824583266318,0,0.6566199831634278,1.3060846250245872,0.7656471723500878,UNSTABLE
9,F,ELEM_F_009,0.596086,6.776105164854323,12,34.5376,2,0,0,0.3232142749901492,0,0.596086,1.583438824953755,0.6315368704119059,UNSTABLE
10,Ne,ELEM_Ne_010,0.591817,6.897105164854323,8,14.8,2,0,0,0.24149432057282788,0,0.591817,1.7161315823216106,0.5827059010517037,UNSTABLE
11,Na,ELEM_Na_011,0.596086,6.776105164854323,8,23.1164,2,0,0,0.24149432057282788,0,0.596086,1.9353141193879226,0.5167119848824684,UNSTABLE
12,Mg,ELEM_Mg_012,0.608824,6.425105164854323,8,61.5162,0,0,0,0.3232142749901492,0,0.608824,2.2741691575613756,0.43972102808408253,PHASE_LOCK
13,Al,ELEM_Al_013,0.591817,6.897105164854323,8,61.5162,2,0,0,0.19275824583266318,0,0.591817,2.230971057018093,0.44823530850131055,UNSTABLE
14,Si,ELEM_Si_014,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.608824,2.6531973504882718,0.37690373835778507,PHASE_LOCK
15,P,ELEM_P_015,0.583257,7.145105164854323,12,64.3066,2,0,0,0.3232142749901492,0,0.583257,2.4489086719211013,0.4083451585867135,UNSTABLE
16,S,ELEM_S_016,0.574676,7.401105164854323,12,39.6298,2,0,0,0.24149432057282788,0,0.574676,2.484714321764669,0.40246075423664396,UNSTABLE
17,Cl,ELEM_Cl_017,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,0,0.600344,3.0661519526177807,0.3261416966456057,PHASE_LOCK
18,Ar,ELEM_Ar_018,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,0,0.617242,3.5833470662518603,0.27906869792715566,PHASE_LOCK
19,K,ELEM_K_019,0.591817,6.897105164854323,12,34.5376,0,0,0,0.24149432057282788,0,0.591817,3.2606500064110597,0.30668731634300195,UNSTABLE
20,Ca,ELEM_Ca_020,0.637914,5.676105164854324,8,39.1069,2,0,0,0.19275824583266318,0,0.7181518266213949,4.49543467904631,0.22244789912332713,PHASE_LOCK
21,Sc,ELEM_Sc_021,0.600344,6.657105164854324,8,29.8755,2,0,0,0.24149432057282788,0,0.5730556363636363,3.96796135044654,0.2520185837716044,PHASE_LOCK
22,Ti,ELEM_Ti_022,0.604591,6.540105164854324,8,61.5162,2,0,0,0.24149432057282788,0,0.566000085106383,4.344850164291348,0.23015753413515047,PHASE_LOCK
23,V,ELEM_V_023,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,0,0.5635882448979592,4.41886604936092,0.22630240175409377,PHASE_LOCK
24,Cr,ELEM_Cr_024,0.613042,6.312105164854323,8,54.4316,2,0,0,0.24149432057282788,0,0.576980705882353,4.953203595859539,0.20188954090962782,PHASE_LOCK
25,Mn,ELEM_Mn_025,0.613042,6.312105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.6147138619469326,5.14744687412854,0.1942710676677551,PHASE_LOCK
26,Fe,ELEM_Fe_026,0.600344,6.657105164854324,8,39.1069,0,0,0,0.24149432057282788,0,0.5675979636363636,4.959951688058175,0.2016148670172835,PHASE_LOCK
27,Co,ELEM_Co_027,0.617242,6.201105164854323,8,58.3736,0,0,0,0.24149432057282788,0,0.5746735862068965,5.773170273405775,0.17321505388582076,PHASE_LOCK
28,Ni,ELEM_Ni_028,0.591817,6.897105164854323,12,45.5026,2,0,0,0.24149432057282788,0,0.5871010476015219,5.148394746964831,0.1942353003505679,UNSTABLE
29,Cu,ELEM_Cu_029,0.591817,6.897105164854323,8,58.3736,2,0,0,0.24149432057282788,0,0.5536352580645162,5.320007905196992,0.18796964550054956,UNSTABLE
30,Zn,ELEM_Zn_030,0.600344,6.657105164854324,12,112.9669,2,0,0,0.24149432057282788,0,0.5628225,5.771580146104059,0.17326277634297804,PHASE_LOCK
31,Ga,ELEM_Ga_031,0.570382,7.532105164854324,8,39.1069,0,0,0,0.3232142749901492,0,0.5278161791044775,5.073693630609195,0.19709506974703375,UNSTABLE
32,Ge,ELEM_Ge_032,0.591817,6.897105164854323,8,86.6654,0,0,0,0.24149432057282788,0,0.5489317101449276,5.920653959009556,0.16890026117440687,UNSTABLE
33,As,ELEM_As_033,0.625582,5.985105164854323,12,39.6298,2,0,0,0.3232142749901492,0,0.5815269295774648,7.42114311722058,0.13475013002774797,PHASE_LOCK
34,Se,ELEM_Se_034,0.621423,6.092105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.5788597808219177,7.446338789702222,0.13429418513470429,PHASE_LOCK
35,Br,ELEM_Br_035,0.600344,6.657105164854324,12,34.5376,2,0,0,0.24149432057282788,0,0.5529484210526315,6.8537514234985695,0.145905495867771,PHASE_LOCK
36,Kr,ELEM_Kr_036,0.583257,7.145105164854323,8,23.1164,2,0,0,0.19275824583266318,0,0.538391076923077,6.367162546994862,0.15705583022565903,UNSTABLE
37,Rb,ELEM_Rb_037,0.613042,6.312105164854323,12,39.6298,0,0,0,0.24149432057282788,0,0.56706385,7.769731130760062,0.12870458232988774,PHASE_LOCK
38,Sr,ELEM_Sr_038,0.629719,5.880105164854323,8,23.1164,2,0,0,0.24149432057282788,0,0.5836420000000001,8.781638517051809,0.11387396532643003,PHASE_LOCK
39,Y,ELEM_Y_039,0.617242,6.201105164854323,8,29.8755,2,0,0,0.3232142749901492,0,0.5664103058823529,8.46068057309467,0.11819380147503064,PHASE_LOCK
40,Zr,ELEM_Zr_040,0.596086,6.776105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.5481250574712644,7.653287653943149,0.13066280077487707,UNSTABLE
41,Nb,ELEM_Nb_041,0.617242,6.201105164854323,12,39.6298,2,0,0,0.3232142749901492,0,0.5686948764044943,8.858830247122656,0.11288172050986073,PHASE_LOCK
42,Mo,ELEM_Mo_042,0.621423,6.092105164854323,12,34.5376,2,0,0,0.24149432057282788,0,0.6030695829691193,9.384426967843895,0.10655951646558057,PHASE_LOCK
43,Tc,ELEM_Tc_043,0.665553,5.025105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.6089101914893617,12.449885116347343,0.08032202632030301,PHASE_LOCK
44,Ru,ELEM_Ru_044,0.613042,6.312105164854323,12,39.6298,0,0,0,0.19275824583266318,0,0.5619551666666667,9.323677356912073,0.10725381860823979,PHASE_LOCK
45,Rh,ELEM_Rh_045,0.604591,6.540105164854324,12,34.5376,2,0,0,0.24149432057282788,0,0.5496281818181817,9.151918431166882,0.10926670812476841,PHASE_LOCK
46,Pd,ELEM_Pd_046,0.613042,6.312105164854323,8,14.1969,0,0,0,0.3232142749901492,0,0.5584144950495049,9.809285552584576,0.10194422362763386,PHASE_LOCK
47,Ag,ELEM_Ag_047,0.578968,7.272105164854323,8,37.3489,2,0,0,0.24149432057282788,0,0.5283785631067962,8.200335755347208,0.12194622632956562,UNSTABLE
48,Cd,ELEM_Cd_048,0.58754,7.020105164854323,8,86.6654,0,0,0,0.19275824583266318,0,0.5321116981132075,8.871553707171902,0.11271982710216637,UNSTABLE
49,In,ELEM_In_049,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,0,0.5524514074074075,10.233761209026191,0.097715784018685,PHASE_LOCK
50,Sn,ELEM_Sn_050,0.58754,7.020105164854323,8,39.1069,2,0,0,0.24149432057282788,0,0.5677189571101592,9.206329318763297,0.10862092429845123,UNSTABLE
51,Sb,ELEM_Sb_051,0.613042,6.312105164854323,8,39.1069,2,0,0,0.19275824583266318,0,0.5533653451327433,10.974745222198585,0.09111828837514176,PHASE_LOCK
52,Te,ELEM_Te_052,0.608824,6.425105164854323,12,39.6298,2,0,0,0.3232142749901492,0,0.5505886608695653,10.897060546648259,0.09176786673059113,PHASE_LOCK
53,I,ELEM_I_053,0.596086,6.776105164854323,12,112.9669,2,0,0,0.24149432057282788,0,0.5400437264957265,10.292352362199408,0.09715951852490859,UNSTABLE
54,Xe,ELEM_Xe_054,0.58754,7.020105164854323,8,23.1164,0,0,0,0.24149432057282788,0,0.528786,10.043268347741778,0.09956918060691364,UNSTABLE
55,Cs,ELEM_Cs_055,0.578968,7.272105164854323,12,45.5026,0,0,0,0.24149432057282788,0,0.5220203278688524,9.713019050022906,0.1029546009175841,UNSTABLE
56,Ba,ELEM_Ba_056,0.600344,6.657105164854324,8,14.8,2,0,0,0.24149432057282788,0,0.5422461935483871,11.182436533076613,0.08942594908024673,PHASE_LOCK
57,La,ELEM_La_057,0.604591,6.540105164854324,8,29.8755,2,0,0,0.24149432057282788,0,0.5427037322834646,11.740339805638323,0.08517641027048875,PHASE_LOCK
58,Ce,ELEM_Ce_058,0.621423,6.092105164854323,12,39.6298,2,0,0,0.19275824583266318,0,0.558798976744186,13.15859868317242,0.07599593422351483,PHASE_LOCK
59,Pr,ELEM_Pr_059,0.608824,6.425105164854323,12,64.3066,2,0,0,0.3232142749901492,0,0.5484063511450382,12.413173318355843,0.0805595776642594,PHASE_LOCK
