Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
1,H,ELEM_H_001,0.604591,6.540105164854324,8,86.6654,2,0,0,0.24149432057282788,1.008,1.0,1312.0,2,1,-4.6611925386995505,-2.3305962693497753,0.0,inf,stable,True,100.0,0.0,0.0,False,False,0,0,0.604591,0.18488724103367438,5.408702052176036,PHASE_LOCK
2,He,ELEM_He_002,0.600344,6.657105164854324,8,39.1069,2,0,0,0.19275824583266318,4.0026,2.0,2372.3,4,2,22.841006757267255,5.710251689316814,1.112,inf,stable,True,100.0,0.0,0.8958038664752549,True,True,2,0,0.6758562129083147,0.3607237591315037,2.7722044214876487,PHASE_LOCK
3,Li,ELEM_Li_003,0.604591,6.540105164854324,8,37.3489,0,0,0,0.24149432057282788,6.941,1.0,520.2,6,3,28.813808808325586,4.802301468054265,4.802301468054265,inf,stable,True,100.0,0.0,2.3476702739640793,False,False,0,0,0.604591,0.554661723101023,1.8029006840586788,PHASE_LOCK
4,Be,ELEM_Be_004,0.613042,6.312105164854323,12,43.4556,2,0,0,0.24149432057282788,9.0122,2.0,899.5,8,4,54.486726906832814,6.810840863354102,7.074,inf,stable,True,100.0,0.0,4.266,False,False,0,0,0.613042,0.776973113076006,1.2870458232988773,PHASE_LOCK
5,B,ELEM_B_005,0.629719,5.880105164854323,8,23.1164,0,0,0,0.24149432057282788,10.81,3.0,800.6,10,5,64.74395301622693,6.4743953016226925,6.4743953016226925,inf,stable,True,100.0,0.0,6.600339321397371,False,False,0,0,0.629719,1.0709315264697328,0.9337665156767261,PHASE_LOCK
6,C,ELEM_C_006,0.608824,6.425105164854323,8,72.5198,2,0,0,0.24149432057282788,12.011,4.0,1086.5,12,6,89.61225871452066,7.467688226210055,7.68,inf,stable,True,100.0,0.0,9.316735656412627,False,False,0,0,0.608824,1.1370845787806878,0.8794420561681651,PHASE_LOCK
7,N,ELEM_N_007,0.574676,7.401105164854323,12,45.5026,0,0,0,0.24149432057282788,14.007,5.0,1402.3,14,7,101.72549328829379,7.266106663449556,7.266106663449556,inf,stable,True,100.0,0.0,12.390139969691381,False,False,0,0,0.574676,1.0870625157720426,0.9199102953980435,UNSTABLE
8,O,ELEM_O_008,0.583257,7.145105164854323,8,54.4316,2,0,0,0.19275824583266318,15.999,6.0,1313.9,16,8,125.97105502857275,7.873190939285797,7.976,inf,stable,True,100.0,0.0,15.800990071291455,True,True,2,0,0.6566199831634278,1.3060846250245872,0.7656471723500878,UNSTABLE
9,F,ELEM_F_009,0.596086,6.776105164854323,12,34.5376,2,0,0,0.3232142749901492,18.998,7.0,1681.0,18,9,139.07596378915224,7.72644243273068,7.72644243273068,inf,stable,True,100.0,0.0,19.533403834930056,False,False,0,0,0.596086,1.583438824953755,0.6315368704119059,UNSTABLE
10,Ne,ELEM_Ne_010,0.591817,6.897105164854323,8,14.8,2,0,0,0.24149432057282788,20.18,8.0,2080.7,20,10,162.77428508744717,8.138714254372358,8.138714254372358,inf,stable,True,100.0,0.0,23.574117559799834,False,False,0,0,0.591817,1.7161315823216106,0.5827059010517037,UNSTABLE
11,Na,ELEM_Na_011,0.596086,6.776105164854323,8,23.1164,2,0,0,0.24149432057282788,22.99,1.0,495.8,22,11,176.4492477040692,8.020420350184963,8.020420350184963,inf,stable,True,100.0,0.0,27.9118137794686,False,False,0,0,0.596086,1.9353141193879226,0.5167119848824684,UNSTABLE
12,Mg,ELEM_Mg_012,0.608824,6.425105164854323,8,61.5162,0,0,0,0.3232142749901492,24.305,2.0,737.7,24,12,199.64346858221953,8.31847785759248,8.31847785759248,inf,stable,True,100.0,0.0,32.53667116017789,False,False,0,0,0.608824,2.2741691575613756,0.43972102808408253,PHASE_LOCK
