Z,symbol,be_per_A_semi,nrci_score,symmetry_tax,nci,stability_pressure,phase_lock,magic_factor
20,Ca,8.61441347500607,0.637914,5.676105164854324,0.7181518266213949,0.2224478991233271,PHASE_LOCK,2
21,Sc,8.698310349895603,0.600344,6.657105164854324,0.5730556363636363,0.2520185837716044,PHASE_LOCK,0
22,Ti,8.784453666524028,0.604591,6.540105164854324,0.566000085106383,0.2301575341351504,PHASE_LOCK,0
23,V,8.79041514260409,0.600344,6.657105164854324,0.5635882448979592,0.2263024017540937,PHASE_LOCK,0
24,Cr,8.792972923328811,0.613042,6.312105164854323,0.576980705882353,0.2018895409096278,PHASE_LOCK,0
25,Mn,8.79251859939875,0.613042,6.312105164854323,0.6147138619469326,0.1942710676677551,PHASE_LOCK,1
26,Fe,8.789386414010034,0.600344,6.657105164854324,0.5675979636363636,0.2016148670172835,PHASE_LOCK,0
27,Co,8.790371865989624,0.617242,6.201105164854323,0.5746735862068965,0.1732150538858207,PHASE_LOCK,0
28,Ni,8.8335996706794,0.591817,6.897105164854323,0.5871010476015219,0.1942353003505679,UNSTABLE,1
29,Cu,8.778388873490686,0.591817,6.897105164854323,0.5536352580645162,0.1879696455005495,UNSTABLE,0
30,Zn,8.812968750000001,0.600344,6.657105164854324,0.5628225,0.173262776342978,PHASE_LOCK,0
31,Ga,8.80555795475242,0.570382,7.532105164854324,0.5278161791044775,0.1970950697470337,UNSTABLE,0
32,Ge,8.79354779227613,0.591817,6.897105164854323,0.5489317101449276,0.1689002611744068,UNSTABLE,0
33,As,8.779983210539124,0.625582,5.985105164854323,0.5815269295774648,0.1347501300277479,PHASE_LOCK,0
34,Se,8.765008535051326,0.621423,6.092105164854323,0.5788597808219177,0.1342941851347042,PHASE_LOCK,0
35,Br,8.754918230950745,0.600344,6.657105164854324,0.5529484210526315,0.145905495867771,PHASE_LOCK,0
