source,target,hamming
ELEM_H_001,ELEM_Li_003,8
ELEM_H_001,ELEM_Ti_022,8
ELEM_H_001,ELEM_Ge_032,8
ELEM_H_001,ELEM_As_033,8
ELEM_H_001,ELEM_Sr_038,8
ELEM_H_001,ELEM_Nb_041,8
ELEM_H_001,ELEM_Cd_048,8
ELEM_H_001,ELEM_Pr_059,8
ELEM_H_001,ELEM_Gd_064,8
ELEM_H_001,ELEM_Fr_087,8
ELEM_H_001,ELEM_Th_090,8
ELEM_He_002,ELEM_Be_004,8
ELEM_He_002,ELEM_B_005,8
ELEM_He_002,ELEM_Ne_010,8
ELEM_He_002,ELEM_Al_013,8
ELEM_He_002,ELEM_Si_014,8
ELEM_He_002,ELEM_Ar_018,8
ELEM_He_002,ELEM_K_019,8
ELEM_He_002,ELEM_Ca_020,8
ELEM_He_002,ELEM_Fe_026,8
ELEM_He_002,ELEM_Zn_030,8
ELEM_He_002,ELEM_Br_035,8
ELEM_He_002,ELEM_Y_039,8
ELEM_He_002,ELEM_Sm_062,8
ELEM_He_002,ELEM_Er_068,8
ELEM_He_002,ELEM_Tm_069,8
ELEM_He_002,ELEM_Re_075,8
ELEM_He_002,ELEM_Pt_078,8
ELEM_He_002,ELEM_Ra_088,8
ELEM_He_002,ELEM_Th_090,8
ELEM_He_002,ELEM_U_092,8
ELEM_He_002,ELEM_Bk_097,8
ELEM_He_002,ELEM_Cf_098,8
ELEM_He_002,ELEM_No_102,8
ELEM_He_002,ELEM_Lr_103,8
ELEM_He_002,ELEM_Bh_107,8
ELEM_He_002,ELEM_Mt_109,8
ELEM_Li_003,ELEM_Ne_010,8
ELEM_Li_003,ELEM_Si_014,8
ELEM_Li_003,ELEM_K_019,8
ELEM_Li_003,ELEM_Ga_031,8
ELEM_Li_003,ELEM_Br_035,8
ELEM_Li_003,ELEM_Rb_037,8
ELEM_Li_003,ELEM_Y_039,8
ELEM_Li_003,ELEM_Tc_043,8
ELEM_Li_003,ELEM_Ce_058,8
ELEM_Li_003,ELEM_Gd_064,8
ELEM_Li_003,ELEM_Dy_066,8
ELEM_Li_003,ELEM_Os_076,8
ELEM_Li_003,ELEM_At_085,8
ELEM_Li_003,ELEM_Fr_087,8
ELEM_Li_003,ELEM_Th_090,8
ELEM_Li_003,ELEM_Np_093,8
ELEM_Li_003,ELEM_Am_095,8
ELEM_Li_003,ELEM_Db_105,8
ELEM_Li_003,ELEM_Nh_113,8
ELEM_Be_004,ELEM_Na_011,8
ELEM_Be_004,ELEM_Al_013,8
ELEM_Be_004,ELEM_Ca_020,8
ELEM_Be_004,ELEM_Fe_026,8
ELEM_Be_004,ELEM_Cu_029,8
ELEM_Be_004,ELEM_Se_034,8
ELEM_Be_004,ELEM_Y_039,8
ELEM_Be_004,ELEM_Sb_051,8
ELEM_Be_004,ELEM_Er_068,8
ELEM_Be_004,ELEM_Lu_071,8
ELEM_Be_004,ELEM_Hg_080,8
ELEM_Be_004,ELEM_Pb_082,8
ELEM_Be_004,ELEM_Th_090,8
ELEM_Be_004,ELEM_Pu_094,8
ELEM_Be_004,ELEM_Am_095,8
ELEM_Be_004,ELEM_Fm_100,8
ELEM_Be_004,ELEM_Md_101,8
ELEM_Be_004,ELEM_No_102,8
ELEM_Be_004,ELEM_Mt_109,8
ELEM_Be_004,ELEM_Rg_111,8
ELEM_Be_004,ELEM_Mc_115,8
ELEM_Be_004,ELEM_Lv_116,8
ELEM_Be_004,ELEM_Ts_117,8
ELEM_B_005,ELEM_Ne_010,8
ELEM_B_005,ELEM_Mg_012,8
ELEM_B_005,ELEM_P_015,8
ELEM_B_005,ELEM_Cl_017,8
ELEM_B_005,ELEM_Sc_021,8
ELEM_B_005,ELEM_Cu_029,8
ELEM_B_005,ELEM_Zn_030,8
ELEM_B_005,ELEM_Ga_031,8
ELEM_B_005,ELEM_Y_039,8
ELEM_B_005,ELEM_Eu_063,8
ELEM_B_005,ELEM_Dy_066,8
ELEM_B_005,ELEM_Tm_069,8
ELEM_B_005,ELEM_Hf_072,8
ELEM_B_005,ELEM_Au_079,8
ELEM_B_005,ELEM_Ac_089,8
ELEM_B_005,ELEM_Pu_094,8
ELEM_B_005,ELEM_Fm_100,8
ELEM_B_005,ELEM_Db_105,8
ELEM_B_005,ELEM_Hs_108,8
ELEM_B_005,ELEM_Mt_109,8
ELEM_B_005,ELEM_Ds_110,8
ELEM_C_006,ELEM_O_008,8
ELEM_C_006,ELEM_S_016,8
ELEM_C_006,ELEM_Co_027,8
ELEM_C_006,ELEM_Ni_028,8
ELEM_C_006,ELEM_Tc_043,8
ELEM_C_006,ELEM_Ru_044,8
ELEM_C_006,ELEM_La_057,8
ELEM_C_006,ELEM_Ho_067,8
ELEM_C_006,ELEM_Hf_072,8
ELEM_C_006,ELEM_W_074,8
ELEM_C_006,ELEM_Bi_083,8
ELEM_C_006,ELEM_Rn_086,8
ELEM_C_006,ELEM_Pa_091,8
ELEM_C_006,ELEM_Np_093,8
ELEM_C_006,ELEM_Am_095,8
ELEM_C_006,ELEM_Cm_096,8
ELEM_C_006,ELEM_Lr_103,8
ELEM_C_006,ELEM_Nh_113,8
ELEM_C_006,ELEM_Fl_114,8
ELEM_N_007,ELEM_K_019,8
ELEM_N_007,ELEM_Ti_022,8
ELEM_N_007,ELEM_Fe_026,8
ELEM_N_007,ELEM_Rb_037,8
ELEM_N_007,ELEM_Rh_045,8
ELEM_N_007,ELEM_Te_052,8
ELEM_N_007,ELEM_Eu_063,8
ELEM_N_007,ELEM_Dy_066,8
ELEM_N_007,ELEM_Yb_070,8
ELEM_N_007,ELEM_Lu_071,8
ELEM_N_007,ELEM_Ir_077,8
ELEM_N_007,ELEM_Pb_082,8
ELEM_N_007,ELEM_Bi_083,8
ELEM_N_007,ELEM_At_085,8
ELEM_N_007,ELEM_Ra_088,8
ELEM_N_007,ELEM_U_092,8
ELEM_N_007,ELEM_No_102,8
ELEM_N_007,ELEM_Nh_113,8
ELEM_N_007,ELEM_Lv_116,8
ELEM_O_008,ELEM_Al_013,8
ELEM_O_008,ELEM_S_016,8
ELEM_O_008,ELEM_W_074,8
