ubp_id,z,symbol,name,period,group,hex_color,r,g,b,nrci,tax,hamming_weight,saturation
ELEM_H_001,1,H,Hydrogen,1,1,#451309,69,19,9,0.762346,3.1174034432362157,8,45.46060565661952
ELEM_He_002,2,He,Helium,1,18,#5ee603,94,230,3,0.68138,4.676105164854324,12,161.56113394006616
ELEM_Li_003,3,Li,Lithium,2,1,#654f61,101,79,97,0.68138,4.676105164854324,12,16.57307052620807
ELEM_Be_004,4,Be,Beryllium,2,2,#4c86b7,76,134,183,0.68138,4.676105164854324,12,75.7495874576225
ELEM_B_005,5,B,Boron,2,13,#ffd247,255,210,71,0.615961,6.234806886472431,16,135.64905700618294
ELEM_C_006,6,C,Carbon,2,14,#adedbc,173,237,188,0.615961,6.234806886472431,16,47.33568069296846
ELEM_N_007,7,N,Nitrogen,2,15,#d45d16,212,93,22,0.68138,4.676105164854324,12,135.77186748365804
ELEM_O_008,8,O,Oxygen,2,16,#78e9b0,120,233,176,0.68138,4.676105164854324,12,79.9041091976293
ELEM_F_009,9,F,Fluorine,2,17,#37709a,55,112,154,0.68138,4.676105164854324,12,70.27090436304346
ELEM_Ne_010,10,Ne,Neon,2,18,#ddfe61,221,254,97,0.615961,6.234806886472431,16,117.06693242186996
ELEM_Na_011,11,Na,Sodium,3,1,#c2c6f4,194,198,244,0.68138,4.676105164854324,12,39.293765408777
ELEM_Mg_012,12,Mg,Magnesium,3,2,#f974e7,249,116,231,0.615961,6.234806886472431,16,102.04247481645409
ELEM_Al_013,13,Al,Aluminum,3,13,#5ca084,92,160,132,0.762346,3.1174034432362157,8,48.33218389437829
ELEM_Si_014,14,Si,Silicon,3,14,#067e63,6,126,99,0.68138,4.676105164854324,12,89.02808545621994
ELEM_P_015,15,P,Phosphorus,3,15,#ff4058,255,64,88,0.68138,4.676105164854324,12,147.13485877475352
ELEM_S_016,16,S,Sulfur,3,16,#e063bc,224,99,188,0.68138,4.676105164854324,12,90.99816847973737
ELEM_Cl_017,17,Cl,Chlorine,3,17,#d39465,211,148,101,0.68138,4.676105164854324,12,78.05553578489271
ELEM_Ar_018,18,Ar,Argon,3,18,#166e99,22,110,153,0.68138,4.676105164854324,12,94.43516294262429
ELEM_K_019,19,K,Potassium,4,1,#346f07,52,111,7,0.68138,4.676105164854324,12,73.76087490442794
ELEM_Ca_020,20,Ca,Calcium,4,2,#7c242f,124,36,47,0.68138,4.676105164854324,12,67.80855403265875
ELEM_Sc_021,21,Sc,Scandium,4,3,#f382d1,243,130,209,0.68138,4.676105164854324,12,81.98780397107853
ELEM_Ti_022,22,Ti,Titanium,4,4,#44d80c,68,216,12,0.762346,3.1174034432362157,8,149.05927232704
ELEM_V_023,23,V,Vanadium,4,5,#cbbd40,203,189,64,0.68138,4.676105164854324,12,108.23123393919151
ELEM_Cr_024,24,Cr,Chromium,4,6,#b42224,180,34,36,0.762346,3.1174034432362157,8,118.40045044959359
ELEM_Mn_025,25,Mn,Manganese,4,7,#f63bec,246,59,236,0.615961,6.234806886472431,16,148.77051679236268
ELEM_Fe_026,26,Fe,Iron,4,8,#1e4c37,30,76,55,0.68138,4.676105164854324,12,32.567877834864625
ELEM_Co_027,27,Co,Cobalt,4,9,#87a9e8,135,169,232,0.68138,4.676105164854324,12,69.60363975157237
ELEM_Ni_028,28,Ni,Nickel,4,10,#ac3dc8,172,61,200,0.68138,4.676105164854324,12,103.96473761168576
ELEM_Cu_029,29,Cu,Copper,4,11,#4fd3f6,79,211,246,0.615961,6.234806886472431,16,124.54985614871929
ELEM_Zn_030,30,Zn,Zinc,4,12,#f8ee4f,248,238,79,0.615961,6.234806886472431,16,134.09200821326624
ELEM_Ga_031,31,Ga,Gallium,4,13,#e744c5,231,68,197,0.68138,4.676105164854324,12,121.60866197219121
