feature_set,model_name,test_r2,cv_r2_mean,test_rmse
Combined,Gradient Boosting,0.992,0.9975,0.0132
Combined,Lasso Regression,0.9764,0.98,0.0227
Combined,Linear Regression,0.9892,0.9907,0.0153
Combined,Random Forest,0.9896,0.9963,0.0151
Combined,Ridge Regression,0.9893,0.9907,0.0153
Combined,SVR (RBF),0.889,0.891,0.0492
Traditional,Gradient Boosting,0.7202,0.6881,0.0781
Traditional,Lasso Regression,0.1704,0.1383,0.1345
Traditional,Linear Regression,0.191,0.15,0.1328
Traditional,Random Forest,0.7399,0.6977,0.0753
Traditional,Ridge Regression,0.1907,0.1506,0.1328
Traditional,SVR (RBF),0.7208,0.7113,0.078
Traditional_Minimal,Gradient Boosting,0.5973,0.5534,0.0937
Traditional_Minimal,Lasso Regression,0.15,0.1238,0.1361
Traditional_Minimal,Linear Regression,0.1543,0.1334,0.1358
Traditional_Minimal,Random Forest,0.6094,0.5885,0.0923
Traditional_Minimal,Ridge Regression,0.1542,0.1334,0.1358
Traditional_Minimal,SVR (RBF),0.605,0.6073,0.0928
UBP,Gradient Boosting,0.992,0.9939,0.0132
UBP,Lasso Regression,0.9761,0.9797,0.0228
UBP,Linear Regression,0.9873,0.9891,0.0167
UBP,Random Forest,0.9883,0.9926,0.016
UBP,Ridge Regression,0.9873,0.9891,0.0166
UBP,SVR (RBF),0.896,0.9021,0.0476
UBP_Only_Energy,Gradient Boosting,0.1015,0.0428,0.1399
UBP_Only_Energy,Lasso Regression,0.057,0.0455,0.1434
UBP_Only_Energy,Linear Regression,0.0635,0.0491,0.1429
UBP_Only_Energy,Random Forest,0.1284,0.0764,0.1378
UBP_Only_Energy,Ridge Regression,0.0635,0.0491,0.1429
UBP_Only_Energy,SVR (RBF),0.2064,0.217,0.1315
UBP_Only_NRCI,Gradient Boosting,0.2815,0.1811,0.1251
UBP_Only_NRCI,Lasso Regression,0.2376,0.2322,0.1289
UBP_Only_NRCI,Linear Regression,0.2504,0.2371,0.1278
UBP_Only_NRCI,Random Forest,0.2903,0.1735,0.1244
UBP_Only_NRCI,Ridge Regression,0.2503,0.2371,0.1278
UBP_Only_NRCI,SVR (RBF),0.2678,0.2623,0.1263
