chembl_id,therapeutic_area,composite_score,ubp_energy,ubp_nrci,ubp_crv,ubp_therapeutic_potential,molecular_weight,logp
NOVEL_0044,CNS/Neurology,0.964,218376769.0701,1.0,17.9985,0.5348,389.5512,2.2422
NOVEL_0077,Immunology,0.8724,237030944.4514,1.0,19.783,0.5543,447.5398,0.932
NOVEL_0037,Pain/Inflammation,0.8298,223021149.7034,1.0,15.6524,0.4219,484.7437,4.4334
NOVEL_0048,Pain/Inflammation,0.8257,197853009.1103,1.0,17.2561,0.5727,274.6172,1.6513
NOVEL_0078,Cardiovascular,0.8163,253295561.1875,1.0,17.7734,0.6344,469.9002,3.1205
NOVEL_0082,Pain/Inflammation,0.814,241650629.3636,1.0,17.9202,0.5267,416.011,3.2057
NOVEL_0069,Metabolic,0.8118,224812907.2458,1.0,19.3005,0.5534,423.6318,2.1583
NOVEL_0061,Cardiovascular,0.8035,236059444.9745,1.0,16.8533,0.5859,477.9763,2.4606
NOVEL_0014,Anti-infective,0.8015,208188931.3464,1.0,17.7618,0.455,268.3805,2.1355
NOVEL_0010,Pain/Inflammation,0.7996,256664536.4773,1.0,19.7219,0.5098,418.8819,3.1878
NOVEL_0075,Cardiovascular,0.7989,225559383.1756,1.0,17.6815,0.3984,428.0684,2.9782
NOVEL_0093,Anti-infective,0.7964,230881817.6307,1.0,20.9163,0.4566,301.7814,2.8472
NOVEL_0028,Pain/Inflammation,0.7944,213221599.8732,1.0,20.0079,0.422,229.1529,3.075
NOVEL_0094,Cardiovascular,0.7936,234935650.3391,1.0,17.3007,0.4146,483.3229,0.7054
NOVEL_0043,CNS/Neurology,0.7888,180086700.6575,1.0,17.8928,0.4695,289.2906,0.4999
NOVEL_0059,Cardiovascular,0.7803,248319836.2275,1.0,20.0076,0.4623,426.5412,3.1015
NOVEL_0018,Cardiovascular,0.7801,203714076.9617,1.0,17.157,0.4942,390.0589,2.6789
NOVEL_0089,Immunology,0.7796,241590085.5356,1.0,18.9575,0.6746,458.1896,2.6753
NOVEL_0079,Cardiovascular,0.7779,226025746.3159,1.0,19.0156,0.6665,362.8548,2.1576
NOVEL_0019,Oncology,0.7746,241417671.2827,1.0,22.2565,0.5212,413.3449,4.0475
