chembl_id,therapeutic_area,pdb_file,representative_smiles,representative_compound
NOVEL_0044,CNS/Neurology,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0044.pdb,CN(C)c1ccc(/C=N/NC(=O)Nc2nc3c(ccc4ccccc43)s2)cc1,CHEMBL505285
NOVEL_0077,Immunology,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0077.pdb,CC[C@H](N)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCN)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,CHEMBL574027
NOVEL_0037,Pain/Inflammation,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0037.pdb,CCC[C@@H](C)[C@H](OC(=O)/C=C/c1ccccc1)[C@H](C)[C@H](O)C/C=C/C=C\C(N)=O,CHEMBL524317
NOVEL_0048,Pain/Inflammation,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0048.pdb,CC1(c2ccccn2)ON=C(c2ccccc2Cl)O1,CHEMBL444233
NOVEL_0078,Cardiovascular,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0078.pdb,O=C1CSC([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)N1c1ccc(S(=O)(=O)Nc2ccccn2)cc1,CHEMBL583126
NOVEL_0082,Pain/Inflammation,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0082.pdb,CCC[C@@H](C)[C@H](OC(=O)/C=C/c1ccccc1)[C@H](C)[C@H](O)C/C=C/C=C\C(N)=O,CHEMBL524317
NOVEL_0069,Metabolic,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0069.pdb,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccc(Br)cc3)cs2)n(C)c1=O,CHEMBL1086530
NOVEL_0061,Cardiovascular,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0061.pdb,O=C1CSC([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)N1c1ccc(S(=O)(=O)Nc2ccccn2)cc1,CHEMBL583126
NOVEL_0014,Anti-infective,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0014.pdb,O=C1NC(NC2CC2)=N/C1=C\c1c[nH]c2ncccc12,CHEMBL524910
NOVEL_0010,Pain/Inflammation,/home/ubuntu/ubp_medicine_study/molecular_docking/structures/NOVEL_0010.pdb,CCC[C@@H](C)[C@H](OC(=O)/C=C/c1ccccc1)[C@H](C)[C@H](O)C/C=C/C=C\C(N)=O,CHEMBL524317
