chembl_id,name,status,max_phase,molecular_weight,logp,complexity,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,heavy_atoms,therapeutic_area
FAILED_0001,Failed_Candidate_1,Failed Clinical Trial,1,524.0799426757667,6.721768859896047,1292.1400311965588,0,3,117.94114354731299,13,0,22,Cardiovascular
FAILED_0002,Failed_Candidate_2,Failed Clinical Trial,2,679.6336914598337,-0.8884429302658292,747.7061181200296,0,13,155.83026363917784,19,1,48,CNS/Neurology
FAILED_0003,Failed_Candidate_3,Failed Clinical Trial,2,312.86154491547506,-1.5395213976934765,688.5353048560196,0,9,96.09541872116051,14,2,47,Cardiovascular
FAILED_0004,Failed_Candidate_4,Failed Clinical Trial,3,607.8023411095778,-1.7630955698949906,853.1482817249946,6,11,120.6057273411458,9,2,24,Pain/Inflammation
FAILED_0005,Failed_Candidate_5,Failed Clinical Trial,3,489.5952394684939,-1.3840868704756886,852.3810379952988,5,7,127.22322635238109,15,1,35,CNS/Neurology
FAILED_0006,Failed_Candidate_6,Failed Clinical Trial,3,653.8408753133006,-0.9661828087220674,729.5784533877273,1,7,69.64312429513436,8,1,25,Cardiovascular
FAILED_0007,Failed_Candidate_7,Failed Clinical Trial,2,655.8144443695797,6.925510703257674,953.67359618206,7,5,115.11186989094892,19,2,18,Metabolic
FAILED_0008,Failed_Candidate_8,Failed Clinical Trial,3,383.0383250763584,-0.18716249511205563,1072.405348637024,6,13,172.69111731136613,16,0,31,Anti-infective
FAILED_0009,Failed_Candidate_9,Failed Clinical Trial,2,376.62435993172755,6.641614461765122,939.1206271759687,0,6,140.326349818564,15,2,42,Immunology
FAILED_0010,Failed_Candidate_10,Failed Clinical Trial,1,596.5326256939684,-1.8645428293213564,1311.857406833056,3,10,89.23169273017604,15,1,22,Anti-infective
FAILED_0011,Failed_Candidate_11,Failed Clinical Trial,1,358.8559969159268,-0.30730670533154614,767.9378907082255,7,11,86.18968555733382,6,0,41,Immunology
FAILED_0012,Failed_Candidate_12,Failed Clinical Trial,3,382.28356326269636,6.691769137059097,975.077377959968,6,10,80.56885431225118,6,1,32,Oncology
FAILED_0013,Failed_Candidate_13,Failed Clinical Trial,2,598.6656723825665,8.645737839069168,504.1225836358799,6,7,152.28561155558612,5,0,47,CNS/Neurology
FAILED_0014,Failed_Candidate_14,Failed Clinical Trial,2,575.4081842733715,6.681249639815458,582.6771908989465,2,14,33.06258179602363,11,2,28,Immunology
FAILED_0015,Failed_Candidate_15,Failed Clinical Trial,1,424.7017630838378,-1.1759094697044554,1498.5903899397742,3,3,91.52977975958613,15,1,39,Oncology
FAILED_0016,Failed_Candidate_16,Failed Clinical Trial,1,678.8669190641685,-1.2288283766846209,1274.5831984995198,2,9,132.5662633810547,7,1,23,Cardiovascular
FAILED_0017,Failed_Candidate_17,Failed Clinical Trial,1,555.1746356935332,8.941802657449255,760.2884754686331,0,14,178.28855098967335,18,2,33,Oncology
