chembl_id,smiles,inchi_key,therapeutic_area,indication,is_fda_approved,approval_year,molecular_weight,logp,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,heavy_atoms,num_rings,sp3_fraction,complexity,num_heteroatoms,num_saturated_rings,num_aliphatic_rings,num_aromatic_heterocycles,num_saturated_heterocycles,num_aliphatic_heterocycles,num_stereocenters,molar_refractivity,num_radical_electrons,num_valence_electrons,num_ro5_violations,is_drug_like
CHEMBL153534,Cc1cc(-c2csc(N=C(N)N)n2)cn1C,MFRNFCWYPYSFQQ-UHFFFAOYSA-N,Anti-infective,Infection,True,1993,235.316,1.36192,2,4,82.22,2,2,16,2,0.0,513.651823372169,6,0,0,2,0,0,0,66.7278,0,84,0,True
CHEMBL405398,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,VDSXZXJEWIWBCG-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,1992,429.32200000000034,3.2750000000000004,2,7,75.2,6,3,27,4,0.0,910.3453932119412,8,1,1,2,1,1,0,110.50640000000001,0,140,0,True
CHEMBL503634,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,OPELSESCRGGKAM-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2015,289.287,2.1281699999999995,5,6,114.0,4,2,21,2,0.0,679.4535993726834,6,0,0,0,0,0,0,76.62790000000001,0,110,0,True
CHEMBL503643,CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,CAVYPAYXEMVXMS-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2012,233.22299999999998,2.0428,2,3,79.39000000000001,3,2,17,2,0.0,585.2031958020821,5,0,0,1,0,0,0,61.21450000000002,0,88,0,True
CHEMBL503870,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)/C=C/C(=O)N(Cc1ccco1)Cc1ccco1,QXUSQBUGZMVOOW-TVTVEFKISA-N,Immunology,Immune disorder,True,1998,622.6350000000003,1.1223000000000047,4,9,206.51999999999998,14,3,45,3,0.0,1436.3433364274347,15,0,0,2,0,0,2,156.68949999999975,0,238,1,True
CHEMBL501671,COc1cccc(CNC2(CCC(C)(C)C)C(=O)C(C3=NS(=O)(=O)c4cc(NS(C)(=O)=O)ccc4N3)=C(O)c3ccccc32)c1,BWBRRJGLAOHIOF-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,1991,652.7950000000002,4.942800000000004,4,9,163.25999999999996,9,3,45,5,0.0,1962.682495558902,13,0,2,0,0,1,1,174.3504999999996,0,238,1,True
CHEMBL403325,C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c1cccc(O)c1,YJYUIXQWAGWQFA-FPDDQMOCSA-N,Other,Various indications,True,2008,438.56800000000027,3.5840000000000014,3,4,89.87,9,2,32,3,0.0,917.0527141677402,6,1,1,0,1,1,3,124.62630000000006,0,172,0,True
CHEMBL155287,O=C(NO)c1ccc(I)cc1,HXIKIQLHKIBCOH-UHFFFAOYSA-N,Anti-infective,Infection,True,1998,263.034,1.4102000000000003,2,2,49.33,1,1,11,1,0.0,257.6480131294878,4,0,0,0,0,0,0,48.41170000000001,0,58,0,True
CHEMBL265174,C=CCc1ccc(OC(=O)C23CC4CC(CC(C4)C2)C3)c(OC)c1,MBCSWBZTDLYPDX-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2003,326.43600000000004,4.545500000000004,0,3,35.53,5,1,24,5,0.0,625.7635327526165,3,4,4,0,0,0,0,93.13500000000006,0,128,0,True
CHEMBL264472,Cc1cccc(N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2)c1,RHECIYJIUGOBHK-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,1998,379.46000000000015,2.7349200000000016,0,5,53.09,6,2,28,4,0.0,839.8356289545894,6,1,2,0,1,2,0,107.34300000000006,0,146,0,True
CHEMBL405225,N=c1sc2ccccc2n1CCN1CCC(c2ccc(F)cc2)CC1,YIJMYOZUUPAERG-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,2006,355.482,4.200970000000003,1,4,32.02,4,3,25,4,0.0,904.5860077819768,5,1,1,1,1,1,0,100.48470000000005,0,130,0,True
CHEMBL409812,CCCCCCCCCCCCCC(=O)NCc1ccc(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)cc1,ITPYFRWLCXHEKA-NVQXNPDNSA-N,Other,Various indications,True,2005,474.68600000000015,6.233000000000006,3,3,95.50000000000001,19,1,34,1,0.0,717.6212237351854,6,0,0,0,0,0,2,137.71169999999995,0,192,1,True
CHEMBL499520,O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,DBMFNEZMJWKKPU-QGZVFWFLSA-N,Other,Various indications,True,2016,438.54600000000016,3.7573000000000025,1,6,85.35999999999999,7,2,29,4,0.0,964.6223441724092,9,2,2,1,1,1,1,108.25250000000004,0,156,0,True
CHEMBL1082532,Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,SIPOGQRDQZRLJC-XLNRJJMWSA-N,CNS/Neurology,Neurological disorder,True,2012,369.80400000000014,4.5259000000000045,4,5,93.28000000000002,4,3,26,3,0.0,950.7952440014612,6,0,0,0,0,0,0,100.89620000000001,0,132,0,True
CHEMBL501922,COC(=O)C[C@H]1C(C)(C)[C@H](OC(C)=O)[C@H]2C(=O)[C@]1(C)[C@H]1CC[C@]3(C)[C@@H](CC(=O)O[C@H]3c3ccoc3)[C@]13O[C@H]23,OEAILFQKPDJEPG-KQOVNBMPSA-N,Metabolic,Metabolic disorder,True,2021,528.5980000000003,3.793700000000003,0,9,121.64000000000001,4,1,38,6,0.0,1202.5263677907828,9,5,5,1,2,2,10,130.14499999999998,0,206,1,True
CHEMBL500195,CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,MUCJBMLSOAIPBH-ORYMTKCHSA-N,CNS/Neurology,Neurological disorder,True,2022,628.7700000000002,3.0497000000000014,4,7,151.06,12,3,46,4,0.0,1473.839670341583,10,1,1,0,1,1,4,174.51959999999957,0,244,1,True
CHEMBL501101,O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,OULNAFZTLMFEFR-UHFFFAOYSA-N,Anti-infective,Infection,True,2012,270.26599999999996,-0.25900000000000034,1,6,107.34,4,2,18,2,0.0,635.5425798551978,8,0,0,1,0,0,0,60.037600000000026,0,96,0,True
CHEMBL505943,CNc1nc2sc(SC)nc2c2c1ncn2C,YFOQLWYTRVQHIZ-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2008,265.367,2.3415999999999997,1,7,55.63,2,3,17,3,0.0,699.4137537055799,7,0,0,3,0,0,0,73.01470000000002,0,88,0,True
CHEMBL506057,O=C(NO)[C@H]1C[C@]1(Cc1ccc(OCc2cc(-c3ccccc3)nc3ccccc23)cc1)C(=O)N1CCC[C@H]1CO,PHCNKOHEKZYJCZ-OYRZRQNVSA-N,CNS/Neurology,Neurological disorder,True,2014,551.6430000000003,4.518300000000004,3,6,111.99000000000001,9,4,41,6,0.0,1558.705031749368,8,2,2,1,1,1,3,153.94699999999972,0,210,1,True
CHEMBL1203224,CCCC1(C)CC(=O)N(CCCCN2CCN(c3nsc4ccccc34)CC2)C(=O)C1.Cl,QCOAOMADZDCMHQ-UHFFFAOYSA-N,Other,Various indications,True,2012,479.0900000000002,4.575700000000006,0,6,56.75000000000001,8,2,32,4,0.0,907.614900385019,8,2,2,1,2,2,0,133.72400000000002,0,176,0,True
CHEMBL441620,CCCCCC(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(N)=O)[C@@H]2C[C@H]1OC(=O)O2,YZOCAKDGVCQOFA-OZPHKNKMSA-N,Pain/Inflammation,Pain management,True,1999,379.4970000000001,3.6258000000000017,2,5,98.85000000000001,12,0,27,2,0.0,544.6900562748541,6,2,2,0,1,1,5,102.83020000000005,0,152,0,True
CHEMBL444524,C/C=C(\C)C(=O)O[C@@H]1[C@@H]2[C@H]([C@H](OC(=O)C(C)CC)[C@H](OC(C)=O)/C(C)=C/[C@@]34O[C@@]3(C[C@H](C)[C@@H]4OC(C)=O)C(=O)[C@@H]1C)C2(C)C,OYJIRPDIKPGGLA-JJCNZDQMSA-N,Metabolic,Metabolic disorder,True,2005,616.7480000000002,4.670600000000005,0,10,134.8,7,0,44,4,0.0,1294.5051031152364,10,3,4,0,1,1,11,158.77099999999967,0,244,1,True
CHEMBL444987,CC(C)=CCC/C(C)=C/C=C/C(=O)N1CCCC1,YKCYPKYQYASXOV-HTYBMYLDSA-N,Pain/Inflammation,Pain management,True,2008,247.38199999999995,3.857700000000003,0,1,20.310000000000002,5,0,18,1,0.0,353.29325012980814,2,1,1,0,1,1,0,77.37600000000005,0,100,0,True
CHEMBL1203109,CNC(=O)c1cc(C(O)CNC(C)CCc2ccc3c(c2)OCO3)ccc1O.Cl,PHGBOTFWVBUXCA-UHFFFAOYSA-N,Other,Various indications,True,1991,422.90900000000016,2.5466000000000006,4,6,100.05000000000001,8,2,29,3,0.0,845.8163203093077,8,0,1,0,0,1,2,112.05550000000002,0,158,0,True
CHEMBL263058,COc1ccccc1N1CCN(CCCNC(=O)c2ccccc2I)CC1.O=C(O)C(=O)O,AEAUTYCNVOCIMR-UHFFFAOYSA-N,Immunology,Immune disorder,True,2010,569.3960000000002,2.3975,3,6,119.41000000000001,7,2,33,3,0.0,935.2989020741617,10,1,1,0,1,1,0,133.02780000000004,0,178,1,True
CHEMBL263810,Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2O)ccc1Sc1nc2ccccc2s1,TXRBTOGSOZZLKW-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,2011,461.39500000000015,7.020620000000004,2,5,62.22,4,4,29,4,0.0,1207.813669193698,8,0,0,1,0,0,0,121.00200000000001,0,146,1,True
CHEMBL4116085,CN(C/C=C/c1ccc(C#N)cc1)Cc1ccc2c(c1)CCO2,HQETUHHOSLHNIO-NSCUHMNNSA-N,Pain/Inflammation,Pain management,True,2017,304.3930000000001,3.6383800000000024,0,3,36.260000000000005,5,2,23,3,0.0,741.2272574856379,3,0,1,0,0,1,0,92.16600000000005,0,116,0,True
CHEMBL266960,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,VDXZLVXFVYDBNH-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,2009,423.9040000000001,3.7366800000000024,2,7,94.30000000000001,5,3,30,4,0.0,1106.6135828095505,8,1,1,1,1,1,0,117.03750000000004,0,154,0,True
CHEMBL443992,Cc1cccc(NC(=S)Nc2ccc3c(c2)C(=O)OC3)c1,AJJGEERXDGDQEB-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2004,298.3670000000001,3.4743200000000014,2,3,50.36,2,2,21,3,0.0,727.96695765811,5,0,1,0,0,1,0,86.58390000000003,0,106,0,True
CHEMBL409297,C=CCn1cc(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)c2ccc(OC)cc21,REIZBZBLICQUFC-IRXDYDNUSA-N,Anti-infective,Infection,True,1999,353.4220000000001,1.8677999999999995,1,4,63.57000000000001,5,2,26,4,0.0,885.7989031896941,6,2,2,1,2,2,2,99.05670000000003,0,136,0,True
CHEMBL405416,Cc1ccc(Oc2nc3ccccc3nc2N2CCN(C)CC2)cc1,ZJERWVJNAYLTOX-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,1990,334.4230000000001,3.4823200000000023,0,5,41.49000000000001,3,3,25,4,0.0,870.5034782375175,5,1,1,1,1,1,0,100.50100000000003,0,128,0,True
CHEMBL405667,O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,FIXJFHRCFOCKFV-UHFFFAOYSA-N,CNS/Neurology,Neurological disorder,True,2004,349.43300000000005,5.980900000000004,1,1,29.1,2,4,27,5,0.0,1130.054450758982,2,0,1,0,0,1,1,110.91570000000003,0,130,1,True
CHEMBL411601,CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N,BDSRBHWIGUHRNH-YECOWLKZSA-N,Cardiovascular,Heart disease,True,1996,371.4630000000001,-1.1806999999999963,4,5,151.11,5,0,25,2,0.0,560.1249700590942,10,2,2,0,1,1,4,94.95730000000003,0,140,0,True
CHEMBL441131,CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,QSAXYXZBPFYFMV-UHFFFAOYSA-N,Pain/Inflammation,Pain management,True,2002,324.13300000000004,4.5454000000000025,0,3,30.71,3,2,20,2,0.0,599.6454877327923,8,0,0,1,0,0,0,70.376,0,108,0,True
CHEMBL155374,O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,CXUAHUFXAFPMMD-UHFFFAOYSA-N,Anti-infective,Infection,True,2010,273.657,1.4745999999999997,2,6,105.32,2,2,17,2,0.0,578.8422190795903,9,0,0,2,0,0,0,58.886500000000005,0,88,0,True
CHEMBL217730,CCc1c(C)[nH]c2c1/C(=N/OC(=O)NCCc1cccnc1)CCC2,FRDHUVIJKSQWJP-HAVVHWLPSA-N,Pain/Inflammation,Pain management,True,1990,340.4270000000001,3.2898200000000024,2,4,79.36999999999999,5,2,25,3,0.0,765.2313236051539,6,0,1,2,0,0,0,96.80740000000004,0,132,0,True
CHEMBL261894,CCC[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NCc2ccccc2CCCCNC1=O,JYUPQDZMANQSKY-OYUWMTPXSA-N,Immunology,Immune disorder,True,2023,522.6900000000003,2.9713000000000003,5,5,119.56,5,2,38,3,0.0,1070.1774513872476,8,0,1,0,0,1,3,148.43559999999988,0,206,1,True
