id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
248,4-Methyl-cyclo-C4,Cycloalkanes,Cycloalkanes,Gasoline,8,112.208,944034985225.4052,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.09139236357464,0.912208,WallProximity.WARNING,True,0.3561888571011279,0.0,0.7524193337215321,0.143283132619514,True,,High (RON ~90-120),Excellent (>1 year)
252,3-Methyl-cyclo-C5,Cycloalkanes,Cycloalkanes,Gasoline,8,112.208,944034985225.4052,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.09139236357464,0.912208,WallProximity.WARNING,True,0.3561888571011279,0.0,0.7524193337215321,0.143283132619514,True,,High (RON ~90-120),Excellent (>1 year)
256,2-Methyl-cyclo-C6,Cycloalkanes,Cycloalkanes,Gasoline,8,112.208,944034985225.4052,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.09139236357464,0.912208,WallProximity.WARNING,True,0.3561888571011279,0.0,0.7524193337215321,0.143283132619514,True,,High (RON ~90-120),Excellent (>1 year)
258,4-Methyl-cyclo-C6,Cycloalkanes,Cycloalkanes,Gasoline,10,140.26,844370560040.8063,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0020964232055424,CoherenceRegime.SUBCOHERENT,42.33030056808538,1.14026,WallProximity.CAUTION,True,0.0,0.0024374381697527,0.8108391997578444,0.1626651352211253,True,,High (RON ~90-120),Excellent (>1 year)
260,1-Methyl-cyclo-C7,Cycloalkanes,Cycloalkanes,Gasoline,8,112.208,944034985225.4052,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.09139236357464,0.912208,WallProximity.WARNING,True,0.3561888571011279,0.0,0.7524193337215321,0.143283132619514,True,,High (RON ~90-120),Excellent (>1 year)
262,3-Methyl-cyclo-C7,Cycloalkanes,Cycloalkanes,Gasoline,10,140.26,844370560040.8063,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0020964232055424,CoherenceRegime.SUBCOHERENT,42.33030056808538,1.14026,WallProximity.CAUTION,True,0.0,0.0024374381697527,0.8108391997578444,0.1626651352211253,True,,High (RON ~90-120),Excellent (>1 year)
263,4-Methyl-cyclo-C7,Cycloalkanes,Cycloalkanes,Gasoline,11,154.286,805075740459.2579,13,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,51.21966368738332,1.254286,WallProximity.CAUTION,True,0.0,0.0,0.8226841066171374,0.1709436722527703,True,,High (RON ~90-120),Excellent (>1 year)
264,Cyclo-C8H16,Cycloalkanes,Cycloalkanes,Gasoline,8,112.208,944034985225.4052,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.09139236357464,0.912208,WallProximity.WARNING,True,0.3561888571011279,0.0,0.7524193337215321,0.143283132619514,True,,High (RON ~90-120),Excellent (>1 year)
266,2-Methyl-cyclo-C8,Cycloalkanes,Cycloalkanes,Gasoline,10,140.26,844370560040.8063,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0020964232055424,CoherenceRegime.SUBCOHERENT,42.33030056808538,1.14026,WallProximity.CAUTION,True,0.0,0.0024374381697527,0.8108391997578444,0.1626651352211253,True,,High (RON ~90-120),Excellent (>1 year)
267,3-Methyl-cyclo-C8,Cycloalkanes,Cycloalkanes,Gasoline,11,154.286,805075740459.2579,13,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,51.21966368738332,1.254286,WallProximity.CAUTION,True,0.0,0.0,0.8226841066171374,0.1709436722527703,True,,High (RON ~90-120),Excellent (>1 year)
