id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
2,n-C2H6,Linear alkanes,Alkanes,Gasoline,2,30.068,1823676195209.2068,2,573952,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,1.8309411552697172,0.230068,WallProximity.BEYOND_WALL,False,1.0,0.0,0.3227601902038685,0.026267438670895,True,,Low (RON ~0-50),Excellent (>1 year)
3,n-C3H8,Linear alkanes,Alkanes,Gasoline,3,44.094,1505948953833.927,3,832000,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,4.015782895594097,0.344094,WallProximity.BEYOND_WALL,False,1.0,0.0,0.4178275081223668,0.0603770225602563,True,,Low (RON ~0-50),Excellent (>1 year)
4,n-C4H10,Linear alkanes,Alkanes,Gasoline,4,58.12,1311708090333.5112,4,1094208,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,7.047230647280185,0.45812,WallProximity.BEYOND_WALL,False,1.0,0.0,0.502173843105821,0.0848018485659582,True,,Low (RON ~0-50),Excellent (>1 year)
7,n-C7H16,Linear alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,7,1872456,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Low (RON ~0-50),Excellent (>1 year)
8,n-C8H18,Linear alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,8,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.2999966155396235,0.0,0.7447570440936945,0.1441523610703951,True,,Low (RON ~0-50),Excellent (>1 year)
10,n-C10H22,Linear alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,10,2658953,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.1633616326823045,True,,Low (RON ~0-50),Excellent (>1 year)
11,n-C11H24,Linear alkanes,Alkanes,Gasoline,11,156.302,799866913217.5398,11,2921097,3,0.875,0.975,1.0,0.0999999999999999,0.0010341286632576,CoherenceRegime.SUBCOHERENT,51.97233322721061,1.256302,WallProximity.SAFE,True,0.0,0.0012115615859026,0.8128183517932119,0.1715772214320583,True,,Low (RON ~0-50),Excellent (>1 year)
12,n-C12H26,Linear alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,12,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Low (RON ~0-50),Excellent (>1 year)
13,n-C13H28,Linear alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,13,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Low (RON ~0-50),Excellent (>1 year)
14,n-C14H30,Linear alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,14,3703505,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Low (RON ~0-50),Excellent (>1 year)
