id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
1,Methane,Linear alkanes,Alkanes,Gasoline,1,16.042,2496725195862.154,1,316416,0,1.0,1.0,0.0,0.0,0.002478694856780983,CoherenceRegime.SUBCOHERENT,0.4927054263070448,0.116042,WallProximity.BEYOND_WALL,False,1.0,0.002478694856780983,0.20933304353449395,0.0,True,
2,n-C2H6,Linear alkanes,Alkanes,Gasoline,2,30.068,1823676195209.2068,2,573952,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,1.8309411552697175,0.23006800000000002,WallProximity.BEYOND_WALL,False,1.0,0.0,0.3227601902038685,0.02626743867089502,True,
3,n-C3H8,Linear alkanes,Alkanes,Gasoline,3,44.094,1505948953833.927,3,832000,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,4.015782895594097,0.34409400000000007,WallProximity.BEYOND_WALL,False,1.0,0.0,0.4178275081223668,0.0603770225602563,True,
4,n-C4H10,Linear alkanes,Alkanes,Gasoline,4,58.12,1311708090333.5112,4,1094208,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,7.047230647280185,0.45812,WallProximity.BEYOND_WALL,False,1.0,0.0,0.502173843105821,0.08480184856595828,True,
5,n-C5H12,Linear alkanes,Alkanes,Gasoline,5,72.146,1177318236610.3547,5,1352256,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,10.925284410327981,0.572146,WallProximity.BEYOND_WALL,False,1.0,0.0,0.5773514250774086,0.10384327514757133,True,
6,n-C6H14,Linear alkanes,Alkanes,Gasoline,6,86.172,1077251019102.8378,6,1614408,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,15.649944184737485,0.6861720000000001,WallProximity.BEYOND_WALL,False,1.0,0.0,0.6432682093724612,0.11945127929812697,True,
7,n-C7H16,Linear alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,7,1872456,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.13267701424557155,True,
8,n-C8H18,Linear alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,8,2134665,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.29999661553962353,0.0,0.7447570440936945,0.1441523610703951,True,
9,n-C9H20,Linear alkanes,Alkanes,Gasoline,9,128.25,883021571376.6958,9,2396809,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,34.90355957613624,1.02825,WallProximity.CAUTION,True,0.0,0.0,0.7790206483870205,0.15428697199518185,True,
10,n-C10H22,Linear alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,10,2658953,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.16336163268230458,True,
11,n-C11H24,Linear alkanes,Alkanes,Gasoline,11,156.302,799866913217.5398,11,2921097,3,0.875,0.975,1.0,0.09999999999999998,0.001034128663257694,CoherenceRegime.SUBCOHERENT,51.97233322721061,1.256302,WallProximity.SAFE,True,0.0,0.001211561585902698,0.8128183517932119,0.17157722143205836,True,
12,n-C12H26,Linear alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,12,3179209,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,61.776629069790374,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,
13,n-C13H28,Linear alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,13,3441361,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.18599036802238267,True,
14,n-C14H30,Linear alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,14,3703505,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.5983800000000001,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,
15,n-C15H32,Linear alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,15,3965649,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
16,n-C16H34,Linear alkanes,Alkanes,Diesel,16,226.432,664555258312.6898,16,4227858,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,109.45987255372643,1.826432,WallProximity.SAFE,True,0.0,0.0,0.7130099647144913,0.20392549381492092,True,
17,n-C17H36,Linear alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,17,4490002,3,0.875,0.975,1.0,0.09999999999999998,0.0007374461291984602,CoherenceRegime.SUBCOHERENT,123.49719845311473,1.9404580000000002,WallProximity.SAFE,True,0.0,0.0008916945728187334,0.6694688654569966,0.20916571056916083,True,
18,n-C18H38,Linear alkanes,Alkanes,Diesel,18,254.484,626858845913.6626,18,4748050,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,138.3811303638647,2.054484,WallProximity.SAFE,True,0.0,0.0,0.6213381120750965,0.2141076873808912,True,
19,n-C19H40,Linear alkanes,Alkanes,Diesel,19,268.51,610266833430.1029,19,5010202,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,154.1116682859764,2.16851,WallProximity.SAFE,True,0.0,0.0,0.5701273044585125,0.21878355217837714,True,
20,n-C20H42,Linear alkanes,Alkanes,Diesel,20,282.536,594926211713.4329,20,5272410,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,170.6888122194498,2.282536,WallProximity.SAFE,True,0.0,0.0,0.5172880014063855,0.223220505626067,True,
21,n-C21H44,Linear alkanes,Alkanes,Heavy oil,21,296.562,580687194654.7695,21,5534554,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,188.11256216428495,2.3965620000000003,WallProximity.SAFE,True,0.0,0.0,0.4641622042192316,0.2274417798721354,True,
