id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
382,Anthracene,Polycyclic aromatics,Aromatics,Heavy oil,14,176.20399999999998,753341892015.4813,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,73.5092203152398,1.5762040000000002,WallProximity.SAFE,True,0.0,0.0,0.9121597697289986,0.1866341816375166,True,
386,Phenanthrene,Polycyclic aromatics,Aromatics,Heavy oil,14,176.20399999999998,753341892015.4813,22,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,73.5092203152398,1.5762040000000002,WallProximity.SAFE,True,0.0,0.0,0.9121597697289986,0.1866341816375166,True,
383,1-Methyl-Anthracene,Polycyclic aromatics,Aromatics,Heavy oil,15,190.23,725037544322.4131,20,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,85.10174036078345,1.69023,WallProximity.SAFE,True,0.0,0.0,0.8872725655988339,0.1929938441651641,True,
387,1-Methyl-Phenanthrene,Polycyclic aromatics,Aromatics,Heavy oil,15,190.23,725037544322.4131,22,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,85.10174036078345,1.69023,WallProximity.SAFE,True,0.0,0.0,0.8872725655988339,0.1929938441651641,True,
376,C2-Naphthalene,Naphthalenes,Aromatics,Diesel,12,156.216,800087054207.5043,16,3183369,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,56.074835073213855,1.3562160000000003,WallProximity.CAUTION,True,0.0,0.0,0.8871695641189951,0.1748768004913971,True,
375,C1-Naphthalene,Naphthalenes,Aromatics,Diesel,11,142.19,838620496922.0559,15,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,46.74882621407487,1.24219,WallProximity.CAUTION,True,0.0,0.0,0.8823321333761461,0.1669770710927255,True,
377,C3-Naphthalene,Naphthalenes,Aromatics,Diesel,13,170.242,766419672374.1737,17,3441417,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,66.24744994371451,1.470242,WallProximity.SAFE,True,0.0,0.0,0.8807252319144165,0.1821169165677705,True,
390,Pyrene,Polycyclic aromatics,Aromatics,Heavy oil,16,202.24,703179938078.7649,26,4227986,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,96.47022890979471,1.80224,WallProximity.SAFE,True,0.0,0.0,0.8663517515759125,0.1984393309043004,True,
374,Naphthalene,Naphthalenes,Aromatics,Diesel,10,128.164,883317782169.9384,14,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,38.2694233662976,1.128164,WallProximity.CAUTION,True,0.0,0.0,0.8659738853879211,0.1582851918437676,True,
378,C4-Naphthalene,Naphthalenes,Aromatics,Diesel,14,184.268,736673485511.7124,18,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,77.26667082557691,1.5842680000000002,WallProximity.SAFE,True,0.0,0.0,0.8635826457283369,0.1887992200283993,True,
364,C6-Benzene,Aromatics,Aromatics,Gasoline,12,162.264,785034803719.447,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,58.50555256727368,1.362264,WallProximity.SAFE,True,0.0,0.0,0.8550239388005095,0.1767197085482051,True,
411,Aromatic-C12-411,Aromatics,Aromatics,Gasoline,12,162.264,785034803719.447,8,3179145,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,58.50555256727368,1.362264,WallProximity.SAFE,True,0.0,0.0,0.8550239388005095,0.1767197085482051,True,
