sample_id,offbit_value,tgic_coherence,weight,is_golay_codeword,distance_to_codeword_weight,golay_parity_mod_4
1,0x2ee947,0.666667,13,False,1,1
2,0x420a44,0.333333,6,False,2,2
3,0x27a00f,0.333333,10,False,2,2
4,0x266a65,0.000000,11,False,1,3
5,0x5d972e,0.333333,14,False,2,2
6,0x9bd12,0.333333,10,False,2,2
7,0x1017dc,0.333333,10,False,2,2
8,0x211309,0.000000,7,False,1,3
9,0xa1e32a,0.000000,11,False,1,3
10,0x841cd9,0.333333,10,False,2,2
11,0xb99cda,0.333333,14,False,2,2
12,0x27bdd2,0.333333,14,False,2,2
13,0xc34bc0,0.333333,10,False,2,2
14,0x180b9b,0.333333,10,False,2,2
15,0x85925f,1.000000,12,True,0,0
16,0xc22d5b,1.000000,12,True,0,0
17,0x928287,0.666667,9,False,1,1
18,0x16b2d3,1.000000,12,True,0,0
19,0x28b8f2,0.000000,11,False,1,3
20,0x9ab955,0.666667,13,False,1,1
21,0x63ac2b,1.000000,12,True,0,0
22,0xd07076,0.000000,11,False,1,3
23,0x3a6e9e,0.333333,14,False,2,2
24,0x636aa2,0.000000,11,False,1,3
25,0xdb4810,0.666667,9,False,1,1
26,0x5ad402,0.666667,9,False,1,1
27,0x3ef183,0.666667,13,False,1,1
28,0x41b54c,0.333333,10,False,2,2
29,0x7f6308,1.000000,12,True,0,0
30,0xd6964a,1.000000,12,True,0,0
31,0x1da7ac,0.666667,13,False,1,1
32,0x5b069e,1.000000,12,True,0,0
33,0x131f6e,0.666667,13,False,1,1
34,0xbb4a7e,0.000000,15,False,1,3
35,0xc4aa33,0.000000,11,False,1,3
36,0xd2834f,1.000000,12,True,0,0
37,0xb4bd56,0.333333,14,False,2,2
38,0x332923,0.333333,10,False,2,2
39,0x68f119,0.000000,11,False,1,3
40,0x5d4ea0,0.000000,11,False,1,3
41,0x22cab9,0.000000,11,False,1,3
42,0xca324a,0.333333,10,False,2,2
43,0x923f21,0.000000,11,False,1,3
44,0xd80fc0,0.333333,10,False,2,2
45,0x8e3dfd,1.000000,16,True,0,0
46,0xc163a3,0.000000,11,False,1,3
47,0x6ae57a,0.333333,14,False,2,2
48,0x411558,1.000000,8,True,0,0
49,0x1f6f63,0.000000,15,False,1,3
50,0x6b0630,0.666667,9,False,1,1
51,0xd444a5,0.333333,10,False,2,2
52,0xa86422,1.000000,8,True,0,0
53,0xe7a705,0.666667,13,False,1,1
54,0x730162,0.666667,9,False,1,1
55,0x435624,0.666667,9,False,1,1
56,0xdc2faa,0.333333,14,False,2,2
57,0x1d95da,0.666667,13,False,1,1
58,0x1d84f,0.333333,10,False,2,2
59,0x60ac16,0.666667,9,False,1,1
60,0xf26884,0.333333,10,False,2,2
61,0x917047,0.333333,10,False,2,2
62,0xd43bb6,0.333333,14,False,2,2
63,0x347261,0.333333,10,False,2,2
64,0x595cd5,0.666667,13,False,1,1
65,0x7b090e,0.000000,11,False,1,3
66,0x7bb8f0,0.333333,14,False,2,2
67,0xdfa0e6,0.333333,14,False,2,2
68,0x85c982,0.666667,9,False,1,1
69,0xda2972,1.000000,12,True,0,0
70,0xa4e478,0.000000,11,False,1,3
71,0x24a28c,1.000000,8,True,0,0
72,0x776a90,1.000000,12,True,0,0
73,0x56dd2a,0.666667,13,False,1,1
74,0xfedc15,0.000000,15,False,1,3
75,0xa884ed,0.000000,11,False,1,3
76,0x307b8b,1.000000,12,True,0,0
77,0x736e8d,0.333333,14,False,2,2
78,0x54ef3b,0.000000,15,False,1,3
79,0xe298d,0.333333,10,False,2,2
80,0x66f2ce,0.333333,14,False,2,2
81,0xad582f,0.666667,13,False,1,1
82,0xa6dba3,0.333333,14,False,2,2
