sample_id,offbit_value,tgic_coherence,weight,is_golay_codeword,distance_to_codeword_weight,golay_parity_mod_4
1,0x6f037d,0.333333,14,False,2,2
2,0xfd3df1,0.666667,17,False,1,1
3,0x6fab78,0.000000,15,False,1,3
4,0xdff61b,0.666667,17,False,1,1
5,0x575a74,0.666667,13,False,1,1
6,0xc4e3d,0.000000,11,False,1,3
7,0x58cdf0,1.000000,12,True,0,0
8,0x760ec3,1.000000,12,True,0,0
9,0xf0e32a,1.000000,12,True,0,0
10,0x79a35b,0.333333,14,False,2,2
11,0x89615,1.000000,8,True,0,0
12,0xe5a6a4,1.000000,12,True,0,0
13,0x1bce15,1.000000,12,True,0,0
14,0x81e5a5,0.000000,11,False,1,3
15,0xf8e3f4,0.000000,15,False,1,3
16,0xf27874,0.666667,13,False,1,1
17,0x364186,0.666667,9,False,1,1
18,0x53081b,0.666667,9,False,1,1
19,0x57f074,0.666667,13,False,1,1
20,0x624862,1.000000,8,True,0,0
21,0xf61717,0.333333,14,False,2,2
22,0x819f8,0.666667,9,False,1,1
23,0x7d1c4e,0.666667,13,False,1,1
24,0xf3112c,0.000000,11,False,1,3
25,0xdd2a5c,0.666667,13,False,1,1
26,0x1a2d01,1.000000,8,True,0,0
27,0xadfa88,0.666667,13,False,1,1
28,0xfec45a,0.333333,14,False,2,2
29,0x346452,0.666667,9,False,1,1
30,0x3f7eb9,0.666667,17,False,1,1
31,0x91c0e3,0.333333,10,False,2,2
32,0xde4c13,1.000000,12,True,0,0
33,0x4b1ac5,0.000000,11,False,1,3
34,0xfe7f48,1.000000,16,True,0,0
35,0xacb9b1,0.666667,13,False,1,1
36,0xfe3ef6,0.333333,18,False,2,2
37,0x7d1966,0.666667,13,False,1,1
38,0xa84c6,1.000000,8,True,0,0
39,0x6d3353,0.666667,13,False,1,1
40,0xbb0e5,0.000000,11,False,1,3
41,0x47742a,0.000000,11,False,1,3
42,0x9e4fd2,0.333333,14,False,2,2
43,0xcd778e,0.000000,15,False,1,3
44,0x197ed2,0.666667,13,False,1,1
45,0xd4e623,1.000000,12,True,0,0
46,0x9b7368,0.666667,13,False,1,1
47,0xada983,1.000000,12,True,0,0
48,0x6c1c12,0.666667,9,False,1,1
49,0x6a8c2d,0.000000,11,False,1,3
50,0x2499fb,0.666667,13,False,1,1
51,0x6181e,1.000000,8,True,0,0
52,0x42748,0.000000,7,False,1,3
53,0x455b3,0.333333,10,False,2,2
54,0x7c7e3c,0.000000,15,False,1,3
55,0x512ed,0.333333,10,False,2,2
56,0xb7ac3,1.000000,12,True,0,0
57,0xb15109,0.666667,9,False,1,1
58,0x637dc0,1.000000,12,True,0,0
59,0x546f7c,0.333333,14,False,2,2
60,0x1cb592,0.000000,11,False,1,3
61,0xb19d86,1.000000,12,True,0,0
62,0x75a557,0.333333,14,False,2,2
63,0xf5a8c7,0.333333,14,False,2,2
64,0xcb9593,0.666667,13,False,1,1
65,0x71b8fa,0.333333,14,False,2,2
66,0xe1c3b8,1.000000,12,True,0,0
67,0x750f8a,1.000000,12,True,0,0
68,0xdbd521,0.666667,13,False,1,1
69,0x645ccd,1.000000,12,True,0,0
70,0x34ffbf,0.333333,18,False,2,2
71,0xb2c646,0.000000,11,False,1,3
72,0xe0d1eb,0.666667,13,False,1,1
73,0xc5f852,1.000000,12,True,0,0
74,0xdabbdc,1.000000,16,True,0,0
75,0x281184,0.333333,6,False,2,2
76,0x61193e,0.000000,11,False,1,3
77,0x8da534,0.000000,11,False,1,3
78,0x8f720f,0.666667,13,False,1,1
79,0xb8b4cc,1.000000,12,True,0,0
80,0x1ac63b,1.000000,12,True,0,0
81,0xf4a344,0.000000,11,False,1,3
82,0x30208b,0.000000,7,False,1,3
83,0x6d216e,1.000000,12,True,0,0
84,0xfb530d,0.333333,14,False,2,2
85,0x642dec,1.000000,12,True,0,0
86,0xf2fa1e,0.000000,15,False,1,3
87,0xfac3b9,0.000000,15,False,1,3
88,0x49efa2,0.666667,13,False,1,1
89,0xabc185,0.000000,11,False,1,3
90,0x9f588c,1.000000,12,True,0,0
91,0x9b638b,0.666667,13,False,1,1
92,0xf8a283,0.000000,11,False,1,3
93,0x886819,1.000000,8,True,0,0
94,0x496641,0.666667,9,False,1,1
95,0x38c9e9,1.000000,12,True,0,0
96,0xf45c14,0.000000,11,False,1,3
97,0x7de607,0.333333,14,False,2,2
98,0x3add5b,0.000000,15,False,1,3
99,0x682e76,1.000000,12,True,0,0
100,0x229664,0.666667,9,False,1,1
101,0x9e7eec,1.000000,16,True,0,0
102,0xbf390e,0.333333,14,False,2,2
103,0x284fc2,0.333333,10,False,2,2
104,0x5e9d1d,0.333333,14,False,2,2
105,0xa4c40a,1.000000,8,True,0,0
106,0xec21be,0.666667,13,False,1,1
107,0x4bbc99,0.666667,13,False,1,1
108,0xe2bec7,0.000000,15,False,1,3
109,0xc4ee9c,0.666667,13,False,1,1
110,0x5243a6,0.333333,10,False,2,2
111,0x47ef59,0.000000,15,False,1,3
112,0x31227,1.000000,8,True,0,0
113,0xe9af6d,1.000000,16,True,0,0
114,0x93b088,0.666667,9,False,1,1
115,0xa5f304,0.000000,11,False,1,3
116,0xda6448,0.333333,10,False,2,2
117,0xcf2243,0.000000,11,False,1,3
118,0x3160b0,1.000000,8,True,0,0
119,0x4bed0e,0.666667,13,False,1,1
120,0x767878,0.666667,13,False,1,1
121,0xb9bdbd,0.666667,17,False,1,1
122,0xdeb1b3,0.000000,15,False,1,3
123,0xb4a9a9,1.000000,12,True,0,0
124,0x5fa3d8,0.333333,14,False,2,2
125,0x6f9336,0.333333,14,False,2,2
126,0x71fb30,0.666667,13,False,1,1
127,0x469dae,0.666667,13,False,1,1
128,0xa4b9f7,0.000000,15,False,1,3
129,0xfee289,0.333333,14,False,2,2
130,0x40f094,1.000000,8,True,0,0
131,0x509713,0.333333,10,False,2,2
132,0xda430b,0.000000,11,False,1,3
133,0x9c19b9,1.000000,12,True,0,0
134,0x94a0df,1.000000,12,True,0,0
135,0xc3bf17,0.000000,15,False,1,3
136,0xe83d80,0.333333,10,False,2,2
137,0x45d844,0.666667,9,False,1,1
138,0xeefb24,0.000000,15,False,1,3
139,0x1742e3,0.000000,11,False,1,3
140,0x4dd116,0.000000,11,False,1,3
141,0xbf3c65,0.000000,15,False,1,3
142,0x29351b,0.000000,11,False,1,3
143,0xbabd36,0.000000,15,False,1,3
144,0x6c5d2a,1.000000,12,True,0,0
145,0x4f500,0.000000,7,False,1,3
146,0x52f70f,0.333333,14,False,2,2
147,0x2a8032,0.000000,7,False,1,3
148,0xdc6428,0.333333,10,False,2,2
149,0xed7071,0.666667,13,False,1,1
150,0x823b1e,0.000000,11,False,1,3
151,0x5bed53,0.000000,15,False,1,3
152,0x337360,0.000000,11,False,1,3
153,0xe7cb9d,1.000000,16,True,0,0
154,0x5a441,0.000000,7,False,1,3
155,0x5d735,1.000000,12,True,0,0
156,0x514958,0.666667,9,False,1,1
157,0xf9a11e,0.666667,13,False,1,1
158,0x24de53,1.000000,12,True,0,0
159,0x9adef0,0.333333,14,False,2,2
160,0xc6d2a3,1.000000,12,True,0,0
161,0xd2591c,0.000000,11,False,1,3
162,0xd393e1,0.666667,13,False,1,1
163,0x600fd5,0.000000,11,False,1,3
164,0x73623f,0.333333,14,False,2,2
165,0x419347,0.333333,10,False,2,2
166,0x2841a1,0.000000,7,False,1,3
167,0x275a20,0.666667,9,False,1,1
168,0x3cc13e,1.000000,12,True,0,0
169,0x6e762b,0.333333,14,False,2,2
170,0xf6cd07,0.333333,14,False,2,2
171,0x373d52,0.666667,13,False,1,1
172,0xfef0c0,0.666667,13,False,1,1
173,0x715d75,0.333333,14,False,2,2
174,0x9e3769,0.333333,14,False,2,2
175,0x7b160a,0.000000,11,False,1,3
176,0xf54adb,0.000000,15,False,1,3
177,0x925e0f,1.000000,12,True,0,0
178,0x13c207,0.666667,9,False,1,1
179,0xc63926,0.000000,11,False,1,3
180,0xd093d3,1.000000,12,True,0,0
181,0x36a623,0.000000,11,False,1,3
182,0xd88197,0.000000,11,False,1,3
183,0xdbcbfd,0.333333,18,False,2,2
184,0xa8fc28,0.000000,11,False,1,3
185,0xc5e902,0.333333,10,False,2,2
186,0x1a4448,0.000000,7,False,1,3
187,0x509abc,0.000000,11,False,1,3
188,0xaae12e,1.000000,12,True,0,0
189,0x663bde,0.000000,15,False,1,3
190,0x4956b4,0.000000,11,False,1,3
191,0xb5a1be,0.333333,14,False,2,2
192,0x769cae,0.333333,14,False,2,2
193,0xe766b3,0.000000,15,False,1,3
194,0xf73129,0.666667,13,False,1,1
195,0xfb514d,0.333333,14,False,2,2
196,0xe08a9a,0.333333,10,False,2,2
197,0x11f13a,0.000000,11,False,1,3
198,0xa60221,0.000000,7,False,1,3
199,0xb78605,0.000000,11,False,1,3
200,0x43beaf,0.000000,15,False,1,3
201,0x9898da,0.000000,11,False,1,3
202,0xaf3dbf,0.333333,18,False,2,2
203,0x84c5fc,1.000000,12,True,0,0
204,0xb14896,0.333333,10,False,2,2
205,0xcce102,0.666667,9,False,1,1
206,0xcda7cd,0.000000,15,False,1,3
207,0xa4c65b,1.000000,12,True,0,0
208,0xbd54fd,1.000000,16,True,0,0
209,0x351dea,0.666667,13,False,1,1
210,0xcd91c7,0.666667,13,False,1,1
211,0x37d0c4,0.000000,11,False,1,3
212,0x34ce22,0.333333,10,False,2,2
213,0x5b933c,0.666667,13,False,1,1
214,0xc224aa,0.666667,9,False,1,1
215,0xdc6962,1.000000,12,True,0,0
216,0x369fc0,1.000000,12,True,0,0
217,0x5d7fe9,0.666667,17,False,1,1
218,0x7a1422,0.666667,9,False,1,1
219,0x4c9bec,0.666667,13,False,1,1
220,0x70e8d5,1.000000,12,True,0,0
221,0xe46a77,0.333333,14,False,2,2
222,0x547c9d,0.666667,13,False,1,1
223,0x3e12e9,1.000000,12,True,0,0
224,0x513250,1.000000,8,True,0,0
225,0x61bc57,0.666667,13,False,1,1
226,0xf1ca85,1.000000,12,True,0,0
227,0xd76869,0.666667,13,False,1,1
228,0xc29d2b,1.000000,12,True,0,0
229,0x84fbdb,0.000000,15,False,1,3
230,0x457a60,0.333333,10,False,2,2
231,0x74e6f1,0.333333,14,False,2,2
232,0x6d04df,0.666667,13,False,1,1
233,0xac4768,0.000000,11,False,1,3
234,0x841747,0.333333,10,False,2,2
235,0x94c6dc,1.000000,12,True,0,0
