trial,op_name,offbit_i_val,offbit_j_val,initial_dist,final_dist,dist_change
0,XOR,11570699,5939925,0,2,2
0,AND,11570699,5939925,0,0,0
0,OR,11570699,5939925,0,0,0
0,DIFFERENCE,11570699,5939925,0,0,0
0,DIFFERENCE_REVERSED,5939925,11570699,0,0,0
1,XOR,7470067,16549448,3,0,-3
1,AND,7470067,16549448,3,3,0
1,OR,7470067,16549448,3,3,0
1,DIFFERENCE,7470067,16549448,3,0,-3
1,DIFFERENCE_REVERSED,16549448,7470067,3,0,-3
2,XOR,14561764,8298722,3,1,-2
2,AND,14561764,8298722,3,0,-3
2,OR,14561764,8298722,3,3,0
2,DIFFERENCE,14561764,8298722,3,0,-3
2,DIFFERENCE_REVERSED,8298722,14561764,0,0,0
3,XOR,12753818,2404717,0,3,3
3,AND,12753818,2404717,0,3,3
3,OR,12753818,2404717,0,0,0
3,DIFFERENCE,12753818,2404717,0,2,2
3,DIFFERENCE_REVERSED,2404717,12753818,3,2,-1
4,XOR,11196102,959973,3,3,0
4,AND,11196102,959973,3,0,-3
4,OR,11196102,959973,3,3,0
4,DIFFERENCE,11196102,959973,3,0,-3
4,DIFFERENCE_REVERSED,959973,11196102,0,0,0
5,XOR,9851396,11114535,0,3,3
5,AND,9851396,11114535,0,0,0
5,OR,9851396,11114535,0,3,3
5,DIFFERENCE,9851396,11114535,0,3,3
5,DIFFERENCE_REVERSED,11114535,9851396,3,3,0
6,XOR,10205199,8161086,3,3,0
6,AND,10205199,8161086,3,0,-3
6,OR,10205199,8161086,3,3,0
6,DIFFERENCE,10205199,8161086,3,3,0
6,DIFFERENCE_REVERSED,8161086,10205199,0,3,3
7,XOR,3477914,4625435,0,0,0
7,AND,3477914,4625435,0,0,0
7,OR,3477914,4625435,0,0,0
7,DIFFERENCE,3477914,4625435,0,0,0
7,DIFFERENCE_REVERSED,4625435,3477914,0,0,0
8,XOR,1282596,2339344,0,0,0
8,AND,1282596,2339344,0,0,0
8,OR,1282596,2339344,0,0,0
8,DIFFERENCE,1282596,2339344,0,3,3
8,DIFFERENCE_REVERSED,2339344,1282596,0,3,3
9,XOR,4813621,14568509,0,0,0
9,AND,4813621,14568509,0,0,0
9,OR,4813621,14568509,0,2,2
9,DIFFERENCE,4813621,14568509,0,3,3
9,DIFFERENCE_REVERSED,14568509,4813621,2,3,1
10,XOR,8863302,13919151,0,0,0
10,AND,8863302,13919151,0,0,0
10,OR,8863302,13919151,0,0,0
10,DIFFERENCE,8863302,13919151,0,3,3
10,DIFFERENCE_REVERSED,13919151,8863302,0,3,3
11,XOR,5310627,14841958,0,0,0
11,AND,5310627,14841958,0,0,0
11,OR,5310627,14841958,0,0,0
11,DIFFERENCE,5310627,14841958,0,3,3
11,DIFFERENCE_REVERSED,14841958,5310627,0,3,3
12,XOR,9541796,6928967,3,0,-3
12,AND,9541796,6928967,3,3,0
12,OR,9541796,6928967,3,3,0
12,DIFFERENCE,9541796,6928967,3,3,0
12,DIFFERENCE_REVERSED,6928967,9541796,3,3,0
13,XOR,2847885,7626970,0,3,3
13,AND,2847885,7626970,0,0,0
13,OR,2847885,7626970,0,3,3
13,DIFFERENCE,2847885,7626970,0,3,3
13,DIFFERENCE_REVERSED,7626970,2847885,3,3,0
14,XOR,619266,7579574,0,3,3
14,AND,619266,7579574,0,0,0
14,OR,619266,7579574,0,3,3
14,DIFFERENCE,619266,7579574,0,3,3
14,DIFFERENCE_REVERSED,7579574,619266,3,3,0
15,XOR,13119074,2345348,0,3,3
15,AND,13119074,2345348,0,3,3
15,OR,13119074,2345348,0,0,0
15,DIFFERENCE,13119074,2345348,0,0,0
15,DIFFERENCE_REVERSED,2345348,13119074,3,0,-3
16,XOR,79011,15361201,0,0,0
16,AND,79011,15361201,0,0,0
16,OR,79011,15361201,0,0,0
16,DIFFERENCE,79011,15361201,0,0,0
16,DIFFERENCE_REVERSED,15361201,79011,0,0,0
17,XOR,14340818,1803944,3,3,0
17,AND,14340818,1803944,3,0,-3
17,OR,14340818,1803944,3,3,0
17,DIFFERENCE,14340818,1803944,3,3,0
17,DIFFERENCE_REVERSED,1803944,14340818,0,3,3
18,XOR,9538235,4931631,0,0,0
18,AND,9538235,4931631,0,0,0
18,OR,9538235,4931631,0,0,0
18,DIFFERENCE,9538235,4931631,0,3,3
18,DIFFERENCE_REVERSED,4931631,9538235,0,3,3
19,XOR,15188614,9542209,0,3,3
19,AND,15188614,9542209,0,3,3
19,OR,15188614,9542209,0,0,0
19,DIFFERENCE,15188614,9542209,0,3,3
19,DIFFERENCE_REVERSED,9542209,15188614,3,3,0
20,XOR,6659409,11134839,0,0,0
20,AND,6659409,11134839,0,0,0
20,OR,6659409,11134839,0,0,0
20,DIFFERENCE,6659409,11134839,0,0,0
20,DIFFERENCE_REVERSED,11134839,6659409,0,0,0
21,XOR,11314455,2246039,0,0,0
21,AND,11314455,2246039,0,0,0
21,OR,11314455,2246039,0,0,0
21,DIFFERENCE,11314455,2246039,0,0,0
21,DIFFERENCE_REVERSED,2246039,11314455,0,0,0
22,XOR,11678228,6465206,3,3,0
22,AND,11678228,6465206,3,0,-3
22,OR,11678228,6465206,3,3,0
22,DIFFERENCE,11678228,6465206,3,0,-3
22,DIFFERENCE_REVERSED,6465206,11678228,0,0,0
23,XOR,15411773,7658635,0,3,3
23,AND,15411773,7658635,0,3,3
23,OR,15411773,7658635,0,0,0
23,DIFFERENCE,15411773,7658635,0,3,3
23,DIFFERENCE_REVERSED,7658635,15411773,3,3,0
24,XOR,16517508,6521903,0,3,3
24,AND,16517508,6521903,0,3,3
24,OR,16517508,6521903,0,0,0
24,DIFFERENCE,16517508,6521903,0,0,0
24,DIFFERENCE_REVERSED,6521903,16517508,3,0,-3
25,XOR,11832397,6347866,3,0,-3
25,AND,11832397,6347866,3,3,0
25,OR,11832397,6347866,3,3,0
25,DIFFERENCE,11832397,6347866,3,0,-3
25,DIFFERENCE_REVERSED,6347866,11832397,3,0,-3
26,XOR,15542985,16760853,3,0,-3
26,AND,15542985,16760853,3,3,0
26,OR,15542985,16760853,3,3,0
26,DIFFERENCE,15542985,16760853,3,3,0
26,DIFFERENCE_REVERSED,16760853,15542985,3,3,0
27,XOR,5476603,8348129,3,3,0
27,AND,5476603,8348129,3,3,0
27,OR,5476603,8348129,3,0,-3
27,DIFFERENCE,5476603,8348129,3,0,-3
27,DIFFERENCE_REVERSED,8348129,5476603,0,0,0
28,XOR,9843693,7544691,2,3,1
28,AND,9843693,7544691,2,3,1
28,OR,9843693,7544691,2,2,0
28,DIFFERENCE,9843693,7544691,2,0,-2
28,DIFFERENCE_REVERSED,7544691,9843693,3,0,-3
29,XOR,769369,11575447,3,3,0
29,AND,769369,11575447,3,3,0
29,OR,769369,11575447,3,2,-1
29,DIFFERENCE,769369,11575447,3,3,0
29,DIFFERENCE_REVERSED,11575447,769369,2,3,1
30,XOR,14001842,5096232,3,3,0
30,AND,14001842,5096232,3,0,-3
30,OR,14001842,5096232,3,3,0
30,DIFFERENCE,14001842,5096232,3,0,-3
30,DIFFERENCE_REVERSED,5096232,14001842,0,0,0
31,XOR,2849549,939377,3,2,-1
31,AND,2849549,939377,3,3,0
31,OR,2849549,939377,3,3,0
31,DIFFERENCE,2849549,939377,3,3,0
31,DIFFERENCE_REVERSED,939377,2849549,3,3,0
32,XOR,771942,4007419,0,3,3
32,AND,771942,4007419,0,0,0
32,OR,771942,4007419,0,3,3
32,DIFFERENCE,771942,4007419,0,0,0
32,DIFFERENCE_REVERSED,4007419,771942,3,0,-3
33,XOR,5462552,7896640,0,3,3
33,AND,5462552,7896640,0,0,0
33,OR,5462552,7896640,0,3,3
33,DIFFERENCE,5462552,7896640,0,3,3
33,DIFFERENCE_REVERSED,7896640,5462552,3,3,0
34,XOR,9215470,10474143,0,2,2
34,AND,9215470,10474143,0,0,0
34,OR,9215470,10474143,0,0,0
34,DIFFERENCE,9215470,10474143,0,0,0
