Step,Time,NRCI,Log_Error,Net_Refinements,Converged
0,1.000000e-12,0.9999970000,-12.716898,0,No
1,1.996999e-12,0.9999970000,-12.716897,0,Yes
2,3.988005e-12,0.9999970000,-12.716896,0,Yes
3,7.964042e-12,0.9999970000,-12.716895,0,Yes
4,1.590418e-11,0.9999970000,-12.716894,0,Yes
5,3.176064e-11,0.9999970000,-12.716893,0,Yes
6,6.342597e-11,0.9999970000,-12.716892,0,Yes
7,1.266616e-10,0.9999970000,-12.716891,0,Yes
8,2.529431e-10,0.9999970000,-12.716890,0,Yes
9,5.051271e-10,0.9999970000,-12.716889,0,Yes
10,1.008738e-09,0.9999970000,-12.716888,0,Yes
11,2.014449e-09,0.9999970000,-12.716887,0,Yes
12,4.022853e-09,0.9999970000,-12.716886,0,Yes
13,8.033634e-09,0.9999970000,-12.716885,0,Yes
14,1.604316e-08,0.9999970000,-12.716884,0,Yes
15,3.203817e-08,0.9999970000,-12.716883,0,Yes
16,6.398020e-08,0.9999970000,-12.716882,0,Yes
17,1.277684e-07,0.9999969999,-12.716881,0,Yes
18,2.551533e-07,0.9999969999,-12.716880,0,Yes
19,5.095410e-07,0.9999969999,-12.716879,0,Yes
20,1.017553e-06,0.9999969999,-12.716878,0,Yes
21,2.032052e-06,0.9999969999,-12.716877,0,Yes
22,4.058006e-06,0.9999969999,-12.716876,0,Yes
23,8.103833e-06,0.9999969999,-12.716875,0,Yes
24,1.618335e-05,0.9999969999,-12.716874,0,Yes
25,3.231813e-05,0.9999969999,-12.716873,0,Yes
26,6.453927e-05,0.9999969999,-12.716872,0,Yes
27,1.288849e-04,0.9999969999,-12.716871,0,Yes
28,2.573829e-04,0.9999969999,-12.716870,0,Yes
29,5.139934e-04,0.9999969999,-12.716869,0,Yes
30,1.026444e-03,0.9999969999,-12.716868,0,Yes
31,2.049808e-03,0.9999969999,-12.716867,0,Yes
32,4.093465e-03,0.9999969999,-12.716866,0,Yes
33,8.174646e-03,0.9999969999,-12.716865,0,Yes
34,1.632476e-02,0.9999969999,-12.716864,0,Yes
35,3.260053e-02,0.9999969999,-12.716863,0,Yes
36,6.510323e-02,0.9999969999,-12.716862,0,Yes
37,1.300111e-01,0.9999969999,-12.716861,0,Yes
38,2.596320e-01,0.9999969999,-12.716860,0,Yes
39,5.184848e-01,0.9999969999,-12.716859,0,Yes
40,1.035414e+00,0.9999969999,-12.716858,0,Yes
41,2.067720e+00,0.9999969999,-12.716857,0,Yes
42,4.129235e+00,0.9999969999,-12.716856,0,Yes
43,8.246078e+00,0.9999969999,-12.716855,0,Yes
44,1.646741e+01,0.9999969999,-12.716854,0,Yes
45,3.288540e+01,0.9999969999,-12.716853,0,Yes
46,6.567211e+01,0.9999969999,-12.716852,0,Yes
47,1.311471e+02,0.9999969999,-12.716851,0,Yes
48,2.619007e+02,0.9999969999,-12.716850,0,Yes
49,5.230155e+02,0.9999969999,-12.716849,0,Yes
50,1.044461e+03,0.9999969998,-12.716848,0,Yes
51,2.085788e+03,0.9999969998,-12.716847,0,Yes
52,4.165317e+03,0.9999969998,-12.716846,0,Yes
53,8.318134e+03,0.9999969998,-12.716845,0,Yes
54,1.661131e+04,0.9999969998,-12.716844,0,Yes
55,3.317276e+04,0.9999969998,-12.716843,0,Yes
56,6.624597e+04,0.9999969998,-12.716842,0,Yes
57,1.322931e+05,0.9999969998,-12.716841,0,Yes
58,2.641893e+05,0.9999969998,-12.716840,0,Yes
59,5.275857e+05,0.9999969998,-12.716839,0,Yes
60,1.053588e+06,0.9999969998,-12.716838,0,Yes
61,2.104014e+06,0.9999969998,-12.716837,0,Yes
62,4.201715e+06,0.9999969998,-12.716836,0,Yes
63,8.390820e+06,0.9999969998,-12.716835,0,Yes
64,1.675646e+07,0.9999969998,-12.716834,0,Yes
65,3.346263e+07,0.9999969998,-12.716833,0,Yes
66,6.682484e+07,0.9999969998,-12.716832,0,Yes
67,1.334491e+08,0.9999969998,-12.716831,0,Yes
68,2.664978e+08,0.9999969998,-12.716830,0,Yes
69,5.321959e+08,0.9999969998,-12.716829,0,Yes
70,1.062795e+09,0.9999969998,-12.716828,0,Yes
71,2.122400e+09,0.9999969998,-12.716827,0,Yes
72,4.238430e+09,0.9999969998,-12.716826,0,Yes
73,8.464141e+09,0.9999969998,-12.716825,0,Yes
74,1.690288e+10,0.9999969998,-12.716824,0,Yes
75,3.375504e+10,0.9999969998,-12.716823,0,Yes
76,6.740877e+10,0.9999969998,-12.716822,0,Yes
77,1.346153e+11,0.9999969998,-12.716821,0,Yes
78,2.688265e+11,0.9999969998,-12.716820,0,Yes
79,5.368463e+11,0.9999969998,-12.716819,0,Yes
80,1.072082e+12,0.9999969998,-12.716818,0,Yes
81,2.140946e+12,0.9999969998,-12.716817,0,Yes
82,4.275467e+12,0.9999969998,-12.716816,0,Yes
83,8.538102e+12,0.9999969998,-12.716815,0,Yes
84,1.705058e+13,0.9999969997,-12.716814,0,Yes
85,3.405000e+13,0.9999969997,-12.716813,0,Yes
86,6.799781e+13,0.9999969997,-12.716812,0,Yes
87,1.357916e+14,0.9999969997,-12.716811,0,Yes
88,2.711756e+14,0.9999969997,-12.716810,0,Yes
89,5.415374e+14,0.9999969997,-12.716809,0,Yes
90,1.081450e+15,0.9999969997,-12.716808,0,Yes
91,2.159654e+15,0.9999969997,-12.716807,0,Yes
92,4.312827e+15,0.9999969997,-12.716806,0,Yes
93,8.612710e+15,0.9999969997,-12.716805,0,Yes
94,1.719957e+16,0.9999969997,-12.716804,0,Yes
95,3.434753e+16,0.9999969997,-12.716803,0,Yes
96,6.859199e+16,0.9999969997,-12.716802,0,Yes
97,1.369781e+17,0.9999969997,-12.716801,0,Yes
98,2.735452e+17,0.9999969997,-12.716800,0,Yes
99,5.462695e+17,0.9999969997,-12.716799,0,Yes
100,1.090900e+18,0.9999969997,-12.716798,0,Yes
