Step,Time_Value,NRCI,Converged
0,1.000000e-12,0.9999970000,No
1,1.000000e-12,0.9999970000,Yes
2,1.000000e-12,0.9999970000,Yes
3,1.000000e-12,0.9999970000,Yes
4,1.000000e-12,0.9999970000,Yes
5,1.000000e-12,0.9999970000,Yes
6,1.000000e-12,0.9999970000,Yes
7,1.000000e-12,0.9999970000,Yes
8,1.000000e-12,0.9999970000,Yes
9,1.000000e-12,0.9999970000,Yes
10,1.000000e-12,0.9999970000,Yes
11,1.000000e-12,0.9999970000,Yes
12,1.000000e-12,0.9999970000,Yes
13,1.000000e-12,0.9999970000,Yes
14,1.000000e-12,0.9999970000,Yes
15,1.000000e-12,0.9999970000,Yes
16,1.000000e-12,0.9999970000,Yes
17,1.000000e-12,0.9999970000,Yes
18,1.000000e-12,0.9999970000,Yes
19,1.000000e-12,0.9999970000,Yes
20,1.000000e-12,0.9999970000,Yes
21,1.000000e-12,0.9999970000,Yes
22,1.000000e-12,0.9999970000,Yes
23,1.000000e-12,0.9999970000,Yes
24,1.000000e-12,0.9999970000,Yes
25,1.000000e-12,0.9999970000,Yes
26,1.000000e-12,0.9999970000,Yes
27,1.000000e-12,0.9999970000,Yes
28,1.000000e-12,0.9999970000,Yes
29,1.000000e-12,0.9999970000,Yes
30,1.000000e-12,0.9999970000,Yes
31,1.000000e-12,0.9999970000,Yes
32,1.000000e-12,0.9999970000,Yes
33,1.000000e-12,0.9999970000,Yes
34,1.000000e-12,0.9999970000,Yes
35,1.000000e-12,0.9999970000,Yes
36,1.000000e-12,0.9999970000,Yes
37,1.000000e-12,0.9999970000,Yes
38,1.000000e-12,0.9999970000,Yes
39,1.000000e-12,0.9999970000,Yes
40,1.000000e-12,0.9999970000,Yes
41,1.000000e-12,0.9999970000,Yes
42,1.000000e-12,0.9999970000,Yes
43,1.000000e-12,0.9999970000,Yes
44,1.000000e-12,0.9999970000,Yes
45,1.000000e-12,0.9999970000,Yes
46,1.000000e-12,0.9999970000,Yes
47,1.000000e-12,0.9999970000,Yes
48,1.000000e-12,0.9999970000,Yes
49,1.000000e-12,0.9999970000,Yes
50,1.000000e-12,0.9999970000,Yes
51,1.000000e-12,0.9999970000,Yes
52,1.000000e-12,0.9999970000,Yes
53,1.000000e-12,0.9999970000,Yes
54,1.000000e-12,0.9999970000,Yes
55,1.000000e-12,0.9999970000,Yes
56,1.000000e-12,0.9999970000,Yes
57,1.000000e-12,0.9999970000,Yes
58,1.000000e-12,0.9999970000,Yes
59,1.000000e-12,0.9999970000,Yes
60,1.000000e-12,0.9999970000,Yes
61,1.000000e-12,0.9999970000,Yes
62,1.000000e-12,0.9999970000,Yes
63,1.000000e-12,0.9999970000,Yes
64,1.000000e-12,0.9999970000,Yes
65,1.000000e-12,0.9999970000,Yes
66,1.000000e-12,0.9999970000,Yes
67,1.000000e-12,0.9999970000,Yes
68,1.000000e-12,0.9999970000,Yes
69,1.000000e-12,0.9999970000,Yes
70,1.000000e-12,0.9999970000,Yes
71,1.000000e-12,0.9999970000,Yes
72,1.000000e-12,0.9999970000,Yes
73,1.000000e-12,0.9999970000,Yes
74,1.000000e-12,0.9999970000,Yes
75,1.000000e-12,0.9999970000,Yes
76,1.000000e-12,0.9999970000,Yes
77,1.000000e-12,0.9999970000,Yes
78,1.000000e-12,0.9999970000,Yes
79,1.000000e-12,0.9999970000,Yes
80,1.000000e-12,0.9999970000,Yes
81,1.000000e-12,0.9999970000,Yes
82,1.000000e-12,0.9999970000,Yes
83,1.000000e-12,0.9999970000,Yes
84,1.000000e-12,0.9999970000,Yes
85,1.000000e-12,0.9999970000,Yes
86,1.000000e-12,0.9999970000,Yes
87,1.000000e-12,0.9999970000,Yes
88,1.000000e-12,0.9999970000,Yes
89,1.000000e-12,0.9999970000,Yes
90,1.000000e-12,0.9999970000,Yes
91,1.000000e-12,0.9999970000,Yes
92,1.000000e-12,0.9999970000,Yes
93,1.000000e-12,0.9999970000,Yes
94,1.000000e-12,0.9999970000,Yes
95,1.000000e-12,0.9999970000,Yes
96,1.000000e-12,0.9999970000,Yes
97,1.000000e-12,0.9999970000,Yes
98,1.000000e-12,0.9999970000,Yes
99,1.000000e-12,0.9999970000,Yes
100,1.000000e-12,0.9999970000,Yes
