Epoch,Time_Since_Big_Bang_s,NRCI,BitTime_Cycles,Coherence_Quality
Planck Epoch,5.391000e-44,0.999999,5.391000e-32,High
Grand Unification,1.000000e-36,0.999999,1.000000e-24,High
Electroweak Epoch,1.000000e-12,0.999997,1.000000e+00,High
Quark Epoch,1.000000e-06,0.999995,1.000000e+06,High
Hadron Epoch,1.000000e-04,0.999990,1.000000e+08,Medium
Lepton Epoch,1.000000e+00,0.999980,1.000000e+12,Medium
Photon Epoch,3.150000e+13,0.999970,3.150000e+25,Medium
Matter Domination,1.260000e+14,0.999960,1.260000e+26,Medium
Present Day,4.350000e+17,0.999950,4.350000e+29,Medium
Heat Death (predicted),1.000000e+100,0.900000,1.000000e+112,Low
