Step,Time_WithMemory,NRCI_WithMemory,Time_NoMemory,NRCI_NoMemory,Memory_Benefit
0,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
1,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
2,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
3,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
4,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
5,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
6,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
7,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
8,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
9,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,
10,1.000000e-12,0.9999970000,1.000000e-12,0.9999970000,0.0000000000
