Phenomenon,Duration_s,BitTime_Cycles,Fractional_Cycle,Quantum_Uncertainty,Is_Quantized
Planck time,5.391000e-44,5.391000e-32,0.000000,1.854943e+31,Yes
Nuclear oscillation,1.000000e-23,1.000000e-11,0.000000,1.000000e+11,Yes
Electron orbit (H),1.500000e-16,1.500000e-04,0.000150,6.666667e+03,Yes
Visible light period,1.800000e-15,1.800000e-03,0.001800,5.555556e+02,Yes
BitTime (fundamental),1.000000e-12,1.000000e+00,0.000000,1.000000e+00,Yes
Atomic clock tick,1.090000e-10,1.090000e+02,0.000000,9.174312e-03,Yes
Human reaction time,2.000000e-01,2.000000e+11,0.000000,5.000000e-12,Yes
Heartbeat,1.000000e+00,1.000000e+12,0.000000,1.000000e-12,Yes
Day,8.640000e+04,8.640000e+16,0.000000,1.157407e-17,Yes
Year,3.155760e+07,3.155760e+19,0.000000,3.168809e-20,Yes
Age of universe,4.350000e+17,4.350000e+29,0.000000,2.298851e-30,Yes
